id,name,description
GY,Emissions - Agriculture: Synthetic Fertilizers,"Greenhouse gas (GHG) emissions from synthetic fertilizers consist of nitrous oxide gas from synthetic nitrogen additions to managed soils. Specifically, N2O is produced by microbial processes of nitrification and de-nitrification taking place on the addition site (direct emissions), and after volatilization/re-deposition and leaching processes (indirect emissions).  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories vol. 4, ch. 11 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided as direct, indirect and total by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as Gg N2O and Gg CO2eq. Implied emission factor for N2O and activity data (consumption) are also provided."
IC,Investment: Credit to Agriculture,"The Credit to Agriculture dataset provides national data for over 100 countries on the amount of loans provided by the private/commercial banking sector to producers in agriculture, forestry and fisheries, including household producers, cooperatives, and agro-businesses. For some countries, the three subsectors of agriculture, forestry, and fishing are completely specified. In other cases, complete disaggregations are not available. The dataset also provides statistics on the total credit to all industries, indicators on the share of credit to agricultural producers, and an agriculture orientation index (the agriculture share of credit, over the agriculture share of GDP)."
IG,Investment: Government Expenditure,"The Statistics Division of FAO collects annually data on Government Expenditure on Agriculture through a questionnaire, which was developed in partnership with the International Monetary Fund. The IMF is the responsible institution for the Government Finance Statistics (GFS) methodology and annually collects GFS data, including Expenditure by Functions of Government (COFOG). The Classification of the Functions of Government (COFOG) is an international classification developed by Organisation for Economic Co-operation and Development (OECD) and published by the United Nations Statistical Division (UNSD), with the aim of categorise governments' functions according to their purposes. The FAO questionnaire aligns with Table 7 of the IMF GFS questionnaire, replicates the relevant aggregates and drills down to request additional detail related to Agriculture. The FAO dataset consists of a time series, from 2001 onwards, of Total Government Expenditure and expenditure in: Economic affairs; Agriculture, Forestry, Fishing and Hunting, along with its three disaggregated subsectors of Agriculture, Forestry and Fishing; and Environmental Protection. In addition, expenditure in each detailed function are further disaggregated into Recurrent and Capital expenditure. Additional indicators include the Agriculture Share of Government Expenditure, and the Agriculture Orientation Index (ratio between the Agriculture Share of Government Expenditure and the Agriculture Value Added as Share of GDP). Though the goal is to have complete and consistent coverage for all countries, different stages of implementation of the GFS methodology and COFOG classification, and differences in the data collection and reporting at country level creates some challenges in providing a complete and consistent global dataset."
LC,Agri-Environmental Indicators: Land Cover,The FAOSTAT domain Land Cover under the Agri-Environmental Indicators section contains land cover information organized by the land cover classes of the international standard system for Environmental and Economic Accounting Central Framework (SEEA CF). The land cover information is compiled from publicly available Global Land Cover (GLC) maps: a) the International Geosphere-Biosphere Programme (IGBP)-MODIS land cover type (20012012) and the European Spatial Agency (ESA) Climate Change Initiative (CCI) annual land cover maps (19922015) produced by the Université catholique de Louvain (UCL)-Geomatics.
MK,Macro-Statistics: Macro Indicators,"TheFAOSTAT Macro Indicatorsdatabase provides a selection of country-level macroeconomic indicators relating to total economy (TE); agriculture (Ag); agriculture, forestry and fishing (AFF); manufacturing (MAN); manufacturing of food products and beverages (FB); manufacturing of tobacco products (Tob); and manufacturing of food, beverage and tobacco products (FBT). It releases time series for a selection of National Accounts variables, including gross domestic product, gross fixed capital formation, industry-level value added and gross output. The database also proposes additional indicators such as per capita GDP, year-on-year growth rates and measures ofindustry contribution to GDP.  All data relating to TE, AFF, and to MAN originates from the United Nations Statistics Division (UNSD) National Accounts Estimates of Main Aggregates database, which consists of a complete and consistent set of time series of the main National Accounts (NA) aggregates of all UN Members States and other territories in the world for which National Accounts information is available. The UNSD database's content is based on the countries' official NA data reported to UNSD through the annual National Accounts Questionnaire, supplemented with data estimates for any years and countries with incomplete or inconsistent information (Seehttp://unstats.un.org/unsd/snaama/Introduction.asp).  Series relating to the sub-industry Ag are obtained from the OECD Annual National Accounts and UNSD NA Official Country Data databases while serieson the FBT industry originates - in order of priority - from OECD Annual National Accounts and UNIDO INDSTAT2 databases. In order to ensure that sub-industry series are consistent in levels with National Accounts based series, which is needed to support comparability across industries (agriculture vs. agro-industry and sub-industries), we proceed to a rescaling exercise of UNIDO originating series on UNSD National Accounts Estimates of Main Aggregates data series (See Section 20 for a more detailed description of the data processing steps)"
OE,Inputs: Employment Indicators,"The FAOSTAT Employment indicators module contains data on:- Agriculture value added per worker;- Employment in agriculture (absolute numbers and shares, by sex);- Share of Employees in agriculture (by sex);- Labour force participation in rural areas (by sex);- Employment-to-population ratio in rural areas (by sex).The series consist of data taken from Labour Force Surveys as available from the original sources, namely the International Labour Organization (ILO)."
PD,Prices: Deflators,"The FAOSTAT Deflators database provides the following selection of implicit price deflator series by country: Gross Domestic Product (GDP) deflator, Gross Fixed Capital Formation (GFCF) deflator, Agriculture, Forestry, Fishery Value-Added (VA_AFF) deflator, andManufacturing Valued-Added (VA_MAN) deflator.  A deflator is a figure expressing the change in prices over a period of time for a product or a basket of products by comparing a reference period to a base period. It is obtained by dividing a current price value of a given aggregate by its real counterpart. When calculated from the major national accounting aggregates such as GDP or agriculture VA, implicit price deflators pertains to wider ranges of goods and services in the economy than that represented by any of the individual price indexes (such as CPIs, PPIs). Movements in an implicit price deflator reflect both changes in price and changes in the composition of the aggregate for which the deflator is calculated.  In the FAOSTAT Deflators database, all series are derived from the United Nations Statistics Division (UNSD) National Accounts Estimates of Main Aggregates database (UNSD NAE). In particular, the implicit GDP deflator, the implicit GFCF deflator and the implicit value added deflator in Agriculture, Forestry, Fishery are obtained by dividing the series in current prices by those in constant 2010 prices (base year)."
PE,Prices: Exchange rates - Annual,"Annual exchange rates, national currency units per U.S. dollar."
PI,Prices: Producer Price Indices - Annual,"Indices of agricultural producer prices that measure the average annual change over time in the selling prices received by farmers (prices at the farm-gate or at the first point of sale). Annual data are provided for over 80 countries. The three categories of producer price indices available in FAOSTAT comprise: Single-item price indices, Commodity group indices and the Agriculture producer price index."
PP,Prices: Producer Prices - Annual,"This sub-domain contains data on Agriculture Producer Prices. These are prices received by farmers for primary crops, live animals and livestock primary products as collected at the point of initial sale (prices paid at the farm-gate). Annual data are provided from 1991 for over 160 countries and about 200 commodities."
QA,Production: Live Animals,"The dataset contains the following commodities and commodity aggregates thereof : Animals live n.e.s.; Asses; Beehives; Buffaloes; Camelids, other; Camels; Cattle; Chickens; Ducks; Geese and guinea fowls; Goats; Horses; Mules; Pigeons, other birds; Pigs; Rabbits and hares; Rodents, other; Sheep; Turkeys."
QC,Production: Crops,"Crop statistics are recorded for 173 products, covering the following categories: Crops Primary, Fibre Crops Primary, Cereals, Coarse Grain, Citrus Fruit, Fruit, Jute  Jute-like Fibres, Oilcakes Equivalent, Oil crops Primary, Pulses, Roots and Tubers, Treenuts and Vegetables and Melons. Data are expressed in terms of area harvested, production quantity and yield. The objective is to comprehensively cover production of all primary crops for all countries and regions in the world.Cereals: Area and production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed or silage or used for grazing are therefore excluded. Area data relate to harvested area. Some countries report sown or cultivated area only; however, in these countries the sown or cultivated area does not differ significantly in normal years from the area actually harvested, either because practically the whole area sown is harvested or because the area surveys are conducted around the harvest period.Vegetables, total (including melons): Data relate to vegetable crops grown mainly for human consumption. Crops such as cabbages, pumpkins and carrots, when explicitly cultivated for animal feed, are therefore excluded. Statistics on vegetables are not available in many countries, and the coverage of the reported data differs from country to country. In general, it appears that the data refer to crops grown in field and market gardens mainly for sale, thus excluding crops cultivated in kitchen gardens or small family gardens mainly for household consumption.Fruit, total (excluding melons): Data refer to total production of fresh fruit, whether finally used for direct consumption for food or feed, or processed into different products: dry fruit, juice, jam, alcohol, etc. Generally, production data relate to plantation crops or orchard crops grown mainly for sale. Data on production from scattered trees used mainly for home consumption are not usually collected. Production from wild plants, particularly berries, which is of some importance in certain countries, is generally disregarded by national statistical services. Therefore, the data for the various fruits and berries are rather incomplete. Bananas and plantains: Figures on bananas refer, as far as possible, to all edible fruit-bearing species of the genus Musa except Musa paradisiaca, commonly known as plantain. Unfortunately, several countries make no distinction in their statistics between bananas and plantains and publish only overall estimates. When this occurs and there is some indication or assumption that the data reported refer mainly to bananas, the data are included. The production data on bananas and plantains reported by the various countries are also difficult to compare because a number of countries report in terms of bunches, which generally means that the stalk is included in the weight. Dates, plantains and total grapes are included in the total fruit aggregated figures, while olives are excluded.        Treenuts, aggregated: Production of nuts (including chestnuts) relates to nuts in the shell or in the husk. Statistics are very scanty and generally refer only to crops for sale. In addition to the kind of nuts shown separately, production data include all other treenuts mainly used as dessert or table nuts, such as pecan nuts, pili nuts, sapucaia nuts and macadamia nuts. Nuts mainly used for flavouring beverages are excludedas are masticatory and stimulant nuts and nuts used mainly for the extraction of oil or butter, including areca/betel nuts, cola nuts, illipe nuts, karate nuts, coconuts, tung nuts, oilpalm nuts etc."
QD,Production: Crops processed,"The dataset covers the following commodities: Beer of barley; Cotton lint; Cottonseed; Margarine, short; Molasses; Oil, coconut (copra); Oil, cottonseed; Oil, groundnut; Oil, linseed; Oil, maize; Oil, olive, virgin; Oil, palm; Oil, palm kernel; Oil, rapeseed; Oil, safflower; Oil, sesame; Oil, soybean; Oil, sunflower; Palm kernels; Sugar Raw Centrifugal; Wine."
QI,Production: Production Indices,The dataset includes data on gross and net production indices for various food and agriculture aggregates expressed in both totals and per capita.
QL,Production: Livestock Primary,"The dataset contains the following commodities and commodity aggregates thereof : Beeswax; Eggs (various types); Hair, horse; Hides buffalo, fresh; Hides, cattle, fresh; Honey, natural; Meat indigenous (ass, bird nes, buffalo, camel, cattle, chicken, duck, geese, goat, horse, mule, other camelids, pig, rabbit, rodents, sheep, turkey); Meat (ass, bird nes, buffalo, camel, cattle, chicken, duck, game, goat, goose and guinea fowl, horse, mule, Meat nes, meat other camelids, Meat other rodents, pig, rabbit, sheep, turkey); Milk (buffalo, camel, cow, goat, sheep); Offals, nes; Silk-worm cocoons, reelable; Skins, furs; Skins (goat, sheep); Snails, not sea; Wool, greasy.Meat: Data relate to animals slaughtered within national boundaries, irrespective of their origin. All data shown relate to total meat production, that is, from both commercial and farm slaughter. Data are given in terms of dressed carcass weight, excluding offal and slaughter fats. Production of beef and buffalo meat includes veal; mutton and goat meat includes meat from lambs and kids; pig meat includes bacon and ham in fresh equivalent. Poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Data on poultry-meat production reported by national statistical offices could be expressed in terms of either live weight, eviscerated weight, ready-to-cook weight or dressed weight. Data for countries reporting in other than ready-to-cook weight have been converted into the ready-to-cook equivalent.Milk: Data on milk production relate to total production of whole fresh milk, excluding the milk sucked by young animals but including amounts fed to livestock. Eggs: Some countries have no statistics on egg production, and estimates had to be derived from such related data as chicken or total poultry numbers and reported or assumed rates of egg laying. Most of the countries that have statistics on egg production report either the total weight of eggs or the numbers of eggs produced. Data generally refer to total production, including eggs for hatching, in both agricultural and non-agricultural sectors.Wool: Wool production statistics are generally given for greasy wool, which contains from 30 to 65 percent impurities. In order to make figures comparable, data are also given on a degreased (scoured) basis.Honey: Production data should cover the amount sold by beekeepers plus other recorded collection of honey. The data presented in the table are incomplete, particularly with regard to African and Asian countries."
QP,Production: Livestock Processed,"The dataset covers the following commodities: Butter and ghee, sheep milk; Butter of goat milk; Butter, buffalo milk; Butter, cow milk; Cheese of goat milk; Cheese, buffalo milk; Cheese, sheep milk; Cheese, skimmed cow milk; Cheese, whole cow milk; Cream fresh; Ghee, butteroil of cow milk; Ghee, of buffalo milk; Lard; Milk, dry buttermilk; Milk, skimmed condensed; Milk, skimmed cow; Milk, skimmed dried; Milk, skimmed evaporated; Milk, whole condensed; Milk, whole dried; Milk, whole evaporated; Silk raw; Tallow; Whey, condensed; Whey, dry; Yoghurt."
QV,Production: Value of Agricultural Production,"The data set includes data on gross and net production values, in constant international US$, and gross production values, in constant and current US$ and Local Currency Units, for various food and agriculture commodities and aggregates thereof, expressed in both total value and value per capita."
RA,Inputs: Fertilizers archive,"The Fertilizer archive dataset containsinformation on the Production, Trade  and Consumption of chemical and mineral fertilizers products, both in total nutrients and in amount of product, over the time series 1961 to 2002.The datasetalso contains data on Prices paid by farmers expressed in local currencies (as a consequence no country aggregates are  available) for single fertilizer products. This dataset is an archive and it is disseminated as it was in the previous FAOSTAT System. No dataset updates made or to be made in the future."
RFB,Inputs: Fertilizers by Product,"The Fertilizers by Product dataset contains information on product amounts for the Production, Trade, Agriculture Use and Other Uses of chemical and mineral fertilizers products, over the time series 2002-present. The fertilizer statistics data are validated separately for a set of over thirty individual products. Both straight and compound fertilizers are included.     Detailed information on Fertilizers by Product Methodology at: http://fenixservices.fao.org/faostat/static/documents/RFB/RFB_EN_README.pdf"
RFN,Inputs: Fertilizers by Nutrient,"The Fertilizers by Nutrient dataset contains information on the totals in nutrients for Production, Trade, Agriculture Use and Other Uses of chemical and mineral fertilizers, over the time series 2002-present. The fertilizer statistics data are validated in terms of summary totals of Production, Import, Export, non-Fertilizer Use and Agricultural Use, separately for the three main plant nutrients: nitrogen (N), phosphate (P2O5), potash (K2O). Both straight and compound fertilizers are included.     Detailed information on Fertilizers by Nutrient Methodology at: http://fenixservices.fao.org/faostat/static/documents/RFN/RFN_EN_README.pdf"
RL,Inputs: Land Use,"The FAOSTAT Land Use domain contains data on forty-seven categories of land use, irrigation and agricultural practices, relevant to monitor agriculture, forestry and fisheries activities at national, regional and global level. Data are available by country and year, with global coverage and annual updates."
RM,Investment: Machinery,"Important notice: FAOSTAT database on Agriculture Machinery is no longer active. The latest online version of the database has as reference year 2009 (with data collected in year 2011). FAOSTAT database on Agriculture Machinery provides statistical series on Agricultural Machinery and Equipment statistical series referring to the following items: tractors, harvesters and threshers, irrigation pumps, milking machines, hand tools, and soil machines. The database includes estimates of agriculture machinery in use and value of import and export of agriculture machinery."
RP,Inputs: Pesticides Use,"The Pesticides Use database includes data on the use of major pesticide groups (Insecticides, Herbicides, Fungicides, Plant growth regulators and Rodenticides) and of relevant chemical families. Data report the quantities (in tonnes of active ingredients) of pesticides used in or sold to the agricultural sector for crops and seeds. Information on quantities applied to single crops is not available."
RT,Inputs: Pesticides Trade,"This domain contains data on pesticides and covers two different categories: pesticides traded in form or packagingfor retail sale or as preparations or articles, and pesticides traded as separate chemically defined compounds (if relevant for the Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade). The pesticides traded for retail sale or as preparations or articles are those classified under code 38.08 in the Harmonized System Nomenclature (HS) and include: hazardous pesticides, insecticides, fungicides, herbicides, disinfectants and other. For these pesticides, this domain contains trade data (imports and exports) in values only (current 1000 US dollars), and the time series extends from 1961 onwards. The pesticides traded as separate chemically defined compounds are those listed in Annex III of the Rotterdam Convention (excluding industrial chemicals) and therefore subject to the Prior Informed Consent (PIC) procedure. The correspondence with the HS Nomenclature is shown in the table  at the Related Documents section. For these pesticides, this domain contains trade data (imports and exports) in both value (current 1000 US dollars) and quantity (net weight in tonnes), and the time series extends from 2007 onwards."
RY,Investment: Machinery Archive,
TA,Trade: Live animals,"The food and agricultural trade dataset is collected, processed and disseminated by FAO according to the standard International Merchandise Trade Statistics Methodology. The data is mainly provided by UNSD, Eurostat, and other national authorities as needed. This source data is checked for outliers, trade partner data is used for non-reporting countries or missing cells, and data on food aid is added to take into account total cross-border trade flows. The trade database includes the following variables: export quantity, export value, import quantity and import value. The trade database includes all food and agricultural products imported/exported annually by all the countries in the world."
TI,Trade: Trade Indices,"The food and agricultural trade dataset is collected, processed and disseminated by FAO according to the standard International Merchandise Trade Statistics Methodology. The data is mainly provided by UNSD, Eurostat, and other national authorities as needed. This source data is checked for outliers, trade partner data is used for non-reporting countries or missing cells, and data on food aid is added to take into account total cross-border trade flows. The trade database includes the following variables: export quantity, export value, import quantity and import value. The trade database includes all food and agricultural products imported/exported annually by all the countries in the world."
TP,Trade: Crops and livestock products,"The food and agricultural trade dataset is collected, processed and disseminated by FAO according to the standard International Merchandise Trade Statistics Methodology. The data is mainly provided by UNSD, Eurostat, and other national authorities as needed. This source data is checked for outliers, trade partner data is used for non-reporting countries or missing cells, and data on food aid is added to take into account total cross-border trade flows. The trade database includes the following variables: export quantity, export value, import quantity, and import value. The trade database includes all food and agricultural products imported/exported annually by all the countries in the world."
