Country,Year,undesa_international_migrants_by_origin
Falkland Islands,2005,1095
French Guiana,2005,3800
Guyana,2005,392555
Paraguay,2005,545698
Peru,2005,969002
Suriname,2005,248782
Uruguay,2005,298986
Venezuela,2005,437087
Northern America,2005,3512106
Bermuda,2005,14907
Canada,2005,1185156
Greenland,2005,14618
Saint Pierre and Miquelon,2005,426
United States,2005,2296999
Oceania,2005,1391418
Australia and New Zealand,2005,984280
Australia,2005,428769
New Zealand,2005,555511
Melanesia,2005,177020
Fiji,2005,157045
New Caledonia,2005,5219
Papua New Guinea,2005,4493
Solomon Islands,2005,2999
Vanuatu,2005,7264
Micronesia (country),2005,39932
Guam,2005,2535
Kiribati,2005,4021
Marshall Islands,2005,6654
Micronesia (region),2005,18346
Nauru,2005,1869
Northern Mariana Islands,2005,2725
Palau,2005,3782
Polynesia,2005,190186
American Samoa,2005,2588
Cook Islands,2005,19580
French Polynesia,2005,2717
Niue,2005,5291
Samoa,2005,99230
Tokelau,2005,2090
Tonga,2005,48337
Tuvalu,2005,2917
Wallis and Futuna,2005,7436
Other,2005,7820665
World,2010,220983187
Sub-Saharan Africa,2010,19942724
Northern Africa and Western Asia,2010,25313711
Central and Southern Asia,2010,41082388
Eastern and South-Eastern Asia,2010,30977206
Latin America and the Caribbean,2010,34637650
Oceania (excluding Australia and New Zealand),2010,441903
Australia and New Zealand,2010,1149265
Europe and Northern America,2010,58681104
Developed regions,2010,60587161
Less developed regions,2010,151638790
"Less developed regions, excluding least developed countries",2010,116141091
"Less developed regions, excluding China",2010,141938473
Least developed countries,2010,35497699
Land-locked Developing Countries (LLDC),2010,27740905
Small island developing States (SIDS),2010,9401155
High-income countries,2010,45649196
Middle-income countries,2010,144581899
Upper-middle-income countries,2010,74175415
Lower-middle-income countries,2010,70406484
Low-income countries,2010,21718616
Africa,2010,29193852
Eastern Africa,2010,7524192
Burundi,2010,284078
Comoros,2010,109125
Djibouti,2010,13797
Eritrea,2010,328366
Ethiopia,2010,680290
Kenya,2010,442632
Madagascar,2010,160819
Malawi,2010,260531
Mauritius,2010,148186
Mayotte,2010,6342
Mozambique,2010,797808
Reunion,2010,2749
Rwanda,2010,334244
Seychelles,2010,25932
Somalia,2010,1595328
South Sudan,2010,402616
Uganda,2010,731768
Tanzania,2010,262172
Zambia,2010,182766
Zimbabwe,2010,754643
Middle Africa,2010,3007543
Angola,2010,651383
Cameroon,2010,278898
Central African Republic,2010,245933
Chad,2010,202423
Congo,2010,178111
Democratic Republic of Congo,2010,1298544
Equatorial Guinea,2010,84390
Gabon,2010,36933
Sao Tome and Principe,2010,30928
Northern Africa,2010,9251128
Algeria,2010,1655264
Egypt,2010,2586643
Libya,2010,127399
Morocco,2010,2860702
Sudan,2010,1235193
Tunisia,2010,615732
Western Sahara,2010,170195
Southern Africa,2010,1199813
Botswana,2010,44249
Eswatini,2010,69030
Lesotho,2010,243128
Namibia,2010,99599
South Africa,2010,743807
Western Africa,2010,8211176
Benin,2010,541152
Burkina Faso,2010,1434528
Cape Verde,2010,152863
Cote d'Ivoire,2010,939795
Gambia,2010,77440
Ghana,2010,762002
Guinea,2010,455866
Guinea-Bissau,2010,91546
Liberia,2010,219139
Mali,2010,994832
Mauritania,2010,114192
Niger,2010,335897
Nigeria,2010,996914
Saint Helena,2010,3607
Senegal,2010,547495
Sierra Leone,2010,126730
Togo,2010,417178
Asia,2010,88122177
Central Asia,2010,7232295
Kazakhstan,2010,3797527
Kyrgyzstan,2010,726544
Tajikistan,2010,584647
Turkmenistan,2010,234635
Uzbekistan,2010,1888942
Eastern Asia,2010,12863294
China,2010,8714648
Hong Kong,2010,862070
Macao,2010,123599
Taiwan,2010,0
North Korea,2010,96459
Japan,2010,756792
Mongolia,2010,57405
South Korea,2010,2252321
South-Eastern Asia,2010,18113912
Brunei,2010,44541
Cambodia,2010,953059
Indonesia,2010,3415963
Laos,2010,1198862
Malaysia,2010,1599061
Myanmar,2010,2492274
Philippines,2010,4692695
Singapore,2010,282421
Thailand,2010,769257
Timor-Leste,2010,35037
Vietnam,2010,2630742
Southern Asia,2010,33850093
Afghanistan,2010,5269518
Bangladesh,2010,6319871
Bhutan,2010,91934
India,2010,13221963
Iran,2010,985691
Maldives,2010,3543
Nepal,2010,1712697
Pakistan,2010,4790584
Sri Lanka,2010,1454292
Western Asia,2010,16062583
Armenia,2010,917043
Azerbaijan,2010,1160863
Bahrain,2010,52235
Cyprus,2010,163471
Georgia,2010,805539
Iraq,2010,2554929
Israel,2010,333968
Jordan,2010,602099
Kuwait,2010,177816
Lebanon,2010,699704
Oman,2010,20752
Qatar,2010,20674
Saudi Arabia,2010,215338
Palestine,2010,3539908
Syria,2010,1057322
Turkey,2010,2708930
United Arab Emirates,2010,155609
Yemen,2010,876383
Europe,2010,54711301
Eastern Europe,2010,27578142
Belarus,2010,1464702
Bulgaria,2010,1106483
Czechia,2010,779438
Hungary,2010,511199
Poland,2010,3716338
Moldova,2010,827409
Romania,2010,3363361
Russia,2010,10118680
Slovakia,2010,260656
Ukraine,2010,5429876
Northern Europe,2010,7178780
Channel Islands,2010,15699
Denmark,2010,233531
Estonia,2010,153633
Faeroe Islands,2010,12364
Finland,2010,291883
Iceland,2010,32454
Ireland,2010,729466
Isle of Man,2010,9033
Latvia,2010,278168
Lithuania,2010,517746
Norway,2010,179971
Sweden,2010,291904
United Kingdom,2010,4432928
Southern Europe,2010,11728125
Albania,2010,1117940
Andorra,2010,7909
Bosnia and Herzegovina,2010,1572925
Croatia,2010,820407
Gibraltar,2010,10197
Greece,2010,789457
Vatican,2010,175
Italy,2010,2559233
Malta,2010,99294
Montenegro,2010,148754
North Macedonia,2010,526151
Portugal,2010,1927397
San Marino,2010,2266
Serbia,2010,936001
Slovenia,2010,122948
Spain,2010,1087071
Western Europe,2010,8226254
Austria,2010,517401
Belgium,2010,484032
France,2010,1956818
Germany,2010,3696638
Liechtenstein,2010,3590
Luxembourg,2010,62048
Monaco,2010,26954
Netherlands,2010,854388
Switzerland,2010,624385
Latin America and the Caribbean,2010,34637650
Caribbean,2010,7273502
Anguilla,2010,2273
Antigua and Barbuda,2010,41347
Aruba,2010,13524
Bahamas,2010,35990
Barbados,2010,96193
Bonaire Sint Eustatius and Saba,2010,7065
British Virgin Islands,2010,4921
Cayman Islands,2010,1404
Cuba,2010,1314739
Curacao,2010,45248
Dominica,2010,73583
Dominican Republic,2010,1184417
Grenada,2010,63930
Guadeloupe,2010,10779
Haiti,2010,1123190
Jamaica,2010,989790
Martinique,2010,14637
Montserrat,2010,17378
Puerto Rico,2010,1731818
Saint Barthlemy,2010,0
Saint Kitts and Nevis,2010,35795
Saint Lucia,2010,50318
Saint Martin (French part),2010,0
Saint Vincent and the Grenadines,2010,55435
Sint Maarten (Dutch part),2010,3303
Trinidad and Tobago,2010,350517
Turks and Caicos Islands,2010,2197
United States Virgin Islands,2010,3711
Central America,2010,16204451
Belize,2010,57371
Costa Rica,2010,132317
El Salvador,2010,1337085
Guatemala,2010,924898
Honduras,2010,587503
Mexico,2010,12415222
Nicaragua,2010,610211
Panama,2010,139844
South America,2010,11159697
Argentina,2010,938639
Bolivia,2010,779961
Brazil,2010,1495404
Chile,2010,571842
Colombia,2010,2554020
Ecuador,2010,1152897
Falkland Islands,2010,1174
French Guiana,2010,3940
Guyana,2010,439233
Paraguay,2010,765811
Peru,2010,1299095
Suriname,2010,258715
Uruguay,2010,338438
Venezuela,2010,560528
Northern America,2010,3969803
Bermuda,2010,15313
Canada,2010,1268057
Greenland,2010,15391
Saint Pierre and Miquelon,2010,390
United States,2010,2670652
Oceania,2010,1591168
Australia and New Zealand,2010,1149265
Australia,2010,486949
New Zealand,2010,662316
Melanesia,2010,204278
Fiji,2010,183607
New Caledonia,2010,5377
Papua New Guinea,2010,4231
Solomon Islands,2010,3371
Vanuatu,2010,7692
Micronesia (country),2010,39030
Guam,2010,2209
Kiribati,2010,3565
Marshall Islands,2010,6492
Micronesia (region),2010,19404
Nauru,2010,2130
Northern Mariana Islands,2010,2611
Palau,2010,2619
Polynesia,2010,198595
American Samoa,2010,2157
Cook Islands,2010,20556
French Polynesia,2010,1550
Niue,2010,5347
Samoa,2010,104820
Tokelau,2010,2168
Tonga,2010,51521
Tuvalu,2010,3011
Wallis and Futuna,2010,7465
Other,2010,8757236
World,2015,247958644
Sub-Saharan Africa,2015,24197211
Northern Africa and Western Asia,2015,32606047
Central and Southern Asia,2015,46481130
Eastern and South-Eastern Asia,2015,35205590
Latin America and the Caribbean,2015,36206000
Oceania (excluding Australia and New Zealand),2015,495220
Australia and New Zealand,2015,1256202
Europe and Northern America,2015,60592402
Developed regions,2015,62613012
Less developed regions,2015,174426790
"Less developed regions, excluding least developed countries",2015,132944110
"Less developed regions, excluding China",2015,163095388
Least developed countries,2015,41482680
Land-locked Developing Countries (LLDC),2015,31336289
Small island developing States (SIDS),2015,10467162
High-income countries,2015,47356719
Middle-income countries,2015,157981964
Upper-middle-income countries,2015,77576140
Lower-middle-income countries,2015,80405824
Low-income countries,2015,31399947
Africa,2015,35111959
Eastern Africa,2015,9824290
Burundi,2015,459979
Comoros,2015,121749
Djibouti,2015,16969
Eritrea,2015,624757
Ethiopia,2015,842496
Kenya,2015,480647
Madagascar,2015,175868
Malawi,2015,297471
Mauritius,2015,165869
Mayotte,2015,6545
Mozambique,2015,596949
Reunion,2015,2907
Rwanda,2015,503667
Seychelles,2015,27483
Somalia,2015,2008490
South Sudan,2015,1060678
Uganda,2015,786229
Tanzania,2015,294102
Zambia,2015,184371
Zimbabwe,2015,1167064
Middle Africa,2015,3816990
Angola,2015,618288
Cameroon,2015,348974
Central African Republic,2015,686224
Chad,2015,191269
Congo,2015,204829
Democratic Republic of Congo,2015,1572222
Equatorial Guinea,2015,116947
Gabon,2015,43075
Sao Tome and Principe,2015,35162
Northern Africa,2015,10914748
Algeria,2015,1836502
Egypt,2015,3151069
Libya,2015,152544
Morocco,2015,2971770
Sudan,2015,1842602
Tunisia,2015,774376
Western Sahara,2015,185885
Southern Africa,2015,1129951
Botswana,2015,55294
Eswatini,2015,46236
Lesotho,2015,191457
Namibia,2015,50410
South Africa,2015,786554
Western Africa,2015,9425980
Benin,2015,634923
Burkina Faso,2015,1518568
Cape Verde,2015,171429
Cote d'Ivoire,2015,1056380
Gambia,2015,96963
Ghana,2015,892253
Guinea,2015,493411
Guinea-Bissau,2015,98151
Liberia,2015,205741
Mali,2015,1228544
Mauritania,2015,114630
Niger,2015,374993
Nigeria,2015,1306526
Saint Helena,2015,4285
Senegal,2015,594507
Sierra Leone,2015,139296
Togo,2015,495380
Asia,2015,103378019
Central Asia,2015,7428032
Kazakhstan,2015,3885576
Kyrgyzstan,2015,742841
Tajikistan,2015,585060
Turkmenistan,2015,238531
Uzbekistan,2015,1976024
Eastern Asia,2015,14417725
China,2015,10240817
Hong Kong,2015,957289
Macao,2015,133296
Taiwan,2015,0
North Korea,2015,103898
Japan,2015,764408
Mongolia,2015,65485
South Korea,2015,2152532
South-Eastern Asia,2015,20787865
Brunei,2015,45110
Cambodia,2015,1074572
Indonesia,2015,4065095
Laos,2015,1288179
Malaysia,2015,1781038
Myanmar,2015,2842494
Philippines,2015,5498232
Singapore,2015,324639
Thailand,2015,921690
Timor-Leste,2015,37325
Vietnam,2015,2909491
Southern Asia,2015,39053098
Afghanistan,2015,5400916
Bangladesh,2015,6831282
Bhutan,2015,51391
India,2015,15885657
Iran,2015,1155617
Maldives,2015,3606
Nepal,2015,2270166
Pakistan,2015,5798210
Sri Lanka,2015,1656253
Western Asia,2015,21691299
Armenia,2015,944520
Azerbaijan,2015,1130348
Bahrain,2015,56721
Cyprus,2015,166585
Georgia,2015,828931
Iraq,2015,1675613
Israel,2015,331326
Jordan,2015,706832
Kuwait,2015,195034
Lebanon,2015,757183
Oman,2015,22797
Qatar,2015,23574
Saudi Arabia,2015,282906
Palestine,2015,3773988
Syria,2015,6447843
Turkey,2015,3073534
United Arab Emirates,2015,178324
Yemen,2015,1095240
Europe,2015,56577753
Eastern Europe,2015,28822615
Belarus,2015,1469882
Bulgaria,2015,1179625
Czechia,2015,819776
Hungary,2015,600887
Poland,2015,4077038
Moldova,2015,929759
Romania,2015,3420714
Russia,2015,10179999
Slovakia,2015,347385
Ukraine,2015,5797550
Northern Europe,2015,7315147
Channel Islands,2015,16469
Denmark,2015,236832
Estonia,2015,189109
Faeroe Islands,2015,13407
Finland,2015,282223
Iceland,2015,37006
Ireland,2015,736639
Isle of Man,2015,10580
Latvia,2015,369238
Lithuania,2015,556292
Norway,2015,185578
Sweden,2015,302408
United Kingdom,2015,4379366
Southern Europe,2015,12045253
Albania,2015,1142844
Andorra,2015,8740
Bosnia and Herzegovina,2015,1593430
Croatia,2015,806242
Gibraltar,2015,11916
Greece,2015,820119
Vatican,2015,310
Italy,2015,2662661
Malta,2015,93554
Montenegro,2015,134028
North Macedonia,2015,563354
Portugal,2015,1971655
San Marino,2015,3688
Serbia,2015,826891
Slovenia,2015,136538
Spain,2015,1269283
Western Europe,2015,8394738
Austria,2015,515234
Belgium,2015,515793
France,2015,2119266
Germany,2015,3630278
Liechtenstein,2015,3536
Luxembourg,2015,69366
Monaco,2015,29317
Netherlands,2015,867093
Switzerland,2015,644855
Latin America and the Caribbean,2015,36206000
Caribbean,2015,8135307
Anguilla,2015,2553
Antigua and Barbuda,2015,52189
Aruba,2015,16621
Bahamas,2015,42965
Barbados,2015,101879
Bonaire Sint Eustatius and Saba,2015,7295
British Virgin Islands,2015,5118
Cayman Islands,2015,1709
Cuba,2015,1505827
Curacao,2015,6239
Dominica,2015,72585
Dominican Republic,2015,1454602
Grenada,2015,69055
Guadeloupe,2015,11993
Haiti,2015,1467042
Jamaica,2015,1031596
Martinique,2015,12675
Montserrat,2015,20136
Puerto Rico,2015,1715817
Saint Barthlemy,2015,0
Saint Kitts and Nevis,2015,40211
Saint Lucia,2015,57939
Saint Martin (French part),2015,0
Saint Vincent and the Grenadines,2015,62292
Sint Maarten (Dutch part),2015,1929
Trinidad and Tobago,2015,368633
Turks and Caicos Islands,2015,2454
United States Virgin Islands,2015,3953
Central America,2015,16291222
Belize,2015,63099
Costa Rica,2015,138237
El Salvador,2015,1512895
Guatemala,2015,1118115
Honduras,2015,729855
Mexico,2015,11923234
Nicaragua,2015,655577
Panama,2015,150210
South America,2015,11779471
Argentina,2015,943843
Bolivia,2015,824008
Brazil,2015,1504231
Chile,2015,618015
Colombia,2015,2698688
Ecuador,2015,1130774
Falkland Islands,2015,1370
French Guiana,2015,4517
Guyana,2015,481258
Paraguay,2015,845591
Peru,2015,1410199
Suriname,2015,254612
Uruguay,2015,353225
Venezuela,2015,709140
Northern America,2015,4014649
Bermuda,2015,16225
Canada,2015,1263552
Greenland,2015,16711
Saint Pierre and Miquelon,2015,400
United States,2015,2717761
Oceania,2015,1751422
Australia and New Zealand,2015,1256202
Australia,2015,518158
New Zealand,2015,738044
Melanesia,2015,229769
Fiji,2015,208568
New Caledonia,2015,5584
Papua New Guinea,2015,4980
Solomon Islands,2015,3886
Vanuatu,2015,6751
Micronesia (country),2015,41950
Guam,2015,2132
Kiribati,2015,4127
Marshall Islands,2015,7625
Micronesia (region),2015,20633
Nauru,2015,2267
Northern Mariana Islands,2015,2607
Palau,2015,2559
Polynesia,2015,223501
American Samoa,2015,1961
Cook Islands,2015,21555
French Polynesia,2015,1978
Niue,2015,5348
Samoa,2015,116855
Tokelau,2015,2171
Tonga,2015,59203
Tuvalu,2015,3203
Wallis and Futuna,2015,11227
Other,2015,10918842
World,2020,280598105
Sub-Saharan Africa,2020,28284538
Northern Africa and Western Asia,2020,37563820
Central and Southern Asia,2020,51229549
Eastern and South-Eastern Asia,2020,38400740
Latin America and the Caribbean,2020,42890481
Oceania (excluding Australia and New Zealand),2020,565281
Australia and New Zealand,2020,1404924
Europe and Northern America,2020,67601621
Developed regions,2020,69815370
Less developed regions,2020,198125584
"Less developed regions, excluding least developed countries",2020,150520987
"Less developed regions, excluding China",2020,186511434
Least developed countries,2020,47604597
Land-locked Developing Countries (LLDC),2020,35277768
Small island developing States (SIDS),2020,11559408
High-income countries,2020,52808019
Middle-income countries,2020,177395834
Upper-middle-income countries,2020,87648518
Lower-middle-income countries,2020,89747316
Low-income countries,2020,37419672
Africa,2020,40567163
Eastern Africa,2020,12027289
Burundi,2020,551105
Comoros,2020,150823
Djibouti,2020,18365
Eritrea,2020,802822
Ethiopia,2020,946129
Kenya,2020,535348
Madagascar,2020,193526
Malawi,2020,311052
Mauritius,2020,182973
Mayotte,2020,6767
Mozambique,2020,640160
Reunion,2020,3064
Rwanda,2020,492489
Seychelles,2020,29258
Somalia,2020,2034221
South Sudan,2020,2575870
Uganda,2020,781440
Tanzania,2020,327863
Zambia,2020,200700
Zimbabwe,2020,1243314
Middle Africa,2020,4420662
Angola,2020,668066
Cameroon,2020,441015
Central African Republic,2020,816668
Chad,2020,222303
Congo,2020,223767
Democratic Republic of Congo,2020,1832069
Equatorial Guinea,2020,128774
Gabon,2020,48392
Sao Tome and Principe,2020,39608
Northern Africa,2020,12282625
Algeria,2020,2022337
Egypt,2020,3610461
Libya,2020,185518
Morocco,2020,3262222
Sudan,2020,2104887
Tunisia,2020,902268
Western Sahara,2020,194932
Southern Africa,2020,1278435
Botswana,2020,63561
Eswatini,2020,50039
Lesotho,2020,202164
Namibia,2020,47770
South Africa,2020,914901
Western Africa,2020,10558152
Benin,2020,681827
Burkina Faso,2020,1599347
Cape Verde,2020,187558
Cote d'Ivoire,2020,1149298
Gambia,2020,139210
Ghana,2020,1004324
Guinea,2020,550790
Guinea-Bissau,2020,111790
Liberia,2020,233564
Mali,2020,1303511
Mauritania,2020,130226
Niger,2020,399707
Nigeria,2020,1670455
Saint Helena,2020,4885
Senegal,2020,693765
Sierra Leone,2020,152486
Togo,2020,545409
Asia,2020,114911484
Central Asia,2020,7835504
Kazakhstan,2020,4203899
Kyrgyzstan,2020,774377
Tajikistan,2020,586851
Turkmenistan,2020,242554
Uzbekistan,2020,2027823
Eastern Asia,2020,14820004
China,2020,10461170
Hong Kong,2020,1007788
Macao,2020,145192
Taiwan,2020,0
North Korea,2020,110377
Japan,2020,808825
Mongolia,2020,82098
South Korea,2020,2204554
South-Eastern Asia,2020,23580736
Brunei,2020,45340
Cambodia,2020,1104819
Indonesia,2020,4601369
Laos,2020,1296051
Malaysia,2020,1860037
Myanmar,2020,3711751
Philippines,2020,6094307
Singapore,2020,348464
Thailand,2020,1086985
Timor-Leste,2020,39588
Vietnam,2020,3392025
Southern Asia,2020,43394045
Afghanistan,2020,5853838
Bangladesh,2020,7401763
Bhutan,2020,51998
India,2020,17869492
Iran,2020,1325113
Maldives,2020,3715
Nepal,2020,2599701
Pakistan,2020,6328400
Sri Lanka,2020,1960025
Western Asia,2020,25281195
Armenia,2020,958190
Azerbaijan,2020,1163922
Bahrain,2020,58270
Cyprus,2020,173210
Georgia,2020,861077
Iraq,2020,2077976
Israel,2020,358691
Jordan,2020,814909
Kuwait,2020,212271
Lebanon,2020,856814
Oman,2020,25099
Qatar,2020,25705
Saudi Arabia,2020,299268
Palestine,2020,4022791
Syria,2020,8457214
Turkey,2020,3411408
United Arab Emirates,2020,203214
Yemen,2020,1301166
Europe,2020,63273663
Eastern Europe,2020,32194352
Belarus,2020,1483626
Bulgaria,2020,1683074
Czechia,2020,1026108
Hungary,2020,714420
Poland,2020,4825096
Moldova,2020,1159443
Romania,2020,3987093
Russia,2020,10756697
Slovakia,2020,419651
Ukraine,2020,6139144
Northern Europe,2020,7884780
Channel Islands,2020,17158
Denmark,2020,257025
Estonia,2020,206631
Faeroe Islands,2020,12927
Finland,2020,311889
Iceland,2020,43251
Ireland,2020,734317
Isle of Man,2020,12032
Latvia,2020,380010
Lithuania,2020,658057
Norway,2020,191392
Sweden,2020,327581
United Kingdom,2020,4732510
Southern Europe,2020,14017111
Albania,2020,1250451
Andorra,2020,11132
Bosnia and Herzegovina,2020,1687639
Croatia,2020,1039526
Gibraltar,2020,13389
Greece,2020,1088507
Vatican,2020,174
Italy,2020,3258831
Malta,2020,102793
Montenegro,2020,132965
North Macedonia,2020,693896
Portugal,2020,2081419
San Marino,2020,2407
Serbia,2020,1003962
Slovenia,2020,160197
Spain,2020,1489823
Western Europe,2020,9177420
Austria,2020,600740
Belgium,2020,577463
France,2020,2341908
Germany,2020,3855268
Liechtenstein,2020,3706
Luxembourg,2020,81757
Monaco,2020,32552
Netherlands,2020,970403
Switzerland,2020,713623
Latin America and the Caribbean,2020,42890481
Caribbean,2020,9078772
Anguilla,2020,2505
Antigua and Barbuda,2020,66561
Aruba,2020,21456
Bahamas,2020,53793
Barbados,2020,99611
Bonaire Sint Eustatius and Saba,2020,8148
British Virgin Islands,2020,5355
Cayman Islands,2020,1908
Cuba,2020,1757300
Curacao,2020,7611
Dominica,2020,78191
Dominican Republic,2020,1608567
Grenada,2020,62204
Guadeloupe,2020,12542
Haiti,2020,1769671
Jamaica,2020,1118931
Martinique,2020,12963
Montserrat,2020,24582
Puerto Rico,2020,1850529
Saint Barthlemy,2020,0
Saint Kitts and Nevis,2020,50285
Saint Lucia,2020,71227
Saint Martin (French part),2020,0
Saint Vincent and the Grenadines,2020,55525
Sint Maarten (Dutch part),2020,2191
Trinidad and Tobago,2020,330519
Turks and Caicos Islands,2020,2689
United States Virgin Islands,2020,3908
Central America,2020,16198974
Belize,2020,52756
Costa Rica,2020,150241
El Salvador,2020,1599058
Guatemala,2020,1368431
Honduras,2020,985077
Mexico,2020,11185737
Nicaragua,2020,718154
Panama,2020,139520
South America,2020,17612735
Argentina,2020,1076148
Bolivia,2020,927244
Brazil,2020,1897128
Chile,2020,643800
Colombia,2020,3024273
Ecuador,2020,1127891
Falkland Islands,2020,1518
French Guiana,2020,4595
Guyana,2020,438413
Paraguay,2020,896484
Peru,2020,1519635
Suriname,2020,273209
Uruguay,2020,367060
Venezuela,2020,5415337
Northern America,2020,4327958
Bermuda,2020,21107
Canada,2020,1292329
Greenland,2020,17866
Saint Pierre and Miquelon,2020,433
United States,2020,2996223
Oceania,2020,1970205
Australia and New Zealand,2020,1404924
Australia,2020,598765
New Zealand,2020,806159
Melanesia,2020,256021
Fiji,2020,233856
New Caledonia,2020,5839
Papua New Guinea,2020,4810
Solomon Islands,2020,4270
Vanuatu,2020,7246
Micronesia (country),2020,50998
Guam,2020,2213
Kiribati,2020,5103
Marshall Islands,2020,10886
Micronesia (region),2020,24945
Nauru,2020,2454
Northern Mariana Islands,2020,2741
Palau,2020,2656
Polynesia,2020,258262
American Samoa,2020,1832
Cook Islands,2020,21106
French Polynesia,2020,2157
Niue,2020,5186
Samoa,2020,135732
Tokelau,2020,2112
Tonga,2020,74550
Tuvalu,2020,3670
Wallis and Futuna,2020,11917
Other,2020,12657151
