Country,Year,undesa_five_year_change_in_international_migrants_by_origin
Greenland,2010,773
Saint Pierre and Miquelon,2010,-36
United States,2010,373653
Oceania,2010,199750
Australia and New Zealand,2010,0
Australia,2010,58180
New Zealand,2010,106805
Melanesia,2010,27258
Fiji,2010,26562
New Caledonia,2010,158
Papua New Guinea,2010,-262
Solomon Islands,2010,372
Vanuatu,2010,428
Micronesia (country),2010,-902
Guam,2010,-326
Kiribati,2010,-456
Marshall Islands,2010,-162
Micronesia (region),2010,1058
Nauru,2010,261
Northern Mariana Islands,2010,-114
Palau,2010,-1163
Polynesia,2010,8409
American Samoa,2010,-431
Cook Islands,2010,976
French Polynesia,2010,-1167
Niue,2010,56
Samoa,2010,5590
Tokelau,2010,78
Tonga,2010,3184
Tuvalu,2010,94
Wallis and Futuna,2010,29
Other,2010,936571
World,2015,26975457
Sub-Saharan Africa,2015,4254487
Northern Africa and Western Asia,2015,7292336
Central and Southern Asia,2015,5398742
Eastern and South-Eastern Asia,2015,4228384
Latin America and the Caribbean,2015,1568350
Oceania (excluding Australia and New Zealand),2015,53317
Australia and New Zealand,2015,106937
Europe and Northern America,2015,1911298
Developed regions,2015,2025851
Less developed regions,2015,22788000
"Less developed regions, excluding least developed countries",2015,16803019
"Less developed regions, excluding China",2015,21156915
Least developed countries,2015,5984981
Land-locked Developing Countries (LLDC),2015,3595384
Small island developing States (SIDS),2015,1066007
High-income countries,2015,1707523
Middle-income countries,2015,13400065
Upper-middle-income countries,2015,3400725
Lower-middle-income countries,2015,9999340
Low-income countries,2015,9681331
Africa,2015,5918107
Eastern Africa,2015,2300098
Burundi,2015,175901
Comoros,2015,12624
Djibouti,2015,3172
Eritrea,2015,296391
Ethiopia,2015,162206
Kenya,2015,38015
Madagascar,2015,15049
Malawi,2015,36940
Mauritius,2015,17683
Mayotte,2015,203
Mozambique,2015,-200859
Reunion,2015,158
Rwanda,2015,169423
Seychelles,2015,1551
Somalia,2015,413162
South Sudan,2015,658062
Uganda,2015,54461
Tanzania,2015,31930
Zambia,2015,1605
Zimbabwe,2015,412421
Middle Africa,2015,809447
Angola,2015,-33095
Cameroon,2015,70076
Central African Republic,2015,440291
Chad,2015,-11154
Congo,2015,26718
Democratic Republic of Congo,2015,273678
Equatorial Guinea,2015,32557
Gabon,2015,6142
Sao Tome and Principe,2015,4234
Northern Africa,2015,1663620
Algeria,2015,181238
Egypt,2015,564426
Libya,2015,25145
Morocco,2015,111068
Sudan,2015,607409
Tunisia,2015,158644
Western Sahara,2015,15690
Southern Africa,2015,-69862
Botswana,2015,11045
Eswatini,2015,-22794
Lesotho,2015,-51671
Namibia,2015,-49189
South Africa,2015,42747
Western Africa,2015,1214804
Benin,2015,93771
Burkina Faso,2015,84040
Cape Verde,2015,18566
Cote d'Ivoire,2015,116585
Gambia,2015,19523
Ghana,2015,130251
Guinea,2015,37545
Guinea-Bissau,2015,6605
Liberia,2015,-13398
Mali,2015,233712
Mauritania,2015,438
Niger,2015,39096
Nigeria,2015,309612
Saint Helena,2015,678
Senegal,2015,47012
Sierra Leone,2015,12566
Togo,2015,78202
Asia,2015,15255842
Central Asia,2015,195737
Kazakhstan,2015,88049
Kyrgyzstan,2015,16297
Tajikistan,2015,413
Turkmenistan,2015,3896
Uzbekistan,2015,87082
Eastern Asia,2015,1554431
China,2015,1526169
Hong Kong,2015,95219
Macao,2015,9697
Taiwan,2015,0
North Korea,2015,7439
Japan,2015,7616
Mongolia,2015,8080
South Korea,2015,-99789
South-Eastern Asia,2015,2673953
Brunei,2015,569
Cambodia,2015,121513
Indonesia,2015,649132
Laos,2015,89317
Malaysia,2015,181977
Myanmar,2015,350220
Philippines,2015,805537
Singapore,2015,42218
Thailand,2015,152433
Timor-Leste,2015,2288
Vietnam,2015,278749
Southern Asia,2015,5203005
Afghanistan,2015,131398
Bangladesh,2015,511411
Bhutan,2015,-40543
India,2015,2663694
Iran,2015,169926
Maldives,2015,63
Nepal,2015,557469
Pakistan,2015,1007626
Sri Lanka,2015,201961
Western Asia,2015,5628716
Armenia,2015,27477
Azerbaijan,2015,-30515
Bahrain,2015,4486
Cyprus,2015,3114
Georgia,2015,23392
Iraq,2015,-879316
Israel,2015,-2642
Jordan,2015,104733
Kuwait,2015,17218
Lebanon,2015,57479
Oman,2015,2045
Qatar,2015,2900
Saudi Arabia,2015,67568
Palestine,2015,234080
Syria,2015,5390521
Turkey,2015,364604
United Arab Emirates,2015,22715
Yemen,2015,218857
Europe,2015,1866452
Eastern Europe,2015,1244473
Belarus,2015,5180
Bulgaria,2015,73142
Czechia,2015,40338
Hungary,2015,89688
Poland,2015,360700
Moldova,2015,102350
Romania,2015,57353
Russia,2015,61319
Slovakia,2015,86729
Ukraine,2015,367674
Northern Europe,2015,136367
Channel Islands,2015,770
Denmark,2015,3301
Estonia,2015,35476
Faeroe Islands,2015,1043
Finland,2015,-9660
Iceland,2015,4552
Ireland,2015,7173
Isle of Man,2015,1547
Latvia,2015,91070
Lithuania,2015,38546
Norway,2015,5607
Sweden,2015,10504
United Kingdom,2015,-53562
Southern Europe,2015,317128
Albania,2015,24904
Andorra,2015,831
Bosnia and Herzegovina,2015,20505
Croatia,2015,-14165
Gibraltar,2015,1719
Greece,2015,30662
Vatican,2015,135
Italy,2015,103428
Malta,2015,-5740
Montenegro,2015,-14726
North Macedonia,2015,37203
Portugal,2015,44258
San Marino,2015,1422
Serbia,2015,-109110
Slovenia,2015,13590
Spain,2015,182212
Western Europe,2015,168484
Austria,2015,-2167
Belgium,2015,31761
France,2015,162448
Germany,2015,-66360
Liechtenstein,2015,-54
Luxembourg,2015,7318
Monaco,2015,2363
Netherlands,2015,12705
Switzerland,2015,20470
Latin America and the Caribbean,2015,0
Caribbean,2015,861805
Anguilla,2015,280
Antigua and Barbuda,2015,10842
Aruba,2015,3097
Bahamas,2015,6975
Barbados,2015,5686
Bonaire Sint Eustatius and Saba,2015,230
British Virgin Islands,2015,197
Cayman Islands,2015,305
Cuba,2015,191088
Curacao,2015,-39009
Dominica,2015,-998
Dominican Republic,2015,270185
Grenada,2015,5125
Guadeloupe,2015,1214
Haiti,2015,343852
Jamaica,2015,41806
Martinique,2015,-1962
Montserrat,2015,2758
Puerto Rico,2015,-16001
Saint Barthlemy,2015,0
Saint Kitts and Nevis,2015,4416
Saint Lucia,2015,7621
Saint Martin (French part),2015,0
Saint Vincent and the Grenadines,2015,6857
Sint Maarten (Dutch part),2015,-1374
Trinidad and Tobago,2015,18116
Turks and Caicos Islands,2015,257
United States Virgin Islands,2015,242
Central America,2015,86771
Belize,2015,5728
Costa Rica,2015,5920
El Salvador,2015,175810
Guatemala,2015,193217
Honduras,2015,142352
Mexico,2015,-491988
Nicaragua,2015,45366
Panama,2015,10366
South America,2015,619774
Argentina,2015,5204
Bolivia,2015,44047
Brazil,2015,8827
Chile,2015,46173
Colombia,2015,144668
Ecuador,2015,-22123
Falkland Islands,2015,196
French Guiana,2015,577
Guyana,2015,42025
Paraguay,2015,79780
Peru,2015,111104
Suriname,2015,-4103
Uruguay,2015,14787
Venezuela,2015,148612
Northern America,2015,44846
Bermuda,2015,912
Canada,2015,-4505
Greenland,2015,1320
Saint Pierre and Miquelon,2015,10
United States,2015,47109
Oceania,2015,160254
Australia and New Zealand,2015,0
Australia,2015,31209
New Zealand,2015,75728
Melanesia,2015,25491
Fiji,2015,24961
New Caledonia,2015,207
Papua New Guinea,2015,749
Solomon Islands,2015,515
Vanuatu,2015,-941
Micronesia (country),2015,2920
Guam,2015,-77
Kiribati,2015,562
Marshall Islands,2015,1133
Micronesia (region),2015,1229
Nauru,2015,137
Northern Mariana Islands,2015,-4
Palau,2015,-60
Polynesia,2015,24906
American Samoa,2015,-196
Cook Islands,2015,999
French Polynesia,2015,428
Niue,2015,1
Samoa,2015,12035
Tokelau,2015,3
Tonga,2015,7682
Tuvalu,2015,192
Wallis and Futuna,2015,3762
Other,2015,2161606
World,2020,32639461
Sub-Saharan Africa,2020,4087327
Northern Africa and Western Asia,2020,4957773
Central and Southern Asia,2020,4748419
Eastern and South-Eastern Asia,2020,3195150
Latin America and the Caribbean,2020,6684481
Oceania (excluding Australia and New Zealand),2020,70061
Australia and New Zealand,2020,148722
Europe and Northern America,2020,7009219
Developed regions,2020,7202358
Less developed regions,2020,23698794
"Less developed regions, excluding least developed countries",2020,17576877
"Less developed regions, excluding China",2020,23416046
Least developed countries,2020,6121917
Land-locked Developing Countries (LLDC),2020,3941479
Small island developing States (SIDS),2020,1092246
High-income countries,2020,5451300
Middle-income countries,2020,19413870
Upper-middle-income countries,2020,10072378
Lower-middle-income countries,2020,9341492
Low-income countries,2020,6019725
Africa,2020,5455204
Eastern Africa,2020,2202999
Burundi,2020,91126
Comoros,2020,29074
Djibouti,2020,1396
Eritrea,2020,178065
Ethiopia,2020,103633
Kenya,2020,54701
Madagascar,2020,17658
Malawi,2020,13581
Mauritius,2020,17104
Mayotte,2020,222
Mozambique,2020,43211
Reunion,2020,157
Rwanda,2020,-11178
Seychelles,2020,1775
Somalia,2020,25731
South Sudan,2020,1515192
Uganda,2020,-4789
Tanzania,2020,33761
Zambia,2020,16329
Zimbabwe,2020,76250
Middle Africa,2020,603672
Angola,2020,49778
Cameroon,2020,92041
Central African Republic,2020,130444
Chad,2020,31034
Congo,2020,18938
Democratic Republic of Congo,2020,259847
Equatorial Guinea,2020,11827
Gabon,2020,5317
Sao Tome and Principe,2020,4446
Northern Africa,2020,1367877
Algeria,2020,185835
Egypt,2020,459392
Libya,2020,32974
Morocco,2020,290452
Sudan,2020,262285
Tunisia,2020,127892
Western Sahara,2020,9047
Southern Africa,2020,148484
Botswana,2020,8267
Eswatini,2020,3803
Lesotho,2020,10707
Namibia,2020,-2640
South Africa,2020,128347
Western Africa,2020,1132172
Benin,2020,46904
Burkina Faso,2020,80779
Cape Verde,2020,16129
Cote d'Ivoire,2020,92918
Gambia,2020,42247
Ghana,2020,112071
Guinea,2020,57379
Guinea-Bissau,2020,13639
Liberia,2020,27823
Mali,2020,74967
Mauritania,2020,15596
Niger,2020,24714
Nigeria,2020,363929
Saint Helena,2020,600
Senegal,2020,99258
Sierra Leone,2020,13190
Togo,2020,50029
Asia,2020,11533465
Central Asia,2020,407472
Kazakhstan,2020,318323
Kyrgyzstan,2020,31536
Tajikistan,2020,1791
Turkmenistan,2020,4023
Uzbekistan,2020,51799
Eastern Asia,2020,402279
China,2020,220353
Hong Kong,2020,50499
Macao,2020,11896
Taiwan,2020,0
North Korea,2020,6479
Japan,2020,44417
Mongolia,2020,16613
South Korea,2020,52022
South-Eastern Asia,2020,2792871
Brunei,2020,230
Cambodia,2020,30247
Indonesia,2020,536274
Laos,2020,7872
Malaysia,2020,78999
Myanmar,2020,869257
Philippines,2020,596075
Singapore,2020,23825
Thailand,2020,165295
Timor-Leste,2020,2263
Vietnam,2020,482534
Southern Asia,2020,4340947
Afghanistan,2020,452922
Bangladesh,2020,570481
Bhutan,2020,607
India,2020,1983835
Iran,2020,169496
Maldives,2020,109
Nepal,2020,329535
Pakistan,2020,530190
Sri Lanka,2020,303772
Western Asia,2020,3589896
Armenia,2020,13670
Azerbaijan,2020,33574
Bahrain,2020,1549
Cyprus,2020,6625
Georgia,2020,32146
Iraq,2020,402363
Israel,2020,27365
Jordan,2020,108077
Kuwait,2020,17237
Lebanon,2020,99631
Oman,2020,2302
Qatar,2020,2131
Saudi Arabia,2020,16362
Palestine,2020,248803
Syria,2020,2009371
Turkey,2020,337874
United Arab Emirates,2020,24890
Yemen,2020,205926
Europe,2020,6695910
Eastern Europe,2020,3371737
Belarus,2020,13744
Bulgaria,2020,503449
Czechia,2020,206332
Hungary,2020,113533
Poland,2020,748058
Moldova,2020,229684
Romania,2020,566379
Russia,2020,576698
Slovakia,2020,72266
Ukraine,2020,341594
Northern Europe,2020,569633
Channel Islands,2020,689
Denmark,2020,20193
Estonia,2020,17522
Faeroe Islands,2020,-480
Finland,2020,29666
Iceland,2020,6245
Ireland,2020,-2322
Isle of Man,2020,1452
Latvia,2020,10772
Lithuania,2020,101765
Norway,2020,5814
Sweden,2020,25173
United Kingdom,2020,353144
Southern Europe,2020,1971858
Albania,2020,107607
Andorra,2020,2392
Bosnia and Herzegovina,2020,94209
Croatia,2020,233284
Gibraltar,2020,1473
Greece,2020,268388
Vatican,2020,-136
Italy,2020,596170
Malta,2020,9239
Montenegro,2020,-1063
North Macedonia,2020,130542
Portugal,2020,109764
San Marino,2020,-1281
Serbia,2020,177071
Slovenia,2020,23659
Spain,2020,220540
Western Europe,2020,782682
Austria,2020,85506
Belgium,2020,61670
France,2020,222642
Germany,2020,224990
Liechtenstein,2020,170
Luxembourg,2020,12391
Monaco,2020,3235
Netherlands,2020,103310
Switzerland,2020,68768
Latin America and the Caribbean,2020,0
Caribbean,2020,943465
Anguilla,2020,-48
Antigua and Barbuda,2020,14372
Aruba,2020,4835
Bahamas,2020,10828
Barbados,2020,-2268
Bonaire Sint Eustatius and Saba,2020,853
British Virgin Islands,2020,237
Cayman Islands,2020,199
Cuba,2020,251473
Curacao,2020,1372
Dominica,2020,5606
Dominican Republic,2020,153965
Grenada,2020,-6851
Guadeloupe,2020,549
Haiti,2020,302629
Jamaica,2020,87335
Martinique,2020,288
Montserrat,2020,4446
Puerto Rico,2020,134712
Saint Barthlemy,2020,0
Saint Kitts and Nevis,2020,10074
Saint Lucia,2020,13288
Saint Martin (French part),2020,0
Saint Vincent and the Grenadines,2020,-6767
Sint Maarten (Dutch part),2020,262
Trinidad and Tobago,2020,-38114
Turks and Caicos Islands,2020,235
United States Virgin Islands,2020,-45
Central America,2020,-92248
Belize,2020,-10343
Costa Rica,2020,12004
El Salvador,2020,86163
Guatemala,2020,250316
Honduras,2020,255222
Mexico,2020,-737497
Nicaragua,2020,62577
Panama,2020,-10690
South America,2020,5833264
Argentina,2020,132305
Bolivia,2020,103236
Brazil,2020,392897
Chile,2020,25785
Colombia,2020,325585
Ecuador,2020,-2883
Falkland Islands,2020,148
French Guiana,2020,78
Guyana,2020,-42845
Paraguay,2020,50893
Peru,2020,109436
Suriname,2020,18597
Uruguay,2020,13835
Venezuela,2020,4706197
Northern America,2020,313309
Bermuda,2020,4882
Canada,2020,28777
Greenland,2020,1155
Saint Pierre and Miquelon,2020,33
United States,2020,278462
Oceania,2020,218783
Australia and New Zealand,2020,0
Australia,2020,80607
New Zealand,2020,68115
Melanesia,2020,26252
Fiji,2020,25288
New Caledonia,2020,255
Papua New Guinea,2020,-170
Solomon Islands,2020,384
Vanuatu,2020,495
Micronesia (country),2020,9048
Guam,2020,81
Kiribati,2020,976
Marshall Islands,2020,3261
Micronesia (region),2020,4312
Nauru,2020,187
Northern Mariana Islands,2020,134
Palau,2020,97
Polynesia,2020,34761
American Samoa,2020,-129
Cook Islands,2020,-449
French Polynesia,2020,179
Niue,2020,-162
Samoa,2020,18877
Tokelau,2020,-59
Tonga,2020,15347
Tuvalu,2020,467
Wallis and Futuna,2020,690
Other,2020,1738309
