Country,Year,undesa_net_migration_rate_per_1000
No income group available,1975,-13.796
Africa,1975,-0.989
Asia,1975,-0.103
Europe,1975,0.548
Latin America and the Caribbean,1975,-1.754
Northern America,1975,3.083
Oceania,1975,2.76
Sub-Saharan Africa,1975,-0.381
Eastern Africa,1975,-1.054
Burundi,1975,-14.847
Comoros,1975,-4.514
Djibouti,1975,36.47
Eritrea,1975,1.42
Ethiopia,1975,-0.391
Kenya,1975,-0.288
Madagascar,1975,-0.538
Malawi,1975,-0.595
Mauritius,1975,-4.763
Mayotte,1975,2.406
Mozambique,1975,-0.49
Reunion,1975,-10.026
Rwanda,1975,-0.985
Seychelles,1975,0.6
Somalia,1975,0
South Sudan,1975,1.345
Uganda,1975,-5.483
 Tanzania,1975,1.634
Zambia,1975,-0.877
Zimbabwe,1975,-1.573
Middle Africa,1975,0.261
Angola,1975,6.188
Cameroon,1975,-0.072
Central African Republic,1975,-5.306
Chad,1975,-2.537
Congo,1975,0
Democratic Republic of Congo,1975,0.256
Equatorial Guinea,1975,-50.018
Gabon,1975,0.97
Sao Tome and Principe,1975,-6.364
Southern Africa,1975,1.409
Botswana,1975,1.166
Eswatini,1975,-4.909
Lesotho,1975,-4.393
Namibia,1975,-0.611
South Africa,1975,1.884
Western Africa,1975,-0.346
Benin,1975,-1.609
Burkina Faso,1975,-5.782
Cape Verde,1975,-25.911
Cote d'Ivoire,1975,13.654
Gambia,1975,5.736
Ghana,1975,-3.055
Guinea,1975,-4.051
Guinea-Bissau,1975,-4.079
Liberia,1975,1.466
Mali,1975,-3.076
Mauritania,1975,-0.961
Niger,1975,-0.568
Nigeria,1975,-0.129
Senegal,1975,2.855
Sierra Leone,1975,0
Togo,1975,-4.419
Northern Africa and Western Asia,1975,-1.179
Northern Africa,1975,-3.071
Algeria,1975,-3.262
Egypt,1975,-3.061
Libya,1975,4.911
Morocco,1975,-6.023
Sudan,1975,0.357
Tunisia,1975,-3.622
Western Sahara,1975,-29.453
Western Asia,1975,0.62
Armenia,1975,6.451
Azerbaijan,1975,-1.86
Bahrain,1975,15.964
Cyprus,1975,0.967
Georgia,1975,-3.064
Iraq,1975,-0.159
Israel,1975,10.858
Jordan,1975,-3.137
Kuwait,1975,21.705
Lebanon,1975,-0.821
Oman,1975,6.344
Qatar,1975,50.202
Saudi Arabia,1975,14.584
Palestine,1975,-5.265
Syria,1975,-2.348
Turkey,1975,-1.295
United Arab Emirates,1975,133.103
Yemen,1975,-11.126
 Central and Southern Asia,1975,-0.285
Central Asia,1975,-0.092
Kazakhstan,1975,-1.892
Kyrgyzstan,1975,-0.771
Tajikistan,1975,1.774
Turkmenistan,1975,2.148
Uzbekistan,1975,1.09
Southern Asia,1975,-0.294
Afghanistan,1975,-0.335
Bangladesh,1975,-9.07
Bhutan,1975,6.195
India,1975,0.715
Iran,1975,0.507
Maldives,1975,3.832
Nepal,1975,-0.091
Pakistan,1975,-0.442
Sri Lanka,1975,-2.21
 Eastern and South-Eastern Asia,1975,-0.041
Eastern Asia,1975,-0.107
China,1975,-0.252
Hong Kong,1975,3.672
Macao,1975,-8.997
 Taiwan,1975,-0.319
North Korea,1975,0
Japan,1975,1.316
Mongolia,1975,0
South Korea,1975,-1.243
South-Eastern Asia,1975,0.19
Brunei,1975,14.956
Cambodia,1975,-3.443
Indonesia,1975,0.828
Laos,1975,0.003
Malaysia,1975,-2.357
Myanmar,1975,0
Philippines,1975,-1.946
Singapore,1975,0.543
Thailand,1975,1.998
Timor-Leste,1975,0
Vietnam,1975,0
Latin America and the Caribbean,1975,-1.754
Caribbean,1975,-4.648
Antigua and Barbuda,1975,-22.13
Aruba,1975,-11.817
Bahamas,1975,1.06
Barbados,1975,-5.718
Cuba,1975,-4.185
Curacao,1975,-6.805
Dominican Republic,1975,-2.937
Grenada,1975,-25.157
Guadeloupe,1975,-16.411
Haiti,1975,-3.603
Jamaica,1975,-9.328
Martinique,1975,-16.591
Puerto Rico,1975,-2.997
Saint Lucia,1975,-18.167
Saint Vincent and the Grenadines,1975,-18.151
Trinidad and Tobago,1975,-5.908
United States Virgin Islands,1975,24.887
Central America,1975,-3.326
Belize,1975,-16.701
Costa Rica,1975,1.283
El Salvador,1975,-4.649
Guatemala,1975,-4.563
Honduras,1975,-3.135
Mexico,1975,-3.314
Nicaragua,1975,-2.914
Panama,1975,-1.506
South America,1975,-0.803
Argentina,1975,1.142
Bolivia,1975,-1.123
Brazil,1975,0
Chile,1975,-3.166
Colombia,1975,-3.341
Ecuador,1975,-0.168
French Guiana,1975,9.717
Guyana,1975,-14.988
Paraguay,1975,-4.49
Peru,1975,-1.144
Suriname,1975,-31.256
Uruguay,1975,-9.645
Venezuela,1975,0.015
Australia/New Zealand,1975,4.142
Australia,1975,3.908
New Zealand,1975,5.198
Oceania (excluding Australia and New Zealand),1975,-2.137
Melanesia,1975,-0.624
Fiji,1975,-5.521
New Caledonia,1975,13.906
Papua New Guinea,1975,-0.433
Solomon Islands,1975,0.487
Vanuatu,1975,1.676
Micronesia (country),1975,-8.205
Guam,1975,-4.81
Kiribati,1975,-4.216
Micronesia (region),1975,-24.198
Polynesia,1975,-12.292
French Polynesia,1975,8.275
Samoa,1975,-20.256
Tonga,1975,-17.34
Europe and Northern America,1975,1.212
Europe,1975,0.548
Eastern Europe,1975,-0.174
Belarus,1975,0.818
Bulgaria,1975,-1.007
Czechia,1975,0.201
Hungary,1975,-0.468
Poland,1975,-1.026
Moldova,1975,3.003
Romania,1975,-0.019
Russia,1975,-0.45
Slovakia,1975,-0.657
Ukraine,1975,0.861
Northern Europe,1975,0.837
Channel Islands,1975,6.866
Denmark,1975,0.931
Estonia,1975,4.397
Finland,1975,1.238
Iceland,1975,-1.005
Ireland,1975,2.933
Latvia,1975,4.511
Lithuania,1975,2.348
Norway,1975,0.805
Sweden,1975,0.463
United Kingdom,1975,0.381
Southern Europe,1975,0.113
Albania,1975,-0.009
Bosnia and Herzegovina,1975,-4.247
Croatia,1975,-0.825
Greece,1975,0.47
Italy,1975,0.071
Malta,1975,-6.024
Montenegro,1975,-0.745
North Macedonia,1975,-6.925
Portugal,1975,2.428
Serbia,1975,-0.497
Slovenia,1975,2.103
Spain,1975,0.556
Western Europe,1975,1.942
Austria,1975,2.164
Belgium,1975,1.463
France,1975,2.1
Germany,1975,1.783
Luxembourg,1975,8.814
Netherlands,1975,2.799
Switzerland,1975,0.807
Northern America,1975,3.083
Canada,1975,6.825
United States,1975,2.697
World,1980,0
More developed regions,1980,1.235
Less developed regions,1980,-0.411
Least developed countries,1980,-2.118
"Less developed regions, excluding least developed countries",1980,-0.19
"Less developed regions, excluding China",1980,-0.605
Land-locked Developing Countries (LLDC),1980,-5.122
Small Island Developing States (SIDS),1980,-4.257
High-income countries,1980,1.517
Middle-income countries,1980,-0.261
Upper-middle-income countries,1980,-0.349
Lower-middle-income countries,1980,-0.157
Low-income countries,1980,-2.469
No income group available,1980,-0.157
Africa,1980,-0.718
Asia,1980,-0.095
Europe,1980,0.592
Latin America and the Caribbean,1980,-2.055
Northern America,1980,3.376
Oceania,1980,0.815
Sub-Saharan Africa,1980,-0.403
Eastern Africa,1980,-0.981
Burundi,1980,-7.65
Comoros,1980,7.078
Djibouti,1980,62.553
Eritrea,1980,1.235
Ethiopia,1980,-12.479
Kenya,1980,-0.039
Madagascar,1980,-0.737
Malawi,1980,0.481
Mauritius,1980,-4.438
Mayotte,1980,-3.924
Mozambique,1980,1.604
Reunion,1980,-7.253
Rwanda,1980,-0.841
Seychelles,1980,-0.951
Somalia,1980,70.703
South Sudan,1980,2.842
Uganda,1980,-3.106
 Tanzania,1980,-0.291
Zambia,1980,-0.926
Zimbabwe,1980,-4.445
Middle Africa,1980,0.366
Angola,1980,5.201
Cameroon,1980,0
Central African Republic,1980,-0.096
Chad,1980,-8.16
Congo,1980,-0.894
Democratic Republic of Congo,1980,0.818
Equatorial Guinea,1980,-23.726
Gabon,1980,1.455
Sao Tome and Principe,1980,-2.729
Southern Africa,1980,0.198
Botswana,1980,4.33
Eswatini,1980,-3.715
Lesotho,1980,-1.046
Namibia,1980,-8.835
South Africa,1980,0.546
Western Africa,1980,-0.229
Benin,1980,-1.111
Burkina Faso,1980,-6.701
Cape Verde,1980,-20.2
Cote d'Ivoire,1980,11.168
Gambia,1980,4.954
Ghana,1980,-8.741
Guinea,1980,-6.694
Guinea-Bissau,1980,-20.513
Liberia,1980,1.384
Mali,1980,-5.157
Mauritania,1980,-1.351
Niger,1980,-0.649
Nigeria,1980,2.4
Senegal,1980,-5.128
Sierra Leone,1980,0
Togo,1980,-7.795
Northern Africa and Western Asia,1980,-0.494
Northern Africa,1980,-1.805
Algeria,1980,-2.51
Egypt,1980,-2.909
Libya,1980,3.924
Morocco,1980,-3.28
Sudan,1980,2.702
Tunisia,1980,-2.396
Western Sahara,1980,107.693
Western Asia,1980,0.743
Armenia,1980,1.161
Azerbaijan,1980,-1.707
Bahrain,1980,31.264
Cyprus,1980,-0.364
Georgia,1980,-3.86
Iraq,1980,-0.754
Israel,1980,3.575
Jordan,1980,-7.269
Kuwait,1980,23.611
Lebanon,1980,-22.089
Oman,1980,15.009
Qatar,1980,29.269
Saudi Arabia,1980,18.438
Palestine,1980,-11.811
Syria,1980,-3.927
Turkey,1980,-1.249
United Arab Emirates,1980,95.019
Yemen,1980,-2.037
 Central and Southern Asia,1980,-0.165
Central Asia,1980,-2.001
Kazakhstan,1980,-6.036
Kyrgyzstan,1980,-2.657
Tajikistan,1980,1.25
Turkmenistan,1980,-0.375
Uzbekistan,1980,0.969
Southern Asia,1980,-0.084
Afghanistan,1980,-17.722
Bangladesh,1980,-3.039
Bhutan,1980,5.305
India,1980,0.336
Iran,1980,2.26
Maldives,1980,0
Nepal,1980,-0.577
Pakistan,1980,1.856
Sri Lanka,1980,-3.3
 Eastern and South-Eastern Asia,1980,-0.11
Eastern Asia,1980,0.028
China,1980,-0.01
Hong Kong,1980,17.206
Macao,1980,-8.367
 Taiwan,1980,-2.444
North Korea,1980,0
Japan,1980,0.356
Mongolia,1980,0
South Korea,1980,-0.9
South-Eastern Asia,1980,-0.583
Brunei,1980,9.331
Cambodia,1980,-2.391
Indonesia,1980,0.545
Laos,1980,-12.6
Malaysia,1980,-0.084
Myanmar,1980,0
Philippines,1980,-2.15
Singapore,1980,1.222
Thailand,1980,1.281
Timor-Leste,1980,-16.727
Vietnam,1980,-3.336
Latin America and the Caribbean,1980,-2.055
Caribbean,1980,-4.107
Antigua and Barbuda,1980,-14.222
Aruba,1980,-18.12
Bahamas,1980,2.985
Barbados,1980,-4.451
Cuba,1980,-3.317
Curacao,1980,-17.771
Dominican Republic,1980,-3.182
Grenada,1980,-29.1
Guadeloupe,1980,-11.168
Haiti,1980,-3.651
Jamaica,1980,-9.4
Martinique,1980,-12.663
Puerto Rico,1980,-1.319
Saint Lucia,1980,-15.776
Saint Vincent and the Grenadines,1980,-14.77
Trinidad and Tobago,1980,-5.714
United States Virgin Islands,1980,4.227
Central America,1980,-4.195
Belize,1980,-19.526
Costa Rica,1980,1.554
El Salvador,1980,-7.511
Guatemala,1980,-7.539
Honduras,1980,-2.986
Mexico,1980,-3.938
Nicaragua,1980,-3.823
Panama,1980,-1.512
South America,1980,-0.994
Argentina,1980,-1.711
Bolivia,1980,-1.517
Brazil,1980,0
Chile,1980,-2.695
Colombia,1980,-3.291
Ecuador,1980,-0.192
French Guiana,1980,16.546
Guyana,1980,-13.72
Paraguay,1980,-3.118
Peru,1980,-1.142
Suriname,1980,-22.457
Uruguay,1980,-4.177
Venezuela,1980,0.016
Australia/New Zealand,1980,1.861
Australia,1980,3.325
New Zealand,1980,-4.803
Oceania (excluding Australia and New Zealand),1980,-2.686
Melanesia,1980,-1.525
Fiji,1980,-7.337
New Caledonia,1980,0.044
Papua New Guinea,1980,-0.515
Solomon Islands,1980,-2.279
Vanuatu,1980,-0.808
Micronesia (country),1980,-4.808
Guam,1980,-3.061
Kiribati,1980,-8.188
Micronesia (region),1980,0.353
Polynesia,1980,-12.531
French Polynesia,1980,6.571
Samoa,1980,-24.738
Tonga,1980,-17.243
Europe and Northern America,1980,1.332
Europe,1980,0.592
Eastern Europe,1980,0.305
Belarus,1980,0.814
Bulgaria,1980,-2.154
Czechia,1980,0.196
Hungary,1980,0.245
Poland,1980,-0.613
Moldova,1980,-1.346
Romania,1980,-0.903
Russia,1980,0.904
Slovakia,1980,-0.398
Ukraine,1980,0.423
Northern Europe,1980,0.658
Channel Islands,1980,2.711
Denmark,1980,0.586
Estonia,1980,4.213
Finland,1980,-1.236
Iceland,1980,-3.521
Ireland,1980,3.175
Latvia,1980,2.911
Lithuania,1980,2.307
Norway,1980,1.024
Sweden,1980,2.145
United Kingdom,1980,0.139
Southern Europe,1980,1.03
Albania,1980,-0.008
Bosnia and Herzegovina,1980,-3.632
Croatia,1980,0.821
Greece,1980,6.381
Italy,1980,0.591
Malta,1980,-2.963
Montenegro,1980,-2.608
North Macedonia,1980,-1.583
Portugal,1980,4.199
Serbia,1980,0.176
Slovenia,1980,3.877
Spain,1980,0.418
Western Europe,1980,0.697
Austria,1980,0.144
Belgium,1980,1.497
France,1980,0.97
Germany,1980,0.583
Luxembourg,1980,6.599
Netherlands,1980,2.096
Switzerland,1980,-4.29
Northern America,1980,3.376
Canada,1980,3.544
United States,1980,3.363
World,1985,0
More developed regions,1985,1.062
Less developed regions,1985,-0.327
Least developed countries,1985,-2.927
"Less developed regions, excluding least developed countries",1985,0.017
"Less developed regions, excluding China",1985,-0.46
Land-locked Developing Countries (LLDC),1985,-4.473
Small Island Developing States (SIDS),1985,-3.8
High-income countries,1985,1.405
Middle-income countries,1985,-0.081
Upper-middle-income countries,1985,-0.076
Lower-middle-income countries,1985,-0.088
Low-income countries,1985,-3.823
No income group available,1985,0.683
Africa,1985,-0.811
Asia,1985,-0.012
Europe,1985,0.451
Latin America and the Caribbean,1985,-1.836
Northern America,1985,2.887
Oceania,1985,3.448
Sub-Saharan Africa,1985,-0.862
Eastern Africa,1985,-0.766
Burundi,1985,-6.248
Comoros,1985,-2.714
Djibouti,1985,5.098
Eritrea,1985,1.07
Ethiopia,1985,1.312
Kenya,1985,0.042
Madagascar,1985,-0.213
Malawi,1985,0
Mauritius,1985,-4.366
Mayotte,1985,11.927
Mozambique,1985,-6.172
Reunion,1985,1.157
Rwanda,1985,-1.77
Seychelles,1985,-9.369
Somalia,1985,-14.062
South Sudan,1985,6.171
Uganda,1985,-1.778
 Tanzania,1985,0.349
Zambia,1985,0.313
Zimbabwe,1985,2.433
Middle Africa,1985,-0.907
Angola,1985,5.117
Cameroon,1985,-0.353
Central African Republic,1985,3.374
Chad,1985,-5.463
Congo,1985,0.219
Democratic Republic of Congo,1985,-3.204
Equatorial Guinea,1985,43.185
Gabon,1985,1.287
Sao Tome and Principe,1985,-11.955
Southern Africa,1985,0.701
Botswana,1985,1.058
Eswatini,1985,-2.894
Lesotho,1985,-3.595
Namibia,1985,-5.154
South Africa,1985,1.182
Western Africa,1985,-1.314
Benin,1985,-0.543
Burkina Faso,1985,-5.976
Cape Verde,1985,-13.644
Cote d'Ivoire,1985,9.525
Gambia,1985,4.274
Ghana,1985,-0.207
Guinea,1985,-3.223
Guinea-Bissau,1985,-7.256
Liberia,1985,0
Mali,1985,-5.845
Mauritania,1985,-1.939
Niger,1985,-2.881
Nigeria,1985,-1.725
Senegal,1985,-2.824
Sierra Leone,1985,0
Togo,1985,3.348
Northern Africa and Western Asia,1985,0.572
Northern Africa,1985,-0.637
Algeria,1985,-0.778
Egypt,1985,-1.698
Libya,1985,6.394
Morocco,1985,-3.019
Sudan,1985,2.774
Tunisia,1985,2.498
Western Sahara,1985,12.242
Western Asia,1985,1.709
Armenia,1985,-3.184
Azerbaijan,1985,-3.17
Bahrain,1985,1.66
Cyprus,1985,-7.957
Georgia,1985,-1.87
Iraq,1985,-2.738
Israel,1985,0.135
Jordan,1985,6.188
Kuwait,1985,14.864
Lebanon,1985,-16.362
Oman,1985,12.289
Qatar,1985,68.692
Saudi Arabia,1985,24.261
Palestine,1985,-7.517
Syria,1985,-1.777
Turkey,1985,-0.301
United Arab Emirates,1985,30.877
Yemen,1985,-1.142
 Central and Southern Asia,1985,-0.261
Central Asia,1985,-3.215
Kazakhstan,1985,-5.689
Kyrgyzstan,1985,-2.849
Tajikistan,1985,0.588
Turkmenistan,1985,-2.339
Uzbekistan,1985,-2.181
Southern Asia,1985,-0.133
Afghanistan,1985,-52.898
Bangladesh,1985,-1.863
Bhutan,1985,0.366
India,1985,0.156
Iran,1985,9.338
Maldives,1985,0
Nepal,1985,-1.269
Pakistan,1985,3.259
Sri Lanka,1985,-5.109
 Eastern and South-Eastern Asia,1985,0.018
Eastern Asia,1985,0.011
China,1985,-0.039
Hong Kong,1985,6.326
Macao,1985,19.285
 Taiwan,1985,-0.656
North Korea,1985,0
Japan,1985,0.083
Mongolia,1985,0
South Korea,1985,0.471
South-Eastern Asia,1985,0.042
Brunei,1985,3.463
Cambodia,1985,-2.467
Indonesia,1985,0.608
Laos,1985,-2.022
Malaysia,1985,-1.052
Myanmar,1985,-0.303
Philippines,1985,-1.151
Singapore,1985,10.772
Thailand,1985,1.368
Timor-Leste,1985,0
Vietnam,1985,-1.138
Latin America and the Caribbean,1985,-1.836
Caribbean,1985,-4.737
Antigua and Barbuda,1985,-12.173
Aruba,1985,-6.241
Bahamas,1985,0.58
Barbados,1985,-6.178
Cuba,1985,-5.414
Curacao,1985,-11.347
Dominican Republic,1985,-3.851
Grenada,1985,-1.24
Guadeloupe,1985,-8.746
Haiti,1985,-4.173
Jamaica,1985,-6.321
Martinique,1985,-0.985
Puerto Rico,1985,-3.048
Saint Lucia,1985,-13.126
Saint Vincent and the Grenadines,1985,-14.336
Trinidad and Tobago,1985,-5.972
United States Virgin Islands,1985,-6.835
Central America,1985,-4.052
Belize,1985,-6.901
Costa Rica,1985,1.473
El Salvador,1985,-9.729
Guatemala,1985,-7.294
Honduras,1985,-3.116
Mexico,1985,-3.543
Nicaragua,1985,-6.287
Panama,1985,-1.211
South America,1985,-0.643
Argentina,1985,0.964
Bolivia,1985,-2.506
Brazil,1985,0
Chile,1985,-2.611
Colombia,1985,-2.61
Ecuador,1985,-0.328
French Guiana,1985,28.089
Guyana,1985,-25.11
Paraguay,1985,-1.243
Peru,1985,-1.881
Suriname,1985,-17.453
Uruguay,1985,-2.025
Venezuela,1985,0.017
Australia/New Zealand,1985,4.916
Australia,1985,5.997
New Zealand,1985,-0.181
Oceania (excluding Australia and New Zealand),1985,-1.153
Melanesia,1985,-0.505
Fiji,1985,-3.764
New Caledonia,1985,-4.373
Papua New Guinea,1985,0.56
Solomon Islands,1985,-2.729
Vanuatu,1985,-6.52
Micronesia (country),1985,4.781
Guam,1985,0.198
Kiribati,1985,-9.769
Micronesia (region),1985,1.123
Polynesia,1985,-11.68
French Polynesia,1985,4.42
Samoa,1985,-23.701
Tonga,1985,-26.489
Europe and Northern America,1985,1.11
Europe,1985,0.451
Eastern Europe,1985,0.523
Belarus,1985,0.968
Bulgaria,1985,-0.501
Czechia,1985,-1.024
Hungary,1985,-2.173
Poland,1985,-0.656
Moldova,1985,-0.447
Romania,1985,-1.751
Russia,1985,1.567
Slovakia,1985,-1.369
Ukraine,1985,0.75
Northern Europe,1985,0.088
Channel Islands,1985,8.213
Denmark,1985,0.364
Estonia,1985,3.457
Finland,1985,1.08
Iceland,1985,0.221
Ireland,1985,-3.534
Latvia,1985,2.412
Lithuania,1985,2.506
Norway,1985,1.204
Sweden,1985,0.715
United Kingdom,1985,-0.346
Southern Europe,1985,0.385
Albania,1985,-0.007
Bosnia and Herzegovina,1985,-1.4
Croatia,1985,2.335
Greece,1985,2.046
Italy,1985,0.935
Malta,1985,1.507
Montenegro,1985,-0.67
North Macedonia,1985,-7.451
Portugal,1985,-1.36
Serbia,1985,-0.228
Slovenia,1985,7.232
Spain,1985,-0.227
Western Europe,1985,0.568
Austria,1985,0.473
Belgium,1985,0.374
France,1985,1.069
Germany,1985,0
Luxembourg,1985,1.397
Netherlands,1985,0.998
Switzerland,1985,2.549
Northern America,1985,2.887
Canada,1985,2.982
United States,1985,2.879
World,1990,0
More developed regions,1990,1.235
Less developed regions,1990,-0.352
Least developed countries,1990,-1.573
"Less developed regions, excluding least developed countries",1990,-0.186
"Less developed regions, excluding China",1990,-0.489
Land-locked Developing Countries (LLDC),1990,-2.404
Small Island Developing States (SIDS),1990,-3.312
High-income countries,1990,1.707
Middle-income countries,1990,-0.275
Upper-middle-income countries,1990,-0.299
Lower-middle-income countries,1990,-0.249
Low-income countries,1990,-2.184
No income group available,1990,5.6
Africa,1990,-0.606
Asia,1990,-0.094
Europe,1990,0.674
Latin America and the Caribbean,1990,-1.873
Northern America,1990,3.094
Oceania,1990,4.171
Sub-Saharan Africa,1990,-0.552
Eastern Africa,1990,-0.424
Burundi,1990,-7.066
Comoros,1990,-2.347
Djibouti,1990,35.432
Eritrea,1990,-3.754
Ethiopia,1990,3.461
Kenya,1990,0.046
Madagascar,1990,-0.185
Malawi,1990,21.042
Mauritius,1990,-6.947
Mayotte,1990,14.513
Mozambique,1990,-20.753
Reunion,1990,-0.683
Rwanda,1990,0.893
Seychelles,1990,-14.81
Somalia,1990,-11.844
South Sudan,1990,-15.541
Uganda,1990,2.507
 Tanzania,1990,0.582
Zambia,1990,-2.005
Zimbabwe,1990,1.747
Middle Africa,1990,0.576
Angola,1990,3.457
Cameroon,1990,-0.357
Central African Republic,1990,-5.983
Chad,1990,0.051
Congo,1990,0.181
Democratic Republic of Congo,1990,0.462
Equatorial Guinea,1990,10.372
Gabon,1990,1.126
Sao Tome and Principe,1990,-3.908
Southern Africa,1990,-0.381
Botswana,1990,7.948
Eswatini,1990,-0.583
Lesotho,1990,-4.978
Namibia,1990,5.793
South Africa,1990,-0.679
Western Africa,1990,-1.17
Benin,1990,-0.377
Burkina Faso,1990,-4.443
Cape Verde,1990,-17.091
Cote d'Ivoire,1990,5.844
Gambia,1990,14.163
Ghana,1990,-0.581
Guinea,1990,0
Guinea-Bissau,1990,-6.063
Liberia,1990,-34.082
Mali,1990,-12.136
Mauritania,1990,-4.194
Niger,1990,-2.086
Nigeria,1990,-0.205
Senegal,1990,-1.723
Sierra Leone,1990,3.089
Togo,1990,-1.138
Northern Africa and Western Asia,1990,-0.352
Northern Africa,1990,-0.793
Algeria,1990,-0.774
Egypt,1990,-0.805
Libya,1990,0.264
Morocco,1990,-3.637
Sudan,1990,1.606
Tunisia,1990,1.259
Western Sahara,1990,10.709
Western Asia,1990,0.063
Armenia,1990,-3.929
Azerbaijan,1990,-4.646
Bahrain,1990,5.637
Cyprus,1990,4.67
Georgia,1990,-1.644
Iraq,1990,-7.856
Israel,1990,3.085
Jordan,1990,10.554
Kuwait,1990,12.506
Lebanon,1990,-9.389
Oman,1990,1.349
Qatar,1990,27.157
Saudi Arabia,1990,9.768
Palestine,1990,-4.076
Syria,1990,-2.537
Turkey,1990,-0.388
United Arab Emirates,1990,32.134
Yemen,1990,-0.94
 Central and Southern Asia,1990,-0.281
Central Asia,1990,-5.138
Kazakhstan,1990,-8.416
Kyrgyzstan,1990,-6.067
Tajikistan,1990,-1.283
Turkmenistan,1990,-2.292
Uzbekistan,1990,-3.703
Southern Asia,1990,-0.074
Afghanistan,1990,-25.057
Bangladesh,1990,-0.452
Bhutan,1990,0.641
India,1990,0.011
Iran,1990,5.774
Maldives,1990,-2.525
Nepal,1990,-2.42
Pakistan,1990,0.28
Sri Lanka,1990,-1.641
 Eastern and South-Eastern Asia,1990,0.019
Eastern Asia,1990,-0.034
China,1990,-0.077
Hong Kong,1990,8.035
Macao,1990,21.339
 Taiwan,1990,0.804
North Korea,1990,0
Japan,1990,-0.484
Mongolia,1990,0
South Korea,1990,0.815
South-Eastern Asia,1990,0.184
Brunei,1990,3.05
Cambodia,1990,-1.87
Indonesia,1990,0.302
Laos,1990,0.007
Malaysia,1990,5.061
Myanmar,1990,-1.009
Philippines,1990,-1.083
Singapore,1990,8.38
Thailand,1990,1.858
Timor-Leste,1990,0
Vietnam,1990,-1.031
Latin America and the Caribbean,1990,-1.873
Caribbean,1990,-3.712
Antigua and Barbuda,1990,-9.299
Aruba,1990,-16.597
Bahamas,1990,-0.661
Barbados,1990,-4.881
Cuba,1990,-1.353
Curacao,1990,-19.589
Dominican Republic,1990,-3.956
Grenada,1990,-30.955
Guadeloupe,1990,11.532
Haiti,1990,-4.037
Jamaica,1990,-12.359
Martinique,1990,-0.134
Puerto Rico,1990,-3.312
Saint Lucia,1990,-6.486
Saint Vincent and the Grenadines,1990,-13.553
Trinidad and Tobago,1990,-7.592
United States Virgin Islands,1990,-21.348
Central America,1990,-4.847
Belize,1990,-6.133
Costa Rica,1990,1.19
El Salvador,1990,-10.059
Guatemala,1990,-6.854
Honduras,1990,-3.205
Mexico,1990,-4.591
Nicaragua,1990,-7.589
Panama,1990,-0.801
South America,1990,-0.519
Argentina,1990,1.019
Bolivia,1990,-1.971
Brazil,1990,0
Chile,1990,-1.076
Colombia,1990,-2.055
Ecuador,1990,-0.352
French Guiana,1990,33.13
Guyana,1990,-27.124
Paraguay,1990,-0.878
Peru,1990,-2.682
Suriname,1990,-2.504
Uruguay,1990,-1.96
Venezuela,1990,0.01
Australia/New Zealand,1990,6.564
Australia,1990,8.021
New Zealand,1990,-0.565
Oceania (excluding Australia and New Zealand),1990,-2.974
Melanesia,1990,-2.645
Fiji,1990,-18.606
New Caledonia,1990,-0.598
Papua New Guinea,1990,0.217
Solomon Islands,1990,-5.838
Vanuatu,1990,-5.23
Micronesia (country),1990,5.895
Guam,1990,0.16
Kiribati,1990,-1.947
Micronesia (region),1990,-4.182
Polynesia,1990,-12.906
French Polynesia,1990,-0.381
Samoa,1990,-24.197
Tonga,1990,-22.831
Europe and Northern America,1990,1.343
Europe,1990,0.674
Eastern Europe,1990,-0.018
Belarus,1990,-0.459
Bulgaria,1990,-4.134
Czechia,1990,0.11
Hungary,1990,-1.749
Poland,1990,-1.624
Moldova,1990,-3.94
Romania,1990,-1.718
Russia,1990,1.226
Slovakia,1990,-1.351
Ukraine,1990,0
Northern Europe,1990,0.667
Channel Islands,1990,8.868
Denmark,1990,1.281
Estonia,1990,2.008
Finland,1990,0.738
Iceland,1990,0.52
Ireland,1990,-7.175
Latvia,1990,3.196
Lithuania,1990,2.031
Norway,1990,1.843
Sweden,1990,3.18
United Kingdom,1990,0.348
Southern Europe,1990,-0.377
Albania,1990,-0.006
Bosnia and Herzegovina,1990,-6.079
Croatia,1990,1.102
Greece,1990,3.543
Italy,1990,-0.035
Malta,1990,0.655
Montenegro,1990,-9.753
North Macedonia,1990,-9.937
Portugal,1990,-2.984
Serbia,1990,-0.586
Slovenia,1990,3.301
Spain,1990,-0.347
Western Europe,1990,2.762
Austria,1990,2.895
Belgium,1990,0.854
France,1990,0.988
Germany,1990,4.297
Luxembourg,1990,6.855
Netherlands,1990,1.896
Switzerland,1990,3.999
Northern America,1990,3.094
Canada,1990,6.45
United States,1990,2.734
World,1995,0
More developed regions,1995,1.838
Less developed regions,1995,-0.486
Least developed countries,1995,0.321
"Less developed regions, excluding least developed countries",1995,-0.6
"Less developed regions, excluding China",1995,-0.629
Land-locked Developing Countries (LLDC),1995,-2.151
Small Island Developing States (SIDS),1995,-1.99
High-income countries,1995,2.026
Middle-income countries,1995,-0.572
Upper-middle-income countries,1995,-0.552
Lower-middle-income countries,1995,-0.593
Low-income countries,1995,0.522
No income group available,1995,1.907
Africa,1995,-0.406
Asia,1995,-0.287
Europe,1995,1.373
Latin America and the Caribbean,1995,-1.859
Northern America,1995,3.588
Oceania,1995,2.58
Sub-Saharan Africa,1995,-0.424
