Country,Year,undesa_international_migrants_by_destination
Polynesia,2005,73768
American Samoa,2005,24233
Cook Islands,2005,3277
French Polynesia,2005,32286
Niue,2005,522
Samoa,2005,5746
Tokelau,2005,1003
Tonga,2005,4301
Tuvalu,2005,209
Wallis and Futuna,2005,2191
World,2010,220983187
Sub-Saharan Africa,2010,15854637
Northern Africa and Western Asia,2010,32638434
Central and Southern Asia,2010,19676783
Eastern and South-Eastern Asia,2010,15760463
Latin America and the Caribbean,2010,8326588
Oceania (excluding Australia and New Zealand),2010,298175
Australia and New Zealand,2010,6830423
Europe and Northern America,2010,121597684
Developed regions,2010,130562258
Less developed regions,2010,90420929
"Less developed regions, excluding least developed countries",2010,79989053
"Less developed regions, excluding China",2010,86472612
Least developed countries,2010,10431876
Land-locked Developing Countries (LLDC),2010,11597176
Small island developing States (SIDS),2010,4710457
High-income countries,2010,142642749
Middle-income countries,2010,69069732
Upper-middle-income countries,2010,42080101
Lower-middle-income countries,2010,26989631
Low-income countries,2010,8781206
Africa,2010,17806677
Eastern Africa,2010,4743657
Burundi,2010,247321
Comoros,2010,12618
Djibouti,2010,102307
Eritrea,2010,15813
Ethiopia,2010,568748
Kenya,2010,954925
Madagascar,2010,28905
Malawi,2010,217722
Mauritius,2010,24836
Mayotte,2010,72757
Mozambique,2010,306471
Reunion,2010,123029
Rwanda,2010,426901
Seychelles,2010,11420
Somalia,2010,48106
South Sudan,2010,230732
Uganda,2010,492930
Tanzania,2010,309847
Zambia,2010,149962
Zimbabwe,2010,398307
Middle Africa,2010,2436802
Angola,2010,336367
Cameroon,2010,291474
Central African Republic,2010,94685
Chad,2010,417034
Congo,2010,425173
Democratic Republic of Congo,2010,589882
Equatorial Guinea,2010,8658
Gabon,2010,270829
Sao Tome and Principe,2010,2700
Northern Africa,2010,1952040
Algeria,2010,217268
Egypt,2010,310017
Libya,2010,687192
Morocco,2010,71189
Sudan,2010,618709
Tunisia,2010,43172
Western Sahara,2010,4493
Southern Africa,2010,2352541
Botswana,2010,94863
Eswatini,2010,32637
Lesotho,2010,6414
Namibia,2010,103826
South Africa,2010,2114801
Western Africa,2010,6321637
Benin,2010,309225
Burkina Faso,2010,674438
Cape Verde,2010,14373
Cote d'Ivoire,2010,2366537
Gambia,2010,185837
Ghana,2010,337766
Guinea,2010,178762
Guinea-Bissau,2010,21391
Liberia,2010,99165
Mali,2010,341078
Mauritania,2010,84920
Niger,2010,126482
Nigeria,2010,990494
Saint Helena,2010,248
Senegal,2010,256092
Sierra Leone,2010,79265
Togo,2010,255564
Asia,2010,66123640
Central Asia,2010,5264938
Kazakhstan,2010,3334937
Kyrgyzstan,2010,232065
Tajikistan,2010,279808
Turkmenistan,2010,197979
Uzbekistan,2010,1220149
Eastern Asia,2010,7062527
China,2010,849861
Hong Kong,2010,2779950
Macao,2010,318506
North Korea,2010,44010
Japan,2010,2134151
Mongolia,2010,16062
South Korea,2010,919987
South-Eastern Asia,2010,8697936
Brunei,2010,100587
Cambodia,2010,82028
Indonesia,2010,307487
Laos,2010,32955
Malaysia,2010,2417395
Myanmar,2010,76414
Philippines,2010,208599
Singapore,2010,2164794
Thailand,2010,3234381
Timor-Leste,2010,11540
Vietnam,2010,61756
Southern Asia,2010,14411845
Afghanistan,2010,102276
Bangladesh,2010,1345546
Bhutan,2010,48420
India,2010,5574018
Iran,2010,2722397
Maldives,2010,54659
Nepal,2010,581889
Pakistan,2010,3943681
Sri Lanka,2010,38959
Western Asia,2010,30686394
Armenia,2010,211147
Azerbaijan,2010,276901
Bahrain,2010,666406
Cyprus,2010,188472
Georgia,2010,73078
Iraq,2010,120466
Israel,2010,1956190
Jordan,2010,2786853
Kuwait,2010,1874812
Lebanon,2010,793191
Oman,2010,816234
Qatar,2010,1456413
Saudi Arabia,2010,8429956
Palestine,2010,273840
Syria,2010,1783595
Turkey,2010,1373749
United Arab Emirates,2010,7316697
Yemen,2010,288394
Europe,2010,70627160
Eastern Europe,2010,19110686
Belarus,2010,1090378
Bulgaria,2010,76287
Czechia,2010,398493
Hungary,2010,436616
Poland,2010,642417
Moldova,2010,129488
Romania,2010,177211
Russia,2010,11194710
Slovakia,2010,146319
Ukraine,2010,4818767
Northern Europe,2010,11294937
Channel Islands,2010,77581
Denmark,2010,500772
Estonia,2010,217890
Faeroe Islands,2010,5096
Finland,2010,228481
Iceland,2010,35091
Ireland,2010,730542
Isle of Man,2010,43447
Latvia,2010,313786
Lithuania,2010,160772
Norway,2010,524601
Sweden,2010,1337214
United Kingdom,2010,7119664
Southern Europe,2010,16206273
Albania,2010,52784
Andorra,2010,52053
Bosnia and Herzegovina,2010,38945
Croatia,2010,573248
Gibraltar,2010,10369
Greece,2010,1321149
Vatican,2010,783
Italy,2010,5787893
Malta,2010,33008
Montenegro,2010,78512
North Macedonia,2010,129701
Portugal,2010,762825
San Marino,2010,4880
Serbia,2010,826275
Slovenia,2010,253786
Spain,2010,6280062
Western Europe,2010,24015264
Austria,2010,1274901
Belgium,2010,1503806
France,2010,7309986
Germany,2010,9812263
Liechtenstein,2010,22342
Luxembourg,2010,163142
Monaco,2010,21132
Netherlands,2010,1832510
Switzerland,2010,2075182
Latin America and the Caribbean,2010,8326588
Caribbean,2010,1338893
Anguilla,2010,5103
Antigua and Barbuda,2010,26412
Aruba,2010,34328
Bahamas,2010,54745
Barbados,2010,32825
Bonaire Sint Eustatius and Saba,2010,20941
British Virgin Islands,2010,17076
Cayman Islands,2010,24062
Cuba,2010,7373
Curacao,2010,34630
Dominica,2010,8110
Dominican Republic,2010,395479
Grenada,2010,6980
Guadeloupe,2010,94942
Haiti,2010,17182
Jamaica,2010,23677
Martinique,2010,59575
Montserrat,2010,1291
Puerto Rico,2010,304969
Saint Kitts and Nevis,2010,7245
Saint Lucia,2010,9050
Saint Vincent and the Grenadines,2010,4569
Sint Maarten (Dutch part),2010,26203
Trinidad and Tobago,2010,48226
Turks and Caicos Islands,2010,17216
United States Virgin Islands,2010,56684
Central America,2010,1751028
Belize,2010,46390
Costa Rica,2010,405779
El Salvador,2010,40342
Guatemala,2010,66386
Honduras,2010,27288
Mexico,2010,969710
Nicaragua,2010,37345
Panama,2010,157788
South America,2010,5236667
Argentina,2010,1805957
Bolivia,2010,122846
Brazil,2010,592640
Chile,2010,375388
Colombia,2010,130309
Ecuador,2010,375253
Falkland Islands,2010,1436
French Guiana,2010,96288
Guyana,2010,8182
Paraguay,2010,160299
Peru,2010,104706
Suriname,2010,39713
Uruguay,2010,76303
Venezuela,2010,1347347
Northern America,2010,50970524
Bermuda,2010,18547
Canada,2010,6761226
Greenland,2010,6091
Saint Pierre and Miquelon,2010,1017
United States,2010,44183643
Oceania,2010,7128598
Australia and New Zealand,2010,6830423
Australia,2010,5882980
New Zealand,2010,947443
Melanesia,2010,110691
Fiji,2010,13357
New Caledonia,2010,61158
Papua New Guinea,2010,30425
Solomon Islands,2010,2760
Vanuatu,2010,2991
Micronesia (country),2010,114743
Guam,2010,75416
Kiribati,2010,2868
Marshall Islands,2010,3089
Micronesia (region),2010,2806
Nauru,2010,906
Northern Mariana Islands,2010,24168
Palau,2010,5490
Polynesia,2010,72741
American Samoa,2010,23555
Cook Islands,2010,3769
French Polynesia,2010,31640
Niue,2010,589
Samoa,2010,5122
Tokelau,2010,1128
Tonga,2010,4607
Tuvalu,2010,220
Wallis and Futuna,2010,2111
World,2015,247958644
Sub-Saharan Africa,2015,20721874
Northern Africa and Western Asia,2015,42036092
Central and Southern Asia,2015,19266265
Eastern and South-Eastern Asia,2015,18027810
Latin America and the Caribbean,2015,9441503
Oceania (excluding Australia and New Zealand),2015,302810
Australia and New Zealand,2015,7769466
Europe and Northern America,2015,130392824
Developed regions,2015,140394479
Less developed regions,2015,107564165
"Less developed regions, excluding least developed countries",2015,94124050
"Less developed regions, excluding China",2015,103368940
Least developed countries,2015,13440115
Land-locked Developing Countries (LLDC),2015,13821420
Small island developing States (SIDS),2015,5273967
High-income countries,2015,158516311
Middle-income countries,2015,78597464
Upper-middle-income countries,2015,50991477
Lower-middle-income countries,2015,27605987
Low-income countries,2015,10321749
Africa,2015,22860792
Eastern Africa,2015,6696922
Burundi,2015,298299
Comoros,2015,12555
Djibouti,2015,112351
Eritrea,2015,15941
Ethiopia,2015,1161642
Kenya,2015,1126886
Madagascar,2015,32075
Malawi,2015,197328
Mauritius,2015,28585
Mayotte,2015,81386
Mozambique,2015,321794
Reunion,2015,127209
Rwanda,2015,514647
Seychelles,2015,12791
Somalia,2015,40990
South Sudan,2015,844112
Uganda,2015,851175
Tanzania,2015,384567
Zambia,2015,132107
Zimbabwe,2015,400482
Middle Africa,2015,3479911
Angola,2015,632178
Cameroon,2015,508346
Central African Republic,2015,81568
Chad,2015,466968
Congo,2015,390142
Democratic Republic of Congo,2015,810018
Equatorial Guinea,2015,209611
Gabon,2015,378686
Sao Tome and Principe,2015,2394
Northern Africa,2015,2138918
Algeria,2015,239473
Egypt,2015,353641
Libya,2015,771146
Morocco,2015,92424
Sudan,2015,620523
Tunisia,2015,56532
Western Sahara,2015,5179
Southern Africa,2015,3477903
Botswana,2015,103053
Eswatini,2015,32352
Lesotho,2015,9152
Namibia,2015,101618
South Africa,2015,3231728
Western Africa,2015,7067138
Benin,2015,366284
Burkina Faso,2015,704676
Cape Verde,2015,14924
Cote d'Ivoire,2015,2470613
Gambia,2015,192540
Ghana,2015,414744
Guinea,2015,126657
Guinea-Bissau,2015,22333
Liberia,2015,112111
Mali,2015,420504
Mauritania,2015,166552
Niger,2015,252998
Nigeria,2015,1199115
Saint Helena,2015,377
Senegal,2015,266496
Sierra Leone,2015,58830
Togo,2015,277384
Asia,2015,77191249
Central Asia,2015,5392792
Kazakhstan,2015,3546060
Kyrgyzstan,2015,204382
Tajikistan,2015,275101
Turkmenistan,2015,196376
Uzbekistan,2015,1170873
Eastern Asia,2015,7866663
China,2015,978046
Hong Kong,2015,2841113
Macao,2015,376066
North Korea,2015,48458
Japan,2015,2232189
Mongolia,2015,19886
South Korea,2015,1370905
South-Eastern Asia,2015,10161147
Brunei,2015,102733
Cambodia,2015,73962
Indonesia,2015,338124
Laos,2015,45538
Malaysia,2015,3280681
Myanmar,2015,73309
Philippines,2015,211862
Singapore,2015,2483405
Thailand,2015,3470220
Timor-Leste,2015,8520
Vietnam,2015,72793
Southern Asia,2015,13873473
Afghanistan,2015,339432
Bangladesh,2015,1422179
Bhutan,2015,51106
India,2015,5210847
Iran,2015,2729939
Maldives,2015,64273
Nepal,2015,509471
Pakistan,2015,3506520
Sri Lanka,2015,39706
Western Asia,2015,39897174
Armenia,2015,191199
Azerbaijan,2015,264359
Bahrain,2015,722487
Cyprus,2015,176693
Georgia,2015,76685
Iraq,2015,359352
Israel,2015,2011727
Jordan,2015,3166961
Kuwait,2015,2866136
Lebanon,2015,1916259
Oman,2015,1856226
Qatar,2015,1687640
Saudi Arabia,2015,10771366
Palestine,2015,273163
Syria,2015,835716
Turkey,2015,4346197
United Arab Emirates,2015,7995126
Yemen,2015,379882
Europe,2015,74759083
Eastern Europe,2015,19833989
Belarus,2015,1082905
Bulgaria,2015,123803
Czechia,2015,416454
Hungary,2015,475508
Poland,2015,611855
Moldova,2015,106374
Romania,2015,281048
Russia,2015,11643276
Slovakia,2015,177624
Ukraine,2015,4915142
Northern Europe,2015,13191086
Channel Islands,2015,82307
Denmark,2015,595876
Estonia,2015,194664
Faeroe Islands,2015,5485
Finland,2015,314856
Iceland,2015,39072
Ireland,2015,759256
Isle of Man,2015,42238
Latvia,2015,265418
Lithuania,2015,136021
Norway,2015,746375
Sweden,2015,1602522
United Kingdom,2015,8406996
Southern Europe,2015,15815457
Albania,2015,52031
Andorra,2015,42264
Bosnia and Herzegovina,2015,38597
Croatia,2015,561093
Gibraltar,2015,11065
Greece,2015,1242924
Vatican,2015,790
Italy,2015,5805328
Malta,2015,52642
Montenegro,2015,71719
North Macedonia,2015,130730
Portugal,2015,864814
San Marino,2015,5195
Serbia,2015,807441
Slovenia,2015,237616
Spain,2015,5891208
Western Europe,2015,25918551
Austria,2015,1483123
Belgium,2015,1783488
France,2015,7878338
Germany,2015,10220418
Liechtenstein,2015,23799
Luxembourg,2015,248888
Monaco,2015,25983
Netherlands,2015,1996318
Switzerland,2015,2258196
Latin America and the Caribbean,2015,9441503
Caribbean,2015,1501081
Anguilla,2015,5471
Antigua and Barbuda,2015,28082
Aruba,2015,36114
Bahamas,2015,59241
Barbados,2015,34475
Bonaire Sint Eustatius and Saba,2015,24571
British Virgin Islands,2015,19535
Cayman Islands,2015,26193
Cuba,2015,4649
Curacao,2015,37611
Dominica,2015,8093
Dominican Republic,2015,549289
Grenada,2015,7057
Guadeloupe,2015,90956
Haiti,2015,18047
Jamaica,2015,23165
Martinique,2015,69174
Montserrat,2015,1351
Puerto Rico,2015,280494
Saint Kitts and Nevis,2015,7443
Saint Lucia,2015,8673
Saint Vincent and the Grenadines,2015,4637
Sint Maarten (Dutch part),2015,27295
Trinidad and Tobago,2015,50021
Turks and Caicos Islands,2015,22723
United States Virgin Islands,2015,56721
Central America,2015,1860215
Belize,2015,54615
Costa Rica,2015,411697
El Salvador,2015,42059
Guatemala,2015,74852
Honduras,2015,38330
Mexico,2015,1013691
Nicaragua,2015,40261
Panama,2015,184710
South America,2015,6080207
Argentina,2015,2086301
Bolivia,2015,143008
Brazil,2015,710304
Chile,2015,639724
Colombia,2015,159407
Ecuador,2015,387513
Falkland Islands,2015,1571
French Guiana,2015,106108
Guyana,2015,8661
Paraguay,2015,156462
Peru,2015,154774
Suriname,2015,43127
Uruguay,2015,78799
Venezuela,2015,1404448
Northern America,2015,55633741
Bermuda,2015,19212
Canada,2015,7428657
Greenland,2015,6009
Saint Pierre and Miquelon,2015,986
United States,2015,48178877
Oceania,2015,8072276
Australia and New Zealand,2015,7769466
Australia,2015,6729730
New Zealand,2015,1039736
Melanesia,2015,119343
Fiji,2015,13751
New Caledonia,2015,68881
Papua New Guinea,2015,30940
Solomon Islands,2015,2585
Vanuatu,2015,3186
Micronesia (country),2015,113466
Guam,2015,76089
Kiribati,2015,2919
Marshall Islands,2015,3284
Micronesia (region),2015,2756
Nauru,2015,1833
Northern Mariana Islands,2015,21648
Palau,2015,4937
Polynesia,2015,70001
American Samoa,2015,23513
Cook Islands,2015,4168
French Polynesia,2015,30058
Niue,2015,588
Samoa,2015,4255
Tokelau,2015,1185
Tonga,2015,3954
Tuvalu,2015,230
Wallis and Futuna,2015,2050
World,2020,280598105
Sub-Saharan Africa,2020,22221538
Northern Africa and Western Asia,2020,49767746
Central and Southern Asia,2020,19427576
Eastern and South-Eastern Asia,2020,19591106
Latin America and the Caribbean,2020,14794623
Oceania (excluding Australia and New Zealand),2020,313069
Australia and New Zealand,2020,9067584
Europe and Northern America,2020,145414863
Developed regions,2020,157253443
Less developed regions,2020,123344662
"Less developed regions, excluding least developed countries",2020,107159937
"Less developed regions, excluding China",2020,118939005
Least developed countries,2020,16184725
Land-locked Developing Countries (LLDC),2020,15022720
Small island developing States (SIDS),2020,5678001
High-income countries,2020,181897756
Middle-income countries,2020,85895533
Upper-middle-income countries,2020,57383443
Lower-middle-income countries,2020,28512090
Low-income countries,2020,12232043
Africa,2020,25389464
Eastern Africa,2020,7682801
Burundi,2020,344767
Comoros,2020,12496
Djibouti,2020,119738
Eritrea,2020,13934
Ethiopia,2020,1085517
Kenya,2020,1050147
Madagascar,2020,35563
Malawi,2020,191362
Mauritius,2020,28893
Mayotte,2020,111540
Mozambique,2020,338850
Reunion,2020,131769
Rwanda,2020,513907
Seychelles,2020,13050
Somalia,2020,58590
South Sudan,2020,882252
Uganda,2020,1720313
Tanzania,2020,426017
Zambia,2020,187955
Zimbabwe,2020,416141
Middle Africa,2020,3861568
Angola,2020,656434
Cameroon,2020,579209
Central African Republic,2020,88546
Chad,2020,547494
Congo,2020,387606
Democratic Republic of Congo,2020,952871
Equatorial Guinea,2020,230618
Gabon,2020,416651
Sao Tome and Principe,2020,2139
Northern Africa,2020,3167926
Algeria,2020,250378
Egypt,2020,543937
Libya,2020,826537
Morocco,2020,102358
Sudan,2020,1379147
Tunisia,2020,60145
Western Sahara,2020,5424
Southern Africa,2020,3125072
Botswana,2020,110268
Eswatini,2020,32858
Lesotho,2020,12060
Namibia,2020,109391
South Africa,2020,2860495
Western Africa,2020,7552097
Benin,2020,394276
Burkina Faso,2020,723989
Cape Verde,2020,15788
Cote d'Ivoire,2020,2564857
Gambia,2020,215659
Ghana,2020,476412
Guinea,2020,121437
Guinea-Bissau,2020,17945
Liberia,2020,87947
Mali,2020,485829
Mauritania,2020,182286
Niger,2020,348056
Nigeria,2020,1308568
Saint Helena,2020,437
Senegal,2020,274929
Sierra Leone,2020,53746
Togo,2020,279936
Asia,2020,85618502
Central Asia,2020,5564042
Kazakhstan,2020,3732073
Kyrgyzstan,2020,199011
Tajikistan,2020,276031
Turkmenistan,2020,194920
Uzbekistan,2020,1162007
Eastern Asia,2020,8975729
China,2020,1039675
Hong Kong,2020,2962492
Macao,2020,403490
North Korea,2020,49549
Japan,2020,2770996
Mongolia,2020,21345
South Korea,2020,1728182
South-Eastern Asia,2020,10615377
Brunei,2020,111959
Cambodia,2020,79341
Indonesia,2020,355505
Laos,2020,48731
Malaysia,2020,3476560
Myanmar,2020,76446
Philippines,2020,225525
Singapore,2020,2523648
Thailand,2020,3632496
Timor-Leste,2020,8399
Vietnam,2020,76767
Southern Asia,2020,13863534
Afghanistan,2020,144098
Bangladesh,2020,2115408
Bhutan,2020,53612
India,2020,4878704
Iran,2020,2797235
Maldives,2020,70079
Nepal,2020,487564
Pakistan,2020,3276580
Sri Lanka,2020,40254
Western Asia,2020,46599820
Armenia,2020,190349
Azerbaijan,2020,252228
Bahrain,2020,936094
Cyprus,2020,190366
Georgia,2020,79368
Iraq,2020,365766
Israel,2020,1953575
Jordan,2020,3457691
Kuwait,2020,3110159
Lebanon,2020,1712762
Oman,2020,2372836
Qatar,2020,2226192
Saudi Arabia,2020,13454842
Palestine,2020,272784
Syria,2020,868711
Turkey,2020,6052652
United Arab Emirates,2020,8716332
Yemen,2020,387113
Europe,2020,86706068
Eastern Europe,2020,20835402
Belarus,2020,1067090
Bulgaria,2020,184363
Czechia,2020,540921
Hungary,2020,584567
Poland,2020,817254
Moldova,2020,104438
Romania,2020,705310
Russia,2020,11636911
Slovakia,2020,197161
Ukraine,2020,4997387
Northern Europe,2020,14973861
Channel Islands,2020,84087
Denmark,2020,717574
Estonia,2020,199277
Faeroe Islands,2020,6812
Finland,2020,386052
Iceland,2020,65424
Ireland,2020,871256
Isle of Man,2020,43040
Latvia,2020,239422
Lithuania,2020,145184
Norway,2020,852238
Sweden,2020,2003908
United Kingdom,2020,9359587
Southern Europe,2020,17665688
Albania,2020,48810
Andorra,2020,45574
Bosnia and Herzegovina,2020,36042
Croatia,2020,528056
Gibraltar,2020,11190
Greece,2020,1340456
Vatican,2020,809
Italy,2020,6386998
Malta,2020,114760
Montenegro,2020,70999
North Macedonia,2020,131311
Portugal,2020,1001963
San Marino,2020,5543
Serbia,2020,823011
Slovenia,2020,277964
Spain,2020,6842202
Western Europe,2020,33231117
Austria,2020,1738183
Belgium,2020,2005479
France,2020,8524876
Germany,2020,15762457
Liechtenstein,2020,25877
Luxembourg,2020,298062
Monaco,2020,26601
Netherlands,2020,2358333
Switzerland,2020,2491249
Latin America and the Caribbean,2020,14794623
Caribbean,2020,1605148
Anguilla,2020,5715
Antigua and Barbuda,2020,29386
Aruba,2020,53593
Bahamas,2020,63583
Barbados,2020,34869
Bonaire Sint Eustatius and Saba,2020,26221
British Virgin Islands,2020,22164
Cayman Islands,2020,29242
Cuba,2020,3024
Curacao,2020,57210
Dominica,2020,8284
Dominican Republic,2020,603794
Grenada,2020,7213
Guadeloupe,2020,90206
Haiti,2020,18884
Jamaica,2020,23629
Martinique,2020,68624
Montserrat,2020,1379
Puerto Rico,2020,247132
Saint Kitts and Nevis,2020,7725
Saint Lucia,2020,8338
Saint Vincent and the Grenadines,2020,4738
Sint Maarten (Dutch part),2020,28845
Trinidad and Tobago,2020,78849
Turks and Caicos Islands,2020,25748
United States Virgin Islands,2020,56753
Central America,2020,2302001
Belize,2020,62043
Costa Rica,2020,520729
El Salvador,2020,42767
Guatemala,2020,84311
Honduras,2020,39195
Mexico,2020,1197624
Nicaragua,2020,42167
Panama,2020,313165
South America,2020,10887474
Argentina,2020,2281728
Bolivia,2020,164121
Brazil,2020,1079708
Chile,2020,1645015
Colombia,2020,1905393
Ecuador,2020,784787
Falkland Islands,2020,1957
French Guiana,2020,119249
Guyana,2020,31169
Paraguay,2020,169567
Peru,2020,1224519
Suriname,2020,47801
Uruguay,2020,108267
Venezuela,2020,1324193
Northern America,2020,58708795
Bermuda,2020,19739
Canada,2020,8049323
Greenland,2020,5899
Saint Pierre and Miquelon,2020,998
United States,2020,50632836
Oceania,2020,9380653
Australia and New Zealand,2020,9067584
Australia,2020,7685860
New Zealand,2020,1381724
Melanesia,2020,124073
Fiji,2020,14087
New Caledonia,2020,73141
Papua New Guinea,2020,31068
Solomon Islands,2020,2520
Vanuatu,2020,3257
Micronesia (country),2020,118860
Guam,2020,80472
Kiribati,2020,3126
Marshall Islands,2020,3298
Micronesia (region),2020,2832
Nauru,2020,2201
Northern Mariana Islands,2020,21843
Palau,2020,5088
Polynesia,2020,70136
American Samoa,2020,23608
Cook Islands,2020,4579
French Polynesia,2020,30081
Niue,2020,588
Samoa,2020,4021
Tokelau,2020,1238
Tonga,2020,3742
Tuvalu,2020,239
Wallis and Futuna,2020,2040
