Year,Country,unhcr_resettlement_arrivals_by_origin
1984,Iran,2761.8
1985,Iran,4356.6
1986,Iran,5826.2
1987,Iran,6555.0
1988,Iran,6789.8
1989,Iran,6809.2
1990,Iran,5847.6
1991,Iran,4503.4
1992,Iran,3391.4
1993,Iran,2780.2
1994,Iran,2349.0
1995,Iran,2339.8
1996,Iran,2676.2
1997,Iran,3069.0
1998,Iran,4051.2
1999,Iran,5341.0
2000,Iran,5360.4
2001,Iran,5410.0
2002,Iran,5437.8
2003,Iran,4573.8
2004,Iran,3646.2
2005,Iran,4191.8
2006,Iran,4641.0
2007,Iran,5087.6
2008,Iran,5280.2
2009,Iran,5135.2
2010,Iran,4510.4
2011,Iran,4212.2
2012,Iran,3954.0
2013,Iran,3993.2
2014,Iran,4330.6
2015,Iran,4150.6
2016,Iran,3304.6
2017,Iran,2622.8
2018,Iran,1891.6
2019,Iran,943.2
1978,Iraq,38.2
1979,Iraq,20.0
1980,Iraq,413.2
1981,Iraq,774.0
1982,Iraq,901.6
1983,Iraq,1010.0
1984,Iraq,1103.2
1985,Iraq,778.4
1986,Iraq,527.2
1987,Iraq,586.6
1988,Iraq,629.2
1989,Iraq,892.8
1990,Iraq,2592.8
1991,Iraq,4200.8
1992,Iraq,5923.8
1993,Iraq,7607.4
1994,Iraq,8473.0
1995,Iraq,8123.6
1996,Iraq,7418.4
1997,Iraq,6537.6
1998,Iraq,5891.0
1999,Iraq,5640.2
2000,Iraq,5104.0
2001,Iraq,4739.6
2002,Iraq,4194.4
2003,Iraq,3555.0
2004,Iraq,3120.8
2005,Iraq,3208.8
2006,Iraq,6535.0
2007,Iraq,11844.8
2008,Iraq,16203.6
2009,Iraq,18409.2
2010,Iraq,21539.2
2011,Iraq,22827.6
2012,Iraq,22192.0
2013,Iraq,20303.0
2014,Iraq,20839.2
2015,Iraq,19318.8
2016,Iraq,15717.8
2017,Iraq,13160.2
2018,Iraq,10902.6
2019,Iraq,7728.8
1992,Israel,33.8
1993,Israel,32.6
1995,Israel,34.6
1998,Israel,11.2
2004,Israel,8.4
2005,Israel,7.6
2012,Israel,7.6
2013,Israel,5.4
2014,Israel,5.2
2015,Israel,5.4
1961,Italy,31.0
1962,Italy,19.4
1963,Italy,8.4
1964,Italy,7.8
1965,Italy,10.2
1967,Italy,13.2
1990,Italy,13.4
1991,Italy,21.0
1992,Italy,27.8
1993,Italy,22.8
1994,Italy,20.6
1995,Italy,20.4
1996,Italy,13.0
1997,Italy,7.6
1992,Jordan,9.8
1993,Jordan,14.2
1994,Jordan,43.2
1995,Jordan,43.8
1996,Jordan,49.2
1997,Jordan,52.2
1998,Jordan,47.8
1999,Jordan,19.0
2000,Jordan,17.2
2003,Jordan,15.6
2004,Jordan,12.6
2005,Jordan,12.6
2006,Jordan,19.4
2007,Jordan,23.4
2008,Jordan,25.4
2009,Jordan,25.0
2010,Jordan,26.4
2011,Jordan,35.2
2012,Jordan,39.8
2013,Jordan,42.6
2014,Jordan,71.2
2015,Jordan,88.4
2016,Jordan,91.0
2017,Jordan,103.6
2018,Jordan,104.8
1998,Kazakhstan,144.6
1999,Kazakhstan,198.4
2000,Kazakhstan,242.0
2001,Kazakhstan,261.4
2002,Kazakhstan,242.6
2003,Kazakhstan,204.6
2004,Kazakhstan,173.4
2005,Kazakhstan,142.2
2006,Kazakhstan,132.0
2007,Kazakhstan,81.6
2008,Kazakhstan,69.0
2009,Kazakhstan,55.2
2010,Kazakhstan,44.0
2011,Kazakhstan,31.6
2012,Kazakhstan,28.8
2013,Kazakhstan,35.0
2014,Kazakhstan,40.4
2015,Kazakhstan,44.2
2016,Kazakhstan,53.4
2017,Kazakhstan,53.6
2018,Kazakhstan,43.0
1974,Kenya,140.2
1990,Kenya,61.2
1991,Kenya,29.0
1992,Kenya,51.2
1993,Kenya,58.2
1994,Kenya,71.8
1995,Kenya,84.8
1996,Kenya,92.8
1997,Kenya,87.8
1998,Kenya,75.6
1999,Kenya,61.2
2000,Kenya,49.2
2001,Kenya,35.4
2002,Kenya,130.6
2003,Kenya,187.8
2004,Kenya,186.0
2005,Kenya,182.2
2006,Kenya,210.0
2007,Kenya,99.4
2008,Kenya,61.6
2009,Kenya,78.2
2010,Kenya,96.8
2011,Kenya,86.4
2012,Kenya,98.2
2013,Kenya,115.8
2014,Kenya,132.8
2015,Kenya,151.6
2016,Kenya,179.8
2017,Kenya,227.6
2018,Kenya,193.2
1992,Kuwait,31.2
1993,Kuwait,28.6
1994,Kuwait,28.4
1995,Kuwait,22.4
1996,Kuwait,36.4
1997,Kuwait,73.8
1998,Kuwait,75.8
1999,Kuwait,81.4
2000,Kuwait,84.2
2002,Kuwait,66.4
2003,Kuwait,32.4
2004,Kuwait,33.0
2005,Kuwait,33.4
2006,Kuwait,30.0
2007,Kuwait,28.0
2008,Kuwait,34.0
2009,Kuwait,37.4
2010,Kuwait,31.8
2011,Kuwait,28.8
2012,Kuwait,31.8
2013,Kuwait,24.4
2014,Kuwait,20.0
2015,Kuwait,18.8
2016,Kuwait,17.8
1999,Kyrgyzstan,79.0
2000,Kyrgyzstan,91.4
2001,Kyrgyzstan,99.6
2002,Kyrgyzstan,108.0
2003,Kyrgyzstan,92.6
2004,Kyrgyzstan,78.0
2005,Kyrgyzstan,69.4
2006,Kyrgyzstan,67.2
2007,Kyrgyzstan,44.0
2008,Kyrgyzstan,39.4
2009,Kyrgyzstan,37.0
2010,Kyrgyzstan,44.2
2011,Kyrgyzstan,38.6
2012,Kyrgyzstan,29.0
2013,Kyrgyzstan,21.4
2014,Kyrgyzstan,30.2
2015,Kyrgyzstan,20.4
2016,Kyrgyzstan,25.6
2017,Kyrgyzstan,27.2
1977,Laos,824.4
1978,Laos,2083.0
1979,Laos,2278.8
1980,Laos,4245.4
1981,Laos,4877.8
1982,Laos,5737.0
1983,Laos,5645.6
1984,Laos,8169.2
1985,Laos,9432.8
1986,Laos,11884.6
1987,Laos,12880.0
1988,Laos,13599.0
1989,Laos,12921.8
1990,Laos,11185.0
1991,Laos,9484.2
1992,Laos,8117.6
1993,Laos,6982.0
1994,Laos,5376.4
1995,Laos,4077.8
1996,Laos,2671.2
1997,Laos,1401.2
1998,Laos,660.0
1999,Laos,222.2
2000,Laos,25.6
2001,Laos,27.2
2002,Laos,1233.8
2003,Laos,2925.6
2004,Laos,3088.4
2005,Laos,3134.6
2006,Laos,3143.8
2007,Laos,1934.6
2008,Laos,295.6
2009,Laos,158.0
2010,Laos,111.8
2011,Laos,101.4
1961,Latvia,21.8
1962,Latvia,11.0
1963,Latvia,8.8
1965,Latvia,6.2
1990,Latvia,5.4
1992,Latvia,5.4
1993,Latvia,36.4
1994,Latvia,54.4
1999,Latvia,76.8
2000,Latvia,87.4
2001,Latvia,96.2
2002,Latvia,74.6
2003,Latvia,60.2
2004,Latvia,41.0
2005,Latvia,32.8
2006,Latvia,24.2
2007,Latvia,14.8
2008,Latvia,11.4
1990,Lebanon,151.2
1991,Lebanon,152.4
1992,Lebanon,154.0
1993,Lebanon,67.6
1994,Lebanon,18.0
1995,Lebanon,10.8
1996,Lebanon,12.6
1998,Lebanon,18.2
1999,Lebanon,24.8
2000,Lebanon,41.6
2001,Lebanon,48.2
2002,Lebanon,59.8
2003,Lebanon,61.2
2004,Lebanon,55.6
2005,Lebanon,38.4
2006,Lebanon,33.4
2007,Lebanon,21.0
2008,Lebanon,13.2
2009,Lebanon,12.4
2010,Lebanon,11.8
2011,Lebanon,16.6
2012,Lebanon,38.8
2013,Lebanon,53.8
2014,Lebanon,96.0
2015,Lebanon,121.6
2016,Lebanon,133.4
2017,Lebanon,147.0
2018,Lebanon,141.0
1992,Liberia,444.6
1993,Liberia,455.8
1994,Liberia,465.4
1995,Liberia,391.2
1996,Liberia,504.4
1997,Liberia,882.0
1998,Liberia,1401.6
1999,Liberia,2101.0
2000,Liberia,2197.4
2001,Liberia,2635.0
2002,Liberia,3857.2
2003,Liberia,4442.6
2004,Liberia,4424.6
2005,Liberia,4725.8
2006,Liberia,4243.0
2007,Liberia,2693.6
2008,Liberia,1667.4
2009,Liberia,1025.6
2010,Liberia,594.8
2011,Liberia,357.6
2012,Liberia,204.6
2013,Liberia,143.2
2014,Liberia,121.8
2015,Liberia,111.8
2016,Liberia,98.2
2017,Liberia,92.8
2018,Liberia,65.4
2019,Liberia,41.0
1994,Libya,73.6
1996,Libya,72.8
1997,Libya,5.0
1998,Libya,5.8
1999,Libya,5.8
2000,Libya,5.8
2001,Libya,5.8
2008,Libya,11.8
2010,Libya,12.2
2012,Libya,15.6
2013,Libya,15.6
2014,Libya,15.6
2016,Libya,9.6
2017,Libya,8.8
1962,Lithuania,15.0
1965,Lithuania,11.2
1991,Lithuania,7.0
1992,Lithuania,7.0
1993,Lithuania,8.0
1995,Lithuania,8.6
1999,Lithuania,12.4
2000,Lithuania,15.6
2001,Lithuania,17.2
2003,Lithuania,16.4
2004,Lithuania,15.6
2005,Lithuania,10.6
1994,Malawi,11.8
1999,Malawi,12.8
2004,Malawi,13.2
2005,Malawi,14.8
2008,Malawi,20.8
2010,Malawi,23.0
2011,Malawi,30.2
2012,Malawi,29.2
2013,Malawi,28.4
2014,Malawi,27.6
2015,Malawi,22.8
2016,Malawi,22.8
2017,Malawi,41.8
1992,Malaysia,11.0
1994,Malaysia,11.0
1996,Malaysia,11.0
2003,Malaysia,9.8
2004,Malaysia,5.8
2005,Malaysia,12.6
2006,Malaysia,25.4
2008,Malaysia,46.6
2010,Malaysia,82.0
2011,Malaysia,119.6
2012,Malaysia,141.6
2013,Malaysia,158.2
2014,Malaysia,155.0
2015,Malaysia,139.4
2016,Malaysia,142.4
2017,Malaysia,162.0
2018,Malaysia,140.2
2017,Mali,79.2
2018,Mali,81.0
2019,Mali,85.0
1996,Malta,5.4
1996,Mauritania,46.0
2001,Mauritania,48.8
2002,Mauritania,73.6
2005,Mauritania,109.2
2006,Mauritania,87.0
2007,Mauritania,89.6
2008,Mauritania,100.0
2009,Mauritania,76.4
2010,Mauritania,42.2
2011,Mauritania,25.8
2012,Mauritania,22.0
2013,Mauritania,9.6
2014,Mauritania,8.0
1992,Mexico,18.8
1993,Mexico,16.8
1994,Mexico,12.0
1998,Mexico,7.8
1999,Moldova,630.6
2000,Moldova,826.0
2001,Moldova,946.2
2002,Moldova,1084.6
2003,Moldova,1083.4
2004,Moldova,1016.4
2005,Moldova,926.6
2006,Moldova,899.8
2007,Moldova,657.0
2008,Moldova,505.2
2009,Moldova,421.8
2010,Moldova,367.6
2011,Moldova,285.2
2012,Moldova,237.6
2013,Moldova,296.2
2015,Moldova,288.8
2016,Moldova,255.4
2017,Moldova,305.6
2018,Moldova,288.2
2019,Moldova,186.2
2001,Morocco,7.4
2005,Morocco,5.8
2008,Morocco,5.0
2010,Morocco,5.0
2012,Morocco,5.2
2013,Morocco,5.2
2014,Morocco,5.2
2016,Morocco,6.4
2018,Morocco,7.2
1978,Mozambique,91.2
1982,Mozambique,60.6
1983,Mozambique,26.6
1984,Mozambique,11.2
1985,Mozambique,12.8
1987,Mozambique,11.6
1988,Mozambique,7.4
1989,Mozambique,10.4
1990,Mozambique,10.6
1991,Mozambique,9.2
1992,Mozambique,14.4
1992,Myanmar,231.4
1993,Myanmar,333.4
1994,Myanmar,411.4
1995,Myanmar,489.6
1996,Myanmar,490.4
1997,Myanmar,431.2
1998,Myanmar,556.0
1999,Myanmar,665.2
2000,Myanmar,631.4
2001,Myanmar,720.2
2002,Myanmar,997.4
2003,Myanmar,1339.6
2004,Myanmar,2345.0
2005,Myanmar,6305.4
2006,Myanmar,10628.8
2007,Myanmar,15097.0
2008,Myanmar,18454.2
2009,Myanmar,20854.8
2010,Myanmar,20323.6
2011,Myanmar,19237.4
2012,Myanmar,17973.6
2013,Myanmar,17950.6
2014,Myanmar,16954.6
2015,Myanmar,14469.4
2016,Myanmar,12225.6
2017,Myanmar,9922.6
2018,Myanmar,6392.8
2019,Myanmar,3864.0
1986,Namibia,9.8
1987,Namibia,6.8
1988,Namibia,6.8
1999,Namibia,6.8
2005,Namibia,8.2
2006,Namibia,9.2
2009,Namibia,11.2
2010,Namibia,10.6
2011,Namibia,12.2
2012,Namibia,10.8
2013,Namibia,12.6
2015,Namibia,10.4
2016,Namibia,10.8
2006,Nepal,51.2
2007,Nepal,52.8
2008,Nepal,124.6
2009,Nepal,197.0
2010,Nepal,254.2
2011,Nepal,316.6
2012,Nepal,388.8
2013,Nepal,354.8
2014,Nepal,308.6
2015,Nepal,312.0
2016,Nepal,241.6
2017,Nepal,202.4
2018,Nepal,167.2
2019,Nepal,133.4
1993,Netherlands,17.4
1994,Netherlands,17.8
1995,Netherlands,14.2
1985,Nicaragua,431.4
1986,Nicaragua,637.6
1987,Nicaragua,797.8
1988,Nicaragua,895.0
1989,Nicaragua,817.0
1990,Nicaragua,632.4
1991,Nicaragua,426.0
1992,Nicaragua,251.6
1993,Nicaragua,70.0
1994,Nicaragua,24.6
1996,Nigeria,91.0
1997,Nigeria,216.6
1998,Nigeria,225.0
1999,Nigeria,231.2
2000,Nigeria,226.8
2001,Nigeria,172.0
2002,Nigeria,52.6
2003,Nigeria,43.8
2004,Nigeria,33.6
2005,Nigeria,37.2
2006,Nigeria,42.6
2007,Nigeria,43.2
2008,Nigeria,47.8
2009,Nigeria,44.0
2010,Nigeria,37.4
2013,Nigeria,21.0
2015,Nigeria,14.4
2016,Nigeria,29.2
2017,Nigeria,77.6
2018,Nigeria,80.0
2019,Nigeria,81.2
2007,North Korea,18.2
2008,North Korea,20.6
2009,North Korea,22.0
2010,North Korea,22.2
2011,North Korea,17.6
2012,North Korea,17.0
2013,North Korea,16.4
2014,North Korea,17.0
2015,North Korea,13.6
1996,North Macedonia,7.6
1997,North Macedonia,7.4
1998,North Macedonia,7.4
1999,North Macedonia,7.4
2001,North Macedonia,8.6
2002,North Macedonia,55.8
1987,Pakistan,24.2
1988,Pakistan,59.2
1990,Pakistan,78.2
1991,Pakistan,83.4
1992,Pakistan,91.2
1993,Pakistan,83.4
1994,Pakistan,61.2
1995,Pakistan,57.6
1996,Pakistan,85.0
1997,Pakistan,131.8
1998,Pakistan,175.2
1999,Pakistan,186.8
2000,Pakistan,186.0
2001,Pakistan,205.8
2002,Pakistan,191.4
2003,Pakistan,170.6
2004,Pakistan,184.4
2005,Pakistan,194.4
2006,Pakistan,186.0
2007,Pakistan,177.2
2008,Pakistan,187.4
2009,Pakistan,221.0
2010,Pakistan,282.8
2011,Pakistan,375.2
2012,Pakistan,492.6
2013,Pakistan,638.0
2014,Pakistan,762.0
2015,Pakistan,835.6
2016,Pakistan,954.4
2017,Pakistan,1106.4
2018,Pakistan,998.2
2019,Pakistan,821.4
1993,Palestine,10.2
1995,Palestine,8.8
1996,Palestine,11.2
1998,Palestine,8.0
1999,Palestine,11.8
2001,Palestine,14.0
2002,Palestine,14.4
2003,Palestine,16.6
2004,Palestine,16.8
2005,Palestine,45.6
2006,Palestine,71.8
2007,Palestine,128.2
2008,Palestine,335.6
2009,Palestine,363.4
2010,Palestine,375.2
2011,Palestine,388.0
2012,Palestine,371.0
2013,Palestine,194.0
2014,Palestine,221.0
2015,Palestine,226.0
2016,Palestine,249.2
2017,Palestine,257.6
2018,Palestine,255.4
2019,Palestine,208.4
1992,Peru,20.6
1993,Peru,20.4
1994,Peru,19.0
1995,Peru,14.8
1996,Peru,15.0
1997,Peru,11.8
1998,Peru,8.4
1999,Peru,8.0
1992,Philippines,45.0
1993,Philippines,50.6
1994,Philippines,49.8
1995,Philippines,30.8
1996,Philippines,22.4
1998,Philippines,11.6
2002,Philippines,26.4
2004,Philippines,27.2
2006,Philippines,28.0
2007,Philippines,28.8
2008,Philippines,29.8
2011,Philippines,11.4
2014,Philippines,10.8
2015,Philippines,10.0
2017,Philippines,9.4
1961,Poland,175.8
1962,Poland,131.6
1963,Poland,116.6
1964,Poland,92.8
1965,Poland,83.0
1966,Poland,86.6
1967,Poland,113.4
1968,Poland,147.2
1969,Poland,153.8
1970,Poland,150.2
1971,Poland,133.2
1972,Poland,91.2
1973,Poland,39.6
1974,Poland,29.4
1975,Poland,30.8
1976,Poland,56.4
1977,Poland,105.4
1978,Poland,198.6
1979,Poland,710.0
1980,Poland,3441.4
1981,Poland,5002.8
1982,Poland,6274.2
1983,Poland,7249.6
1984,Poland,8199.6
1985,Poland,7082.8
1986,Poland,7519.8
1987,Poland,9424.8
1988,Poland,11073.8
1989,Poland,11672.4
1990,Poland,11015.0
1991,Poland,9156.8
1992,Poland,5946.2
1993,Poland,3237.2
1994,Poland,1173.2
1995,Poland,203.0
1991,Portugal,8.0
1992,Portugal,7.0
1993,Portugal,7.0
1961,Romania,47.0
1962,Romania,59.8
1963,Romania,65.6
1964,Romania,64.4
1965,Romania,58.6
1966,Romania,49.4
1967,Romania,49.8
1968,Romania,67.6
1969,Romania,77.4
1970,Romania,85.6
1971,Romania,81.6
1972,Romania,76.2
1973,Romania,72.4
1974,Romania,77.0
1975,Romania,89.8
1976,Romania,101.8
1977,Romania,143.0
1978,Romania,178.8
1979,Romania,249.0
1980,Romania,901.8
1981,Romania,1781.4
1982,Romania,2690.0
1983,Romania,3612.2
1984,Romania,4123.6
1985,Romania,4240.2
1986,Romania,4060.2
1987,Romania,3897.4
1988,Romania,3844.0
1989,Romania,4209.4
1990,Romania,3749.2
1991,Romania,3077.0
1992,Romania,2293.0
1993,Romania,1367.8
1994,Romania,404.2
1995,Romania,74.2
1996,Romania,28.6
1997,Romania,14.4
1961,Russia,74.2
1962,Russia,43.8
1963,Russia,42.2
1964,Russia,36.2
1965,Russia,31.4
1966,Russia,30.0
1967,Russia,27.8
1968,Russia,31.0
1969,Russia,27.8
1970,Russia,24.6
1971,Russia,36.6
1972,Russia,84.8
1973,Russia,177.6
1974,Russia,270.4
1975,Russia,320.4
1976,Russia,328.6
1977,Russia,502.2
1978,Russia,788.8
1979,Russia,840.8
1980,Russia,1376.8
1981,Russia,1652.0
1982,Russia,1571.6
1983,Russia,1317.4
1984,Russia,1336.6
1985,Russia,1509.0
1986,Russia,5362.0
1987,Russia,13321.8
1988,Russia,23567.6
1989,Russia,31262.8
1990,Russia,43032.2
1991,Russia,48718.0
1992,Russia,49518.4
1993,Russia,46395.0
1994,Russia,44533.0
1995,Russia,37469.2
1996,Russia,32337.4
1997,Russia,24287.2
1998,Russia,17730.0
1999,Russia,12563.6
2000,Russia,7546.6
2001,Russia,3160.6
2002,Russia,2656.2
2003,Russia,3182.4
2004,Russia,3598.0
2005,Russia,3535.0
2006,Russia,3324.2
2007,Russia,3071.6
2008,Russia,1907.0
2009,Russia,696.6
2010,Russia,356.6
2011,Russia,264.6
2012,Russia,206.0
2013,Russia,203.8
2014,Russia,272.2
2015,Russia,308.0
2016,Russia,356.4
2017,Russia,350.8
2018,Russia,326.2
2019,Russia,228.0
1992,Rwanda,43.4
1993,Rwanda,67.4
1994,Rwanda,100.6
1995,Rwanda,128.4
1996,Rwanda,170.8
1997,Rwanda,208.2
1998,Rwanda,273.0
1999,Rwanda,279.6
2000,Rwanda,287.8
2001,Rwanda,294.8
2002,Rwanda,329.8
2003,Rwanda,317.6
2004,Rwanda,349.6
2005,Rwanda,405.4
2006,Rwanda,416.8
2007,Rwanda,400.2
2008,Rwanda,396.8
2009,Rwanda,370.4
2010,Rwanda,339.4
2011,Rwanda,321.4
2012,Rwanda,275.0
2013,Rwanda,265.8
2014,Rwanda,272.0
2015,Rwanda,237.6
2016,Rwanda,247.4
2017,Rwanda,261.2
2018,Rwanda,198.8
2019,Rwanda,144.4
1992,Saudi Arabia,46.6
1993,Saudi Arabia,64.6
1994,Saudi Arabia,63.2
1995,Saudi Arabia,63.2
1996,Saudi Arabia,63.2
1998,Saudi Arabia,37.4
2005,Saudi Arabia,9.2
2006,Saudi Arabia,8.4
2008,Saudi Arabia,10.0
2009,Saudi Arabia,10.2
2010,Saudi Arabia,9.8
2011,Saudi Arabia,11.4
2012,Saudi Arabia,12.4
2013,Saudi Arabia,13.2
2014,Saudi Arabia,14.2
2015,Saudi Arabia,16.6
2016,Saudi Arabia,17.0
2017,Saudi Arabia,23.0
2018,Saudi Arabia,20.2
2008,Senegal,13.8
2010,Senegal,11.2
2012,Senegal,13.8
2013,Senegal,18.4
2015,Senegal,21.0
2016,Senegal,23.6
2017,Senegal,30.4
2018,Senegal,29.0
2019,Senegal,21.0
1961,Serbia and Kosovo: S/RES/1244 (1999),1206.4
1962,Serbia and Kosovo: S/RES/1244 (1999),1266.2
1963,Serbia and Kosovo: S/RES/1244 (1999),1232.4
1964,Serbia and Kosovo: S/RES/1244 (1999),1303.0
1965,Serbia and Kosovo: S/RES/1244 (1999),1328.2
1966,Serbia and Kosovo: S/RES/1244 (1999),1076.2
1967,Serbia and Kosovo: S/RES/1244 (1999),788.6
1968,Serbia and Kosovo: S/RES/1244 (1999),537.2
1969,Serbia and Kosovo: S/RES/1244 (1999),286.0
1970,Serbia and Kosovo: S/RES/1244 (1999),79.4
1971,Serbia and Kosovo: S/RES/1244 (1999),48.2
1972,Serbia and Kosovo: S/RES/1244 (1999),32.6
1973,Serbia and Kosovo: S/RES/1244 (1999),24.8
1974,Serbia and Kosovo: S/RES/1244 (1999),20.6
1975,Serbia and Kosovo: S/RES/1244 (1999),13.2
1976,Serbia and Kosovo: S/RES/1244 (1999),12.8
1977,Serbia and Kosovo: S/RES/1244 (1999),13.4
1979,Serbia and Kosovo: S/RES/1244 (1999),20.2
1982,Serbia and Kosovo: S/RES/1244 (1999),19.2
1983,Serbia and Kosovo: S/RES/1244 (1999),18.4
1984,Serbia and Kosovo: S/RES/1244 (1999),18.4
1985,Serbia and Kosovo: S/RES/1244 (1999),17.4
1986,Serbia and Kosovo: S/RES/1244 (1999),7.8
1987,Serbia and Kosovo: S/RES/1244 (1999),8.2
1988,Serbia and Kosovo: S/RES/1244 (1999),10.2
1989,Serbia and Kosovo: S/RES/1244 (1999),11.4
1990,Serbia and Kosovo: S/RES/1244 (1999),362.4
1991,Serbia and Kosovo: S/RES/1244 (1999),1116.4
1992,Serbia and Kosovo: S/RES/1244 (1999),2103.6
1993,Serbia and Kosovo: S/RES/1244 (1999),3188.4
1994,Serbia and Kosovo: S/RES/1244 (1999),3890.4
1995,Serbia and Kosovo: S/RES/1244 (1999),3959.8
1996,Serbia and Kosovo: S/RES/1244 (1999),3944.0
1997,Serbia and Kosovo: S/RES/1244 (1999),6654.2
1998,Serbia and Kosovo: S/RES/1244 (1999),6861.2
1999,Serbia and Kosovo: S/RES/1244 (1999),6803.6
2000,Serbia and Kosovo: S/RES/1244 (1999),6652.0
2001,Serbia and Kosovo: S/RES/1244 (1999),6088.8
2002,Serbia and Kosovo: S/RES/1244 (1999),2484.2
2003,Serbia and Kosovo: S/RES/1244 (1999),1214.6
2004,Serbia and Kosovo: S/RES/1244 (1999),587.8
2005,Serbia and Kosovo: S/RES/1244 (1999),353.0
2006,Serbia and Kosovo: S/RES/1244 (1999),198.8
2007,Serbia and Kosovo: S/RES/1244 (1999),115.4
2008,Serbia and Kosovo: S/RES/1244 (1999),93.4
2009,Serbia and Kosovo: S/RES/1244 (1999),82.8
2010,Serbia and Kosovo: S/RES/1244 (1999),48.8
2011,Serbia and Kosovo: S/RES/1244 (1999),28.0
1997,Sierra Leone,213.4
1998,Sierra Leone,490.2
1999,Sierra Leone,1017.0
2000,Sierra Leone,1150.0
2001,Sierra Leone,1489.0
2002,Sierra Leone,1757.6
2003,Sierra Leone,1753.6
2004,Sierra Leone,1448.0
2005,Sierra Leone,1408.6
2006,Sierra Leone,1099.0
2007,Sierra Leone,777.0
2008,Sierra Leone,539.0
2009,Sierra Leone,334.2
2010,Sierra Leone,233.6
2011,Sierra Leone,172.6
2012,Sierra Leone,92.6
2013,Sierra Leone,63.2
2014,Sierra Leone,53.8
2015,Sierra Leone,49.4
2016,Sierra Leone,42.8
2017,Sierra Leone,28.6
1996,Slovenia,20.8
1997,Slovenia,18.2
1998,Slovenia,17.6
1985,Somalia,16.6
1986,Somalia,25.0
1987,Somalia,42.0
1988,Somalia,229.0
1989,Somalia,420.2
1990,Somalia,815.2
1991,Somalia,1516.8
1992,Somalia,2404.0
1993,Somalia,2887.6
1994,Somalia,4141.8
1995,Somalia,4877.8
1996,Somalia,4960.4
1997,Somalia,5055.8
1998,Somalia,5713.8
1999,Somalia,5363.6
2000,Somalia,4382.8
2001,Somalia,4080.4
2002,Somalia,5911.8
2003,Somalia,6801.8
2004,Somalia,7926.4
2005,Somalia,9343.2
2006,Somalia,9530.6
2007,Somalia,7947.2
2008,Somalia,6962.8
2009,Somalia,5832.2
2010,Somalia,5866.8
2011,Somalia,7228.4
2012,Somalia,8357.4
2013,Somalia,8985.8
2014,Somalia,10331.8
2015,Somalia,9550.6
2016,Somalia,7871.6
2017,Somalia,6354.0
2018,Somalia,4669.4
2019,Somalia,2302.2
1983,South Africa,12.8
1984,South Africa,14.0
1985,South Africa,26.8
1986,South Africa,33.4
1987,South Africa,34.6
1988,South Africa,42.6
1989,South Africa,45.8
1990,South Africa,35.8
1991,South Africa,29.0
1992,South Africa,26.0
1993,South Africa,15.6
1995,South Africa,11.0
1999,South Africa,9.4
2003,South Africa,9.6
2010,South Africa,9.6
2012,South Africa,10.0
2013,South Africa,11.6
2014,South Africa,12.8
2015,South Africa,12.0
2016,South Africa,12.0
2015,South Sudan,253.6
2016,South Sudan,309.8
2017,South Sudan,509.4
2018,South Sudan,580.6
2019,South Sudan,541.2
1964,Spain,17.6
1965,Spain,20.6
1966,Spain,21.0
1990,Spain,12.6
1991,Spain,9.8
1992,Spain,9.8
1994,Spain,11.8
1995,Spain,11.6
1996,Spain,11.0
1992,Sri Lanka,244.4
1993,Sri Lanka,199.2
1994,Sri Lanka,167.8
1995,Sri Lanka,198.4
1996,Sri Lanka,224.2
1997,Sri Lanka,234.4
1998,Sri Lanka,176.2
1999,Sri Lanka,152.6
2000,Sri Lanka,120.8
2001,Sri Lanka,108.2
2002,Sri Lanka,104.8
2003,Sri Lanka,91.2
2004,Sri Lanka,95.8
2005,Sri Lanka,103.6
2006,Sri Lanka,162.8
2007,Sri Lanka,233.4
2008,Sri Lanka,301.0
2009,Sri Lanka,377.2
2010,Sri Lanka,378.6
2011,Sri Lanka,363.8
2012,Sri Lanka,332.4
2013,Sri Lanka,285.2
2014,Sri Lanka,214.8
2015,Sri Lanka,185.8
2016,Sri Lanka,137.2
2017,Sri Lanka,104.8
2018,Sri Lanka,88.4
2019,Sri Lanka,62.4
1992,Stateless,15.0
1993,Stateless,15.0
1994,Stateless,6.0
1995,Stateless,8.6
1997,Stateless,9.6
1998,Stateless,11.8
1999,Stateless,176.8
2000,Stateless,184.0
2001,Stateless,207.8
2002,Stateless,208.2
2003,Stateless,213.8
2004,Stateless,63.0
2005,Stateless,59.8
2006,Stateless,148.4
2007,Stateless,274.0
2008,Stateless,347.8
2009,Stateless,382.2
2010,Stateless,423.6
2011,Stateless,354.2
2012,Stateless,301.4
2013,Stateless,350.8
2014,Stateless,413.6
2015,Stateless,446.0
2016,Stateless,456.6
2017,Stateless,384.6
2018,Stateless,270.0
2019,Stateless,172.6
1982,Sudan,29.2
1983,Sudan,31.4
1984,Sudan,34.2
1985,Sudan,43.2
1986,Sudan,36.6
1987,Sudan,51.2
1988,Sudan,87.0
1989,Sudan,124.8
1990,Sudan,166.4
1991,Sudan,293.8
1992,Sudan,576.4
1993,Sudan,984.6
1994,Sudan,1124.2
1995,Sudan,1293.4
1996,Sudan,1635.4
1997,Sudan,1991.0
1998,Sudan,2714.0
1999,Sudan,4150.4
2000,Sudan,4824.6
2001,Sudan,6036.0
2002,Sudan,7823.4
2003,Sudan,8039.8
2004,Sudan,7696.6
2005,Sudan,7291.4
