year,location,annual_sea_surface_temperature_anomaly,annual_sea_surface_temperature_anomaly_lower_bound_95pct,annual_sea_surface_temperature_anomaly_upper_bound_95pct
2014,Southern Hemisphere,0.44205,0.41642,0.46404
2015,Southern Hemisphere,0.55256,0.52663,0.57454
2016,Southern Hemisphere,0.59633,0.57179,0.61792
2017,Southern Hemisphere,0.52084,0.49712,0.54313
2018,Southern Hemisphere,0.50549,0.48171,0.52813
2019,Southern Hemisphere,0.58543,0.56183,0.60867
2020,Southern Hemisphere,0.5065,0.48079,0.53063
2021,Southern Hemisphere,0.48376,0.45444,0.50633
1850,Tropics,-0.28666,-0.39296,-0.18875
1851,Tropics,-0.19874,-0.30071,-0.10579
1852,Tropics,-0.15703,-0.25525,-0.05958
1853,Tropics,-0.11844,-0.21158,-0.02733
1854,Tropics,-0.21249,-0.302,-0.12342
1855,Tropics,-0.22634,-0.311,-0.13771
1856,Tropics,-0.31657,-0.39838,-0.22983
1857,Tropics,-0.49753,-0.57562,-0.41321
1858,Tropics,-0.36713,-0.44113,-0.28346
1859,Tropics,-0.2148,-0.28579,-0.13283
1860,Tropics,-0.30782,-0.37721,-0.22771
1861,Tropics,-0.40454,-0.47287,-0.32633
1862,Tropics,-0.37702,-0.44392,-0.30037
1863,Tropics,-0.42456,-0.48817,-0.34937
1864,Tropics,-0.5183,-0.57971,-0.44412
1865,Tropics,-0.11026,-0.16821,-0.03833
1866,Tropics,-0.14296,-0.2,-0.07408
1867,Tropics,-0.1123,-0.16775,-0.046
1868,Tropics,-0.12939,-0.18279,-0.06471
1869,Tropics,-0.20653,-0.25992,-0.14196
1870,Tropics,-0.27255,-0.32396,-0.20887
1871,Tropics,-0.21898,-0.26992,-0.15762
1872,Tropics,-0.32273,-0.37183,-0.26404
1873,Tropics,-0.34906,-0.39796,-0.28621
1874,Tropics,-0.55586,-0.60533,-0.49892
1875,Tropics,-0.29087,-0.33875,-0.23162
1876,Tropics,-0.36737,-0.41542,-0.30925
1877,Tropics,0.09526,0.04462,0.14658
1878,Tropics,0.24758,0.19646,0.30421
1879,Tropics,-0.27951,-0.33137,-0.22279
1880,Tropics,-0.25777,-0.31058,-0.20592
1881,Tropics,-0.05515,-0.11125,-0.00067
1882,Tropics,-0.31106,-0.36967,-0.25696
1883,Tropics,-0.3834,-0.44317,-0.32804
1884,Tropics,-0.42071,-0.48304,-0.36062
1885,Tropics,-0.30515,-0.36792,-0.24479
1886,Tropics,-0.33068,-0.39496,-0.26487
1887,Tropics,-0.47245,-0.53817,-0.40475
1888,Tropics,-0.06065,-0.12667,0.00271
1889,Tropics,-0.04118,-0.10687,0.02696
1890,Tropics,-0.60322,-0.67004,-0.53333
1891,Tropics,-0.26611,-0.33396,-0.19146
1892,Tropics,-0.56352,-0.63325,-0.49196
1893,Tropics,-0.55525,-0.62467,-0.47879
1894,Tropics,-0.56543,-0.63904,-0.48812
1895,Tropics,-0.25475,-0.32742,-0.17271
1896,Tropics,0.0099,-0.06463,0.09192
1897,Tropics,0.03483,-0.04025,0.12375
1898,Tropics,-0.48405,-0.562,-0.39237
1899,Tropics,-0.29214,-0.37529,-0.19875
1900,Tropics,-0.04336,-0.1265,0.05592
1901,Tropics,-0.24358,-0.328,-0.14679
1902,Tropics,-0.33935,-0.42608,-0.24008
1903,Tropics,-0.48479,-0.57233,-0.37996
1904,Tropics,-0.68078,-0.77221,-0.57121
1905,Tropics,-0.34063,-0.43429,-0.22633
1906,Tropics,-0.36615,-0.46187,-0.25179
1907,Tropics,-0.46982,-0.55067,-0.36158
1908,Tropics,-0.61605,-0.69954,-0.51638
1909,Tropics,-0.5626,-0.65654,-0.46229
1910,Tropics,-0.54728,-0.65233,-0.45662
1911,Tropics,-0.58119,-0.69767,-0.50037
1912,Tropics,-0.31268,-0.43187,-0.22471
1913,Tropics,-0.39491,-0.51617,-0.30675
1914,Tropics,-0.25395,-0.37733,-0.16004
1915,Tropics,-0.11649,-0.237,-0.02187
1916,Tropics,-0.49627,-0.61817,-0.39687
1917,Tropics,-0.56981,-0.69021,-0.46821
1918,Tropics,-0.4237,-0.54392,-0.31625
1919,Tropics,-0.30032,-0.42175,-0.1915
1920,Tropics,-0.3144,-0.44087,-0.19017
1921,Tropics,-0.27673,-0.40521,-0.15754
1922,Tropics,-0.37487,-0.50283,-0.25008
1923,Tropics,-0.2988,-0.42792,-0.1705
1924,Tropics,-0.27693,-0.40554,-0.15475
1925,Tropics,-0.24614,-0.3755,-0.123
1926,Tropics,0.04348,-0.08592,0.17446
1927,Tropics,-0.14542,-0.27404,-0.02937
1928,Tropics,-0.1986,-0.32646,-0.07646
1929,Tropics,-0.28749,-0.41592,-0.17096
1930,Tropics,-0.08475,-0.21229,0.04125
1931,Tropics,0.07969,-0.04738,0.21546
1932,Tropics,-0.17454,-0.30296,-0.04637
1933,Tropics,-0.26331,-0.38137,-0.13429
1934,Tropics,-0.26412,-0.37867,-0.14075
1935,Tropics,-0.20433,-0.31871,-0.08725
1936,Tropics,-0.13357,-0.24367,-0.01017
1937,Tropics,0.0003,-0.1065,0.12933
1938,Tropics,-0.22907,-0.32558,-0.10471
1939,Tropics,-0.19015,-0.28558,-0.06696
1940,Tropics,0.14966,0.041,0.27229
1941,Tropics,0.18326,-0.05992,0.41042
1942,Tropics,-0.04279,-0.28404,0.18046
1943,Tropics,-0.12386,-0.36579,0.09817
1944,Tropics,0.12369,-0.12196,0.34633
1945,Tropics,0.14594,-0.09833,0.36475
1946,Tropics,-0.09453,-0.26996,0.07133
1947,Tropics,-0.11286,-0.29146,0.05333
1948,Tropics,-0.153,-0.32175,0.00763
1949,Tropics,-0.21778,-0.348,-0.08883
1950,Tropics,-0.30972,-0.41125,-0.18704
1951,Tropics,-0.04554,-0.13962,0.06913
1952,Tropics,0.01694,-0.07337,0.14071
1953,Tropics,0.09621,0.00242,0.23092
1954,Tropics,-0.23071,-0.32021,-0.11254
1955,Tropics,-0.37791,-0.46913,-0.271
1956,Tropics,-0.3631,-0.45467,-0.266
1957,Tropics,0.02676,-0.05563,0.11583
1958,Tropics,0.09415,0.01587,0.19233
1959,Tropics,-0.03658,-0.11704,0.06575
1960,Tropics,-0.1026,-0.17462,-0.00767
1961,Tropics,-0.13676,-0.18946,-0.06629
1962,Tropics,-0.17795,-0.223,-0.12154
1963,Tropics,0.03342,-0.01329,0.10525
1964,Tropics,-0.24315,-0.2995,-0.17629
1965,Tropics,-0.14781,-0.20025,-0.08121
1966,Tropics,-0.01644,-0.06246,0.03963
1967,Tropics,-0.28456,-0.32912,-0.23033
1968,Tropics,-0.19284,-0.23075,-0.15492
1969,Tropics,0.16513,0.13046,0.19613
1970,Tropics,-0.11834,-0.14496,-0.09221
1971,Tropics,-0.42421,-0.44771,-0.39871
1972,Tropics,0.06341,0.04117,0.08754
1973,Tropics,0.02229,-0.00179,0.04529
1974,Tropics,-0.30312,-0.32867,-0.27696
1975,Tropics,-0.36046,-0.391,-0.33746
1976,Tropics,-0.19696,-0.22608,-0.17237
1977,Tropics,0.08217,0.05233,0.10579
1978,Tropics,0.00613,-0.0265,0.03046
1979,Tropics,0.15591,0.126,0.17946
1980,Tropics,0.18832,0.15854,0.20996
1981,Tropics,0.09292,0.06288,0.11392
1982,Tropics,0.22216,0.19338,0.24404
1983,Tropics,0.36222,0.33367,0.38337
1984,Tropics,0.06755,0.03717,0.08971
1985,Tropics,-0.04512,-0.07858,-0.02192
1986,Tropics,0.11925,0.08654,0.14175
1987,Tropics,0.47569,0.44096,0.49821
1988,Tropics,0.26985,0.23317,0.29179
1989,Tropics,0.07459,0.04088,0.09713
1990,Tropics,0.28776,0.25363,0.30917
1991,Tropics,0.3265,0.29429,0.347
1992,Tropics,0.25408,0.22117,0.27529
1993,Tropics,0.26801,0.23579,0.29058
1994,Tropics,0.28225,0.25071,0.30475
1995,Tropics,0.38617,0.35575,0.40921
1996,Tropics,0.26192,0.23179,0.28458
1997,Tropics,0.50692,0.47525,0.52846
1998,Tropics,0.64461,0.61279,0.66712
1999,Tropics,0.12757,0.09525,0.149
2000,Tropics,0.17346,0.14163,0.19379
2001,Tropics,0.33835,0.30612,0.35846
2002,Tropics,0.48184,0.44867,0.50179
2003,Tropics,0.52864,0.49621,0.54888
2004,Tropics,0.4374,0.40604,0.45817
2005,Tropics,0.45416,0.42196,0.47521
2006,Tropics,0.43658,0.40467,0.45737
2007,Tropics,0.32347,0.29179,0.34438
2008,Tropics,0.23972,0.20858,0.26267
2009,Tropics,0.54985,0.51821,0.574
2010,Tropics,0.52412,0.49129,0.54879
2011,Tropics,0.22253,0.18996,0.24783
2012,Tropics,0.37905,0.34704,0.40533
2013,Tropics,0.42168,0.39083,0.44875
2014,Tropics,0.54282,0.51263,0.57
2015,Tropics,0.80844,0.77808,0.83613
2016,Tropics,0.83837,0.80817,0.86646
2017,Tropics,0.64178,0.61075,0.67104
2018,Tropics,0.51342,0.48254,0.54342
2019,Tropics,0.72706,0.69875,0.75808
2020,Tropics,0.72535,0.69492,0.75437
2021,Tropics,0.4977,0.46222,0.52478
