tag,dataset_id,id,name,unit,notes
v2x_jucon,0,388,Judicial constraints on the executive index,"
Interval, from low to high (0-1).","To what extent does the executive respect the constitution and comply with court rulings, and to what extent is the judiciary able to act in an independent fashion?
The index is formed by taking the point estimates from a Bayesian factor analysis model of the indicators for executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind).
Source: v2exrescon v2jucomp v2juhccomp v2juhcind v2juncind"
v2xlg_legcon,0,389,Legislative constraints on the executive index,"
Interval, from low to high (0-1).","To what extent are the legislature and government agencies e.g., comptroller general, general prosecutor, or ombudsman capable of questioning, investigating, and exercising oversight over the executive?
The index is formed by taking the point estimates from a Bayesian factor analysis model of the indicators for legislature questions officials in practice (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates in practice (v2lginvstp), and legislature opposition parties (v2lgoppart).
Source: v2lgqstexp v2lgotovst v2lginvstp v2lgoppart"
v2x_delibdem,0,390,Deliberative democracy index,"
Interval, from low to high (0-1).","To what extent is the ideal of deliberative democracy achieved?
The deliberative principle of democracy focuses on the process by which decisions are reached in a polity. A deliberative process is one in which public reasoning focused on the common good motivates political decisions—as contrasted with emotional appeals, solidary attachments, parochial interests, or coercion. According to this principle, democracy requires more than an aggregation of existing preferences. There should also be respectful dialogue at all levels—from preference formation to final decision—among informed and competent participants who are open to persuasion. To make it a measure of not only the deliberative principle but also of democracy, the index also takes the level of electoral democracy into account.
The index is aggregated using this formula: v2x_ delibdem = .25* v2x_polyarchy^1.585 + .25* v2x_ delib + .5* v2x_polyarchy ^1.585* v2x_ delib
Source: v2xdl_delib v2x_polyarchy"
v2xdl_delib,0,391,Deliberative component index,"
Interval, from low to high (0-1).","To what extent is the deliberative principle of democracy achieved?
The deliberative principle of democracy focuses on the process by which decisions are reached in a polity. A deliberative process is one in which public reasoning focused on the common good motivates political decisions—as contrasted with emotional appeals, solidary attachments, parochial interests, or coercion. According to this principle, democracy requires more than an aggregation of existing preferences. There should also be respectful dialogue at all levels—from preference formation to final decision—among informed and competent participants who are open to persuasion. To measure these features of a polity we try to determine the extent to which political elites give public justifications for their positions on matters of public policy, justify their positions in terms of the public good, acknowledge and respect counter-arguments; and how wide the range of consultation is at elite levels.
The index is formed by point estimates drawn from a Bayesian factor analysis model including the following indicators: reasoned justification (v2dlreason), common good justification (v2dlcommon), respect for counterarguments (v2dlcountr), range of consultation (v2dlconslt), and engaged society (v2dlengage).
Source: v2dlreason v2dlcommon v2dlcountr v2dlconslt v2dlengage"
v3lgfunds,0,392,Legislature controls resources,"0: No. The benefits legislators receive or the finances needed for the legislature’s operation depend on remaining in good standing with an outside authority, such as the executive. 1: Yes","In practice, does the legislature control the resources that finance its own internal operations and the perquisites of its members?"
v2x_egaldem,0,393,Egalitarian democracy index,"
Interval, from low to high (0-1).","To what extent is the ideal of egalitarian democracy achieved?
The egalitarian principle of democracy holds that material and immaterial inequalities inhibit the exercise of formal rights and liberties, and diminish the ability of citizens from all social groups to participate. Egalitarian democracy is achieved when 1 rights and freedoms of individuals are protected equally across all social groups; and 2 resources are distributed equally across all social groups; 3 groups and individuals enjoy equal access to power. To make it a measure of egalitarian democracy, the index also takes the level of electoral democracy into account.
The index is aggregated using this formula: v2x_ egaldem = .25* v2x_polyarchy^1.585 + .25* v2x_ egal + .5* v2x_polyarchy ^1.585* v2x_ egal
Source: v2x_egal v2x_polyarchy"
v2x_egal,0,394,Egalitarian component index,"
Interval, from low to high (0-1).","To what extent is the egalitarian principle achieved?
The egalitarian principle of democracy holds that material and immaterial inequalities inhibit the exercise of formal rights and liberties, and diminish the ability of citizens from all social groups to participate. Egalitarian democracy is achieved when 1 rights and freedoms of individuals are protected equally across all social groups; 2 resources are distributed equally across all social groups; and 3 access to power is equally distributed by gender, socioeconomic class and social group.
This index is formed by averaging the following indices: equal protection index (v2xeg_eqprotec), equal access index (v2xeg_eqaccess) and equal distribution of resources (v2xeg_eqdr).
Source: v2xeg_eqprotec v2xeg_eqaccess v2xeg_eqdr"
v2x_partipdem,0,395,Participatory democracy index,"
Interval, from low to high (0-1).","To what extent is the ideal of participatory democracy achieved?
The participatory principle of democracy emphasizes active participation by citizens in all political processes, electoral and non-electoral. It is motivated by uneasiness about a bedrock practice of electoral democracy: delegating authority to representatives. Thus, direct rule by citizens is preferred, wherever practicable. This model of democracy thus takes suffrage for granted, emphasizing engagement in civil society organizations, direct democracy, and subnational elected bodies. To make it a measure of participatory democracy, the index also takes the level of electoral democracy into account.
The index is aggregated using this formula: v2x_ partipdem = .25* v2x_polyarchy^1.585 + .25* v2x_ partip + .5* v2x_polyarchy ^1.585* v2x_ partip
Source: v2x_polyarchy v2x_partip"
v2x_partip,0,396,Participatory component index,"
Interval, from low to high (0-1).","To what extent is the participatory principle achieved?
The participatory principle of democracy emphasizes active participation by citizens in all political processes, electoral and non-electoral. It is motivated by uneasiness about a bedrock practice of electoral democracy: delegating authority to representatives. Thus, direct rule by citizens is preferred, wherever practicable. This model of democracy thus takes suffrage for granted, emphasizing engagement in civil society organizations, direct democracy, and subnational elected bodies.
This index is formed by averaging the following indices: civil society participation (v2x_cspart), direct popular vote (v2xdd_dd), elected local government power (v2xel_locelec), and elected regional government power (v2xel_regelec).
Source: v2x_cspart v2xdd_dd v2xel_locelec v2xel_regelec"
v2x_cspart,0,397,Civil society participation index,"
Interval, from low to high (0-1).","Are major CSOs routinely consulted by policymakers; how large is the involvement of people in CSOs; are women prevented from participating; and is legislative candidate nomination within party organization highly decentralized or made through party primaries?
The sphere of civil society lies in the public space between the private sphere and the state. Here, citizens organize in groups to pursue their collective interests and ideals. We call these groups civil society organizations CSOs. CSOs include, but are by no means limited to, interest groups, labor unions, spiritual organizations if they are engaged in civic or political activities, social movements, professional associations, charities, and other non-governmental organizations. The core civil society index CCSI is designed to provide a measure of a robust civil society, understood as one that enjoys autonomy from the state and in which citizens freely and actively pursue their political and civic goals, however conceived.
The index is formed by taking the point estimates from a Bayesian factor analysis model of the indicators for candidate selection --- national/local (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women participation (v2csgender).
Source: v2pscnslnl v2cscnsult v2csprtcpt v2csgender"
v2xdd_dd,0,398,Direct popular vote index,"
Interval, from low to high (0-1).","To what extent is the direct popular vote utilized?
Direct popular voting refers here to an institutionalized process by which citizens of a region or country register their choice or opinion on specific issues through a ballot. It is intended to embrace initiatives, referendums, and plebiscites, as those terms are usually understood. It captures some aspects of the more general concept of direct democracy at the national level. The term does not encompass recall elections, deliberative assemblies, or settings in which the vote is not secret or the purview is restricted. Likewise, it does not apply to elections for representatives.
This index results from the addition of the weighted scores of each type of popular votes studied (popular initiatives times 1.5, referendums times 1.5, plebiscites, and obligatory referendums). Each type of popular vote receives a maximum score of two resulting from the addition of two terms (easiness of initiation and easiness of approval), where each term obtains a maximum value of one. As we are studying four types of popular votes, the minimum value is 0, and the maximum is 8. In the v2xdd_dd all scores are normalized to range between 0 and 1. For an elaboration of the weighting factor of each component, see: Altman, David. 2017. The index is aggregated using this formula:beginequation*beginalignedv2xdd_dd = & (v2xdd_i_pi) times 1.5 + (v2xdd_i_rf) times 1.5 + (v2xdd_i_pl) + (v2xdd_i_or)endalignedendequation*smallskipRegarding each type of citizen initiated popular vote (i.e., popular initiative), the ease of initiation is measured by (a) the existence of a direct democracy process (v2ddlexci), (b) the number of signatures needed (v2ddsigpci), and (c) time-limits to circulate the signatures (v2ddsigdci). Easiness of approval is measured by the surface of the polygon determined by (a) participation quorum (v2ddsigdci), (b) approval quorum (v2ddpartci), and (c) supermajority (v2ddspmci). The resulting score is then multiplied with (d) district majority (v2ddadmci). Consequences are measured by (a) the legal status of the decision made by citizens (binding or merely consultative) (v2ddlexci), and (b) the frequency and degree of success with which direct popular votes have been held in the past (v2ddthreci). The index is aggregated using this formula:beginequation*beginalignedv2xdd_dd = & [(IF v2ddlexci > 0, 1, 0) times (1 - (v2ddsigpci)) times (IF v2ddsigdci = 0, 1, .5 + (2 times v2ddsigdci/365)) + (v2ddsigdci) cap (v2ddpartci) cap (v2ddspmci) ] times (0.5+ ((100 - v2ddadmci)/100))/2] times (IF v2ddlexci = 2, 1, IF v2ddlexci = 1, 0.75, v2ddlexci = 0, 0) times (IF years since last successful event < 6, v2ddthreci = 1, afterwards decreases by 0.06 units per year until 0.1; if the event was not successful during the first years v2ddapprci = 0.9, afterwards decreases by 0.1 units per year until 0.1)endalignedendequation* smallskipIn case the vote originates from above (i.e., authorities), there is no need to account for v2ddsigpci and v2ddsigdci. For an elaboration of the interaction among quorums, (v2ddsigdci) cap (v2ddpartci) cap (v2ddspmci), see Altman, David. 2017.
Source: v2ddlexci v2ddsigpci v2ddsiglci v2ddsigdci v2ddpartci v2ddapprci v2ddspmci v2ddadmci v2ddyrci v2ddlexrf v2ddsigprf v2ddsigdrf v2ddpartrf v2ddapprrf v2ddspmrf v2ddadmrf v2ddyrrf v2ddpartpl v2ddapprpl v2ddspmpl v2ddadmpl v2ddlexpl v2ddyrpl v2ddlexor v2ddpartor v2ddappor v2ddspmor v2ddadmor v2ddyror v2ddthreor v2ddthrerf v2ddthrepl"
v2xel_locelec,0,399,Local government index,"
Interval, from low to high (0-1).","Are there elected local governments, and --- if so --- to what extent can they operate without interference from unelected bodies at the local level?
The lowest score would be reserved for a country that has no elected local governments. A medium score would be accorded a country that has elected local governments but where those governments are subordinate to unelected officials at the local level perhaps appointed by a higher-level body. A high score would be accorded to a country in which local governments are elected and able to operate without restrictions from unelected actors at the local level with the exception of judicial bodies. Naturally, local governments remain subordinate to the regional and national governments.
First, local government elected (v2ellocelc) is recoded so that 0=none elected, 1=only executive elected, 2=only assembly elected, and 3=both elected. This new construct is then scaled to vary from 0-1 and multiplied by local offices relative power (v2ellocpwr) scaled to vary from 0-1. v2xel_locelec is set to 0 whenever v2ellocgov is 0 (there is no local government).
Source: v2ellocelc v2ellocpwr v2ellocgov"
v2xel_regelec,0,400,Regional government index,"
Interval, from low to high (0-1).","Are there elected regional governments, and --- if so --- to what extent can they operate without interference from unelected bodies at the regional level?
The lowest score would be reserved for a country that has no elected regional governments. A medium score would be accorded a country that has elected regional governments but where those governments are subordinate to unelected officials at the regional level perhaps appointed by a higher-level body. A high score would be accorded to a country in which regional governments are elected and able to operate without restrictions from unelected actors at the regional level with the exception of judicial bodies. Naturally, regional governments remain subordinate to the national government.
First, regional government elected (v2elsrgel) is recoded so that 0=none elected, 1=only executive elected, 2=only assembly elected, and 3=both elected. This new construct is then scaled to vary from 0-1 and multiplied by regional offices relative power (v2elrgpwr) scaled to vary from 0-1. v2xel_regelec is set to 0 whenever v2elreggov is 0 (there is no regional government).
Source: v2elsrgel v2elrgpwr v2elreggov"
v2x_gender,0,401,Women political empowerment index,"
Interval, from low to high (0-1).","How politically empowered are women?
Women's political empowerment is defined as a process of increasing capacity for women, leading to greater choice, agency, and participation in societal decision-making. It is understood to incorporate three equally-weighted dimensions: fundamental civil liberties, women's open discussion of political issues and participation in civil society organizations, and the descriptive representation of women in formal political positions.
The index is formed by taking the average of women's civil liberties index (v2x_gencl), women's civil society participation index (v2x_gencs), and women's political participation index (v2x_genpp).
Source: v2x_gencl v2x_gencs v2x_genpp"
v2x_elecreg,0,402,Electoral regime index,"0: No. 1: Yes.
Dichotomous.","At this time, are regularly scheduled national elections on course, as stipulated by election law or well-established precedent?
An interruption of the electoral regime occurring through the HOS, e.g. a coup d'état, is defined by v2x_hosinter as a change in v2x_elecpres, with the exception of a change when the elected HOS is replaced by a HOS appointed by a legislature. An interruption of the electoral regime occurring through the legislature is defined by v2xlg_leginter based on changes in v2lgbicam. Elections to the legislature or executive where the ones elected were never allowed to assume office are coded as aborted elections v2x_hosabort and, respectively, v2x_legabort. Elecreg is thus coded 1 from when there was a presidential or parliamentary election, if it was not aborted, until there was an interruption through the executive or legislature. An electoral interruption is i an event that dissolves, replaces, or otherwise terminates an elected body executive or parliament or ii an event that implies that the elected body, while still intact, will not be subject to election in the future. Typically, an interruption is the product of a coup, declared state of emergency, or military defeat. After an interruption, a coding of 0 continues until another election occurs. An executive and a legislative electoral regime cannot be separated since they form an integral part, where an aborted legislature is interpreted as a signal that also the executive is not standing for election any longer, and vice versa.
Source: v2xel_elecparl v2xlg_leginter v2xel_elecpres v2x_hosinter v2x_hosabort v2x_legabort v2ex_elechos v2ex_elechog"
v2xel_elecparl,0,403,Legislative or constituent assembly election,"0: No. 1: Yes.
Dichotomous.","Did a legislative or constituent assembly election take place this year?
In the country-date data set v2xel_elecparl is coded only on the specific election date.
Source: v2eltype_0 v2eltype_1 v2eltype_4 v2eltype_5"
v2xlg_leginter,0,404,Legislature closed down or aborted,"0: No. 1: Yes.
Dichotomous.","Has the legislature been closed down or aborted?
Source: v2lgbicam v2lgello"
v2x_hosinter,0,405,Chief executive no longer elected,"0: No. 1: Yes.
Dichotomous.","Is the chief executive no longer elected?
Source: v2exhoshog v2expathhg v2expathhs"
v2clrelig,0,406,Freedom of religion,"0: Not respected by public authorities. Hardly any freedom of religion exists. Any kind of religious practice is outlawed or at least controlled by the government to the extent that religious leaders are appointed by and subjected to public authorities, who control the activities of religious communities in some detail. 1: Weakly respected by public authorities. Some elements of autonomous organized religious practices exist and are officially recognized. But significant religious communities are repressed, prohibited, or systematically disabled, voluntary conversions are restricted, and instances of discrimination or intimidation of individuals or groups due to their religion are common. 2: Somewhat respected by public authorities. Autonomous organized religious practices exist and are officially recognized. Yet, minor religious communities are repressed, prohibited, or systematically disabled, and/or instances of discrimination or intimidation of individuals or groups due to their religion occur occasionally. 3: Mostly respected by public authorities. There are minor restrictions on the freedom of religion, predominantly limited to a few isolated cases. Minority religions face denial of registration, hindrance of foreign missionaries from entering the country, restrictions against proselytizing, or hindrance to access to or construction of places of worship. 4: Fully respected by public authorities. The population enjoys the right to practice any religious belief they choose. Religious groups may organize, select, and train personnel; solicit and receive contributions; publish; and engage in consultations without undue interference. If religious communities have to register, public authorities do not abuse the process to discriminate against a religion and do not constrain the right to worship before registration.
Ordinal, converted to interval by the measurement model.","Is there freedom of religion?
This indicator specifies the extent to which individuals and groups have the right to choose a religion, change their religion, and practice that religion in private or in public as well as to proselytize peacefully without being subject to restrictions by public authorities."
v2xcl_prpty,0,407,Property rights,"
Interval, from low to high (0-1).","Do citizens enjoy the right to private property?
Private property includes the right to acquire, possess, inherit, and sell private property, including land. Limits on property rights may come from the state which may legally limit rights or fail to enforce them; customary laws and practices; or religious or social norms. This question concerns the right to private property, not actual ownership of property.
We estimate the index by averaging two indicators: property rights for men (v2clprptym) and women (v2clprptyw).
Source: v2clprptym v2clprptyw"
v2elloelsy,0,408,Lower chamber electoral system --- 13 categories,"0: First-past-the-post (FPP, aka plurality) in single-member constituencies. The candidate with the most votes wins the seat. 1: Two-round system in single-member constituencies. Like FPP except that a threshold --- usually 50 + 1 --- is required to avoid a runoff between the two top vote-getters.2: Alternative vote in single-member districts. Voters rank-order their preferences for the candidates who compete for a single seat. If any candidate receives an absolute majority of first preferences, s/he is elected. If not, then the least successful candidates (based on first-preferences) are eliminated and their votes reallocated to the second-preferences. This process is repeated until a candidate reaches 50 +1 of the votes.3: Block vote in multi-member districts. Electors have as many votes as there are seats within that district and can rank-order them (within or across parties) as they please.4: Party block vote in multi-member districts. Voters cast a vote for a single party (but not for individual candidates within the party's list). The party with the most votes (i.e., a plurality) wins all the seats in that district. 5: Parallel (SMD/PR). Some seats are in single-member districts (allocated by FPP or two-round electoral rules) and other seats are in multimember districts (allocated by some form of PR). These districts are overlapping, meaning that each elector votes twice: once in the single-member district race and once in the multi-member district race. Results are independent. 6: Mixed-member proportional (SMD with PR compensatory seats). Some seats are in single-member districts (allocated by FPP or two-round electoral rules) and other seats are in multimember districts (allocated by some form of PR). These districts are overlapping, meaning that each elector votes twice: once in the single-member district race and once in the multi-member district race. Results are not independent. Specifically, the multimember seats are used to rectify disproportionalities achieved in the single-member district election --- by adding seats, as necessary. This means that the representation of parties in the legislature is determined entirely by the PR ballot. It also means that the result of an MMP election is similar to the result of a PR election: parties achieve representation according to their nationwide vote share (on the PR ballot).7: List PR with small multi-member districts (mean district size < 7). Each party presents a list of candidates for election within a district. Electors vote for a party, and parties receive seats in (rough) proportion to their overall share of the vote. Mean district size is less than seven.8: List PR with large multi-member districts (mean district size > 7). Each party presents a list of candidates for election within a district. Electors vote for a party, and parties receive seats in (rough) proportion to their overall share of the vote. Mean district size is greater than seven.9: Single-transferable vote (STV) in multi-member districts. Electors rank-order candidates nominated for a district. Candidates that surpass a specified quota of first-preference votes are elected. The remaining seats are chosen by reallocating the votes of the least successful candidates to elector's second- (or third-) preferences until the specified quota is reached. This process is repeated until all seats for that district are filled.10: Single non-transferable vote (SNTV) in multi-member districts. Each elector chooses a single candidate. The candidates with the most votes (a plurality) win. (The number of winners is of course determined by the size of the district.)11: Limited vote in multi-member districts. Electors have more than one vote but fewer votes than the number of seats in the district. The candidates with the most votes (a plurality) win. (The number of winners is of course determined by the size of the district.)12: Borda Count in single- or multi-member districts. Electors use numbers to mark preferences among candidates and each preference is assigned a value. For example, in a ten-candidate field a first preference is worth one, a second preference is worth .9, and so forth. These are summed and the candidate(s) with the highest total(s) is/are elected.","What was the electoral system used in this election for the lower or unicameral chamber of the legislature?
Mixed majoritarian systems were coded as a two-round system. Regarding multi-member districts we coded list PR with large multi-member districts when the mean district size = 7. Constituent Assembly elections are excluded from the coding, since they often use specifically designed electoral systems. Further information on the following electoral system types can be found in Reynolds/Reilly, The New International IDEA Handbook (2005), chapter two and Annex B (Glossary of Terms) --- downloadable, free of charge, at www.idea.int/publications/esd/.
Source: Chronicle of Parliamentary Elections (IPU); IDEA; Nohlen et al. (1999, 2002, 2005, 2010); Colomer (2016)."
v2svindep,0,409,Independent states,"0: No 1: Yes
Dichotomous.","Is the polity an independent state?
We use Gleditsch and Ward's (1999) coding of independent states. Their definition recognizes that listing independent states relies at least in part on subjective evaluations. A state is considered to be an independent polity if it (a) has a relatively autonomous administration over some territory, (b) is considered a distinct entity by local actors or the state it is dependent on. Polities excluded from the list are: colonies; states that have some form of limited autonomy (e.g. Scotland); are alleged to be independent but are contiguous to the dominant entity (Ukraine and Belarus prior to 1991); de facto independent polities but recognized by at most one other state (Turkish Republic of Northern Cyprus). Occupations or foreign rule are considered to be an actual loss of statehood when they extend beyond a decade. This means that cases such as the Baltic Republic during Soviet occupation are not considered independent states, but independent statehood is retained for European countries occupied during World War II.
V-Dem uses the updated List of independent states (v.5.0), including the tentative list of microstates, posted on Gleditsch's webpage on 14 March 2013. We have reconciled Gleditsch and Ward's data with the V-Dem country definitions (see the document ~V-Dem Countries v1.1~).
Source: Gleditsch and Ward (1999; 2013)."
v2cltort,0,410,Freedom from torture,"0: Not respected by public authorities. Torture is practiced systematically and is incited and approved by the leaders of government. 1: Weakly respected by public authorities. Torture is practiced frequently but is often not incited or approved by top leaders of government. At the same time, leaders of government are not actively working to prevent it. 2: Somewhat. Torture is practiced occasionally but is typically not approved by top leaders of government. 3: Mostly respected by public authorities. Torture is practiced in a few isolated cases but is not incited or approved by top government leaders. 4: Fully respected by public authorities. Torture is non-existent.
Ordinal, converted to interval by the measurement model.","Is there freedom from torture?
Torture refers to the purposeful inflicting of extreme pain, whether mental or physical, with an aim to extract information or intimidate victims, who are in a state of incarceration. Here, we are concerned with torture practiced by state officials or other agents of the state (e.g., police, security forces, prison guards, and paramilitary groups)."
v2clkill,0,411,Freedom from political killings,"0: Not respected by public authorities. Political killings are practiced systematically and they are typically incited and approved by top leaders of government. 1: Weakly respected by public authorities. Political killings are practiced frequently and top leaders of government are not actively working to prevent them. 2: Somewhat respected by public authorities. Political killings are practiced occasionally but they are typically not incited and approved by top leaders of government. 3: Mostly respected by public authorities. Political killings are practiced in a few isolated cases but they are not incited or approved by top leaders of government. 4: Fully respected by public authorities. Political killings are non-existent.
Ordinal, converted to interval by the measurement model.","Is there freedom from political killings?
Political killings are killings by the state or its agents without due process of law for the purpose of eliminating political opponents. These killings are the result of deliberate use of lethal force by the police, security forces, prison officials, or other agents of the state (including paramilitary groups)."
v3clslavery,0,412,Slavery,"0: Yes.1: No.
Dichotomous","Is slavery legal?
Refers to the de jure status of slavery, not its actual practice.
Source: Various country specific sources"
v2elrsthos,0,413,"HOS restriction by ethnicity, race, religion, or language","0: Yes, there are such statutory restrictions. 1: No, there are no such restrictions or the candidates are not elected.
Dichotomous.","Is the eligibility of candidates for the office of head of state (when elected) formally restricted (by constitution or statute) by ethnicity, race, religion, or language?
Language restriction should be understood as a restriction of spoken language, not literacy.
Source: CCP (Elkins et al. 2012), v221, v95; National constitutions."
v3elreapplc,0,414,Reapportionment legislature/lower chamber,"0: No. 1: Yes, reapportionment is stipulated by constitution or law but not upheld in practice. 2: Yes, reapportionment is stipulated by constitution or law and upheld in practice.
Ordinal, converted to interval by the measurement model.","Is there a legal or constitutional statute, upheld in practice, stating that seats or electoral boundaries for elections to the lower (or unicameral) chamber of the legislature should be regularly reapportioned?
Reapportionment is the process of reallocating the number of seats or the boundaries of a district in order to reflect its relative share of the population. Answering yes does not imply perfect apportionment (see later question). Leave blank if no lower (or unicameral) chamber. (This question is not about suffrage or informal restrictions to suffrage.)"
v3elreappuc,0,415,Reapportionment upper chamber,"0: No. 1: Yes, reapportionment is stipulated by constitution or law but not upheld in practice. 2: Yes, reapportionment is stipulated by constitution or law and upheld in practice.
Ordinal, converted to interval by the measurement model.","Is there a legal or constitutional statute, upheld in practice, stating that seats or electoral boundaries for elections to the upper chamber of the legislature should be regularly reapportioned?
Reapportionment is the process of reallocating the number of seats or the boundaries of a district in order to reflect its relative share of the population. Answering yes does not imply perfect apportionment (see later question). Leave blank if no upper chamber. (This question is not about suffrage or informal restrictions to suffrage.)"
v3elmalalc,0,417,Malapportionment legislature/lower chamber,"0: There is a high degree of malapportionment. Vote/seat ratios across districts differ by as much as 50:1. 1: There is a substantial degree of malapportionment. Vote/seat ratios across districts differ as much as 10:1. 2: There is some degree of malapportionment. Vote/seat ratios across districts differ by as much as 2:1. 3: There is modest or no malapportionment. Vote/seat ratios across districts differ by less than 2:1.
Ordinal, converted to interval by the measurement model.","Is there a large discrepancy in the vote/seat ratio across electoral districts for the lower (or unicameral) chamber?
""""Malapportionment"""" characterizes a situation in which voters in some districts have more power by virtue of a more favorable vote/seat ratio. For example, if seats have not been reapportioned in a long time rural areas may be over-represented relative to urban areas simply because the latter have grown more rapidly than the former. (This question does not address inequality of votes based on class or other criteria.) Leave blank if there is no lower (or unicameral) chamber."
v3elmalauc,0,418,Malapportionment upper chamber,"0: There is a high degree of malapportionment. Vote/seat ratios across districts differ by as much as 50:1. 1: There is a substantial degree of malapportionment. Vote/seat ratios across districts differ as much as 10:1. 2: There is some degree of malapportionment. Vote/seat ratios across districts differ by as much as 2:1. 3: There is modest or no malapportionment. Vote/seat ratios across districts differ by less than 2:1.
Ordinal, converted to interval by the measurement model.","Does the electoral system (including the size of electoral districts) involve large differences in the ratios of votes to representatives in elections for the upper chamber?
This question does not address inequality of votes based on class or other criteria but only the relationship between votes and seats. Leave blank if no upper chamber."
v2elrsthog,0,419,"HOG restriction by ethnicity, race, religion, or language","0: Yes, there are such statutory restrictions. 1: No, there are no such restrictions or the candidates are not elected.
Dichotomous.","Is the eligibility of candidates for the office of head of government (when elected) formally restricted (by constitution or statute) by ethnicity, race, religion, or language?
Language restriction should be understood as a restriction of spoken language, not literacy.
Source: CCP (Elkins et al. 2012), v221, v130 ; National constitutions."
v3elbalpap,0,421,"Voting, voice or ballot","0: Votes are cast verbally (viva voce). 1: Both voice votes and paper ballots are used, but verbal voting is more common. 2: Voice voting and paper ballots are both common. 3: Both voice votes and paper ballots are used, but paper ballots are more common. 4: All votes are cast on paper ballots.
Ordinal, converted to interval by the measurement model.",How are votes cast?
v3elbalstat,0,422,Ballot printing,"0: Political parties or candidates print all (or nearly all) the ballot papers. 1. Both the state and parties or candidates print the ballot papers. 2: The state prints all (or nearly all) ballot papers.
Ordinal, converted to interval by the measurement model.","Who prints ballot papers?
Leave blank if all or nearly all voting is verbal (viva voce)."
v3elecsedf,0,423,Secret ballot (de facto),"0: No. Voters cannot make a secret, anonymous choice. 1: No. Some voters can make a secret, anonymous choice, but voting secrecy is in most instances violated. 2: Mixed. Voting secrecy and anonymity is assured to roughly the same extent as it is violated. 3: Yes. Most voters can make a secret, anonymous choice, but voting secrecy is in some instances violated. 4: Yes. All voters can make a secret, anonymous choice.
Ordinal, converted to interval by the measurement model.","Are polling stations organized to guarantee voters a secret, anonymous choice?"
v3struinvadm,0,424,Rulers' involvement in the state administration,"0: Constantly. Day-to-day decisions taken by state administrators are constantly subject to intervention. 1: Often. Day-to-day decisions in the state administration are often subject to intervention. 2: About half. Approximately half of the day-to-day decisions in the state administration are subject to intervention. 3: Occasionally. Day-to-day decisions in the state administration are occasionally subject to intervention. 4: Never, or hardly ever. Day-to-day decisions in the state administration are never or hardly ever subject to intervention.
Ordinal.","To what extent are day-to-day decisions made by state administrators subject to intervention from political elites?
By political elites we mean members of the executive, members of the legislature and political elites at local and regional levels. Note that the focus on the day-to-day decisions of the state administration implies interference in specific operational decisions in a meticulous manner. Decisions taken by rulers about the general direction of the state administration should not be considered. Note that the question refers to the de facto situation."
v3ststeecap,0,425,State steering capacity,"0: Most economic activities happen outside the reach of the state 1: The state steers some economic activities 2: The state steers a substantial share -- but less than half -- of the national economy 3: The state steers about half or more than half, of the national economy 4: The state steers all or almost all economic activities
Ordinal.","Can the state oversee and regulate the economy?
This refers to the state’s ability to keep track of economic activities in its territory and potentially influence them by shaping the incentives and constraints that private firms face to do business; e.g., through licensing, granting exploitation rights, taxing, imposing market barriers, building infrastructure, offering subsidies, adjudicating conflicts, or enforcing regulations."
v2cltrnslw,0,426,Transparent laws with predictable enforcement,"0: Transparency and predictability are almost non-existent. The laws of the land are created and/or enforced in completely arbitrary fashion. 1: Transparency and predictability are severely limited. The laws of the land are more often than not created and/or enforced in arbitrary fashion. 2: Transparency and predictability are somewhat limited. The laws of the land are mostly created in a non-arbitrary fashion but enforcement is rather arbitrary in some parts of the country. 3: Transparency and predictability are fairly strong. The laws of the land are usually created and enforced in a non-arbitrary fashion. 4: Transparency and predictability are very strong. The laws of the land are created and enforced in a non-arbitrary fashion.
Ordinal, converted to interval by the measurement model.","Are the laws of the land clear, well publicized, coherent (consistent with each other), relatively stable from year to year, and enforced in a predictable manner?
This question focuses on the transparency and predictability of the laws of the land."
v3partyid,0,427,Party identification,"0: There are national elections, but there are no political parties. 1: Only one party is allowed to participate in national elections. 2: More than one party participates, and nearly all voters are non-partisans. 3: More than one party participates, and most voters are non-partisans. 4: More than one party participates, and voters are equally divided between partisans and non-partisans. 5: More than one party participates, and most voters are partisans. 6: More than one party participates, and nearly all voters are partisans.
Nominal, but categories 2---6 constitute ordinal.","Do voters identify with a political party?
When party identification is strong, vote choice is largely determined by a voter’s party affiliation (and his/her affiliation with that party) rather than attachments to particular candidates, non-partisan issue-positions, or material incentives (e.g., vote-buying). Likewise, when party identification is strong, voters retain loyalty to a single party rather than switching from one party to another across elections or across offices in the same election (ticket-splitting). In this fashion we can somewhat crudely distinguish between partisans and non-partisans. Note that this question refers only to voters, not to members of the population who do not vote (because they are disenfranchised, choose not to vote, or are discouraged from voting). Leave this question blank if there are no national elections."
