Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/03/2022 09:04"
"Last updated:","03/03/2022 09:04"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=gmc9Fi
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Resettlement arrivals"
1990,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,21
1990,"Viet Nam",VNM,-,-,49796
1990,Sudan,SDN,-,-,198
1990,Eswatini,SWZ,-,-,7
1990,"Syrian Arab Rep.",SYR,-,-,49
1990,Thailand,THA,-,-,20
1990,Tunisia,TUN,-,-,16
1990,Turkey,TUR,-,-,21
1990,"United Arab Emirates",ARE,-,-,46
1990,Uganda,UGA,-,-,97
1990,"Unknown ",,-,-,15608
1990,Uruguay,URY,-,-,5
1990,"United States of America",USA,-,-,127
1990,Yemen,YEM,-,-,8
1990,Zambia,ZMB,-,-,5
1990,Zimbabwe,ZWE,-,-,6
1991,"Lao People's Dem. Rep.",LAO,-,-,10239
1991,Afghanistan,AFG,-,-,2556
1991,Albania,ALB,-,-,1428
1991,Algeria,DZA,-,-,5
1991,Angola,AGO,-,-,31
1991,Egypt,EGY,-,-,12
1991,Argentina,ARG,-,-,7
1991,Austria,AUT,-,-,6
1991,Bahrain,BHR,-,-,6
1991,Burundi,BDI,-,-,21
1991,Benin,BEN,-,-,5
1991,Bangladesh,BGD,-,-,11
1991,"Bolivia (Plurinational State of)",BOL,-,-,7
1991,Brazil,BRA,-,-,5
1991,Bulgaria,BGR,-,-,674
1991,Belize,BLZ,-,-,5
1991,Cambodia,KHM,-,-,409
1991,China,CHN,-,-,92
1991,Chile,CHL,-,-,148
1991,Congo,COG,-,-,5
1991,"Dem. Rep. of the Congo",COD,-,-,120
1991,Colombia,COL,-,-,28
1991,"Costa Rica",CRI,-,-,76
1991,Cuba,CUB,-,-,3938
1991,Czechia,CZE,-,-,440
1991,Djibouti,DJI,-,-,11
1991,Estonia,EST,-,-,14
1991,Ethiopia,ETH,-,-,5758
1991,Gabon,GAB,-,-,5
1991,Palestinian,PSE,-,-,5
1991,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,35
1991,Germany,DEU,-,-,126
1991,Ghana,GHA,-,-,41
1991,Greece,GRC,-,-,5
1991,Guatemala,GTM,-,-,569
1991,Guyana,GUY,-,-,10
1991,Haiti,HTI,-,-,5
1991,"China, Hong Kong SAR",HKG,-,-,106
1991,Honduras,HND,-,-,65
1991,Hungary,HUN,-,-,322
1991,India,IND,-,-,15
1991,"Iran (Islamic Rep. of)",IRN,-,-,4302
1991,Iraq,IRQ,-,-,1790
1991,Israel,ISR,-,-,6
1991,Italy,ITA,-,-,20
1991,Jordan,JOR,-,-,5
1991,Kenya,KEN,-,-,30
1991,Kuwait,KWT,-,-,12
1991,Liberia,LBR,-,-,5
1991,Libya,LBY,-,-,344
1991,Lebanon,LBN,-,-,261
1991,"Sri Lanka",LKA,-,-,369
1991,Lithuania,LTU,-,-,6
1991,Mexico,MEX,-,-,29
1991,Malaysia,MYS,-,-,5
1991,Morocco,MAR,-,-,9
1991,Mozambique,MOZ,-,-,22
1991,Myanmar,MMR,-,-,28
1991,Nicaragua,NIC,-,-,232
1991,Nigeria,NGA,-,-,13
1991,Pakistan,PAK,-,-,180
1991,Panama,PAN,-,-,7
1991,Peru,PER,-,-,14
1991,Philippines,PHL,-,-,9
1991,Poland,POL,-,-,10339
1991,Portugal,PRT,-,-,11
1991,Qatar,QAT,-,-,11
1991,Romania,ROU,-,-,4842
1991,"South Africa",ZAF,-,-,28
1991,"Russian Federation",RUS,-,-,39301
1991,Rwanda,RWA,-,-,26
1991,"El Salvador",SLV,-,-,2594
1991,"Saudi Arabia",SAU,-,-,22
1991,Seychelles,SYC,-,-,6
1991,Somalia,SOM,-,-,985
1991,Spain,ESP,-,-,8
1991,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,11
1991,"Viet Nam",VNM,-,-,49311
1991,Stateless,XXA,-,-,50
1991,Sudan,SDN,-,-,208
1991,Switzerland,CHE,-,-,5
1991,"Syrian Arab Rep.",SYR,-,-,16
1991,"United Rep. of Tanzania",TZA,-,-,7
1991,Thailand,THA,-,-,41
1991,Togo,TGO,-,-,5
1991,Tunisia,TUN,-,-,13
1991,Turkey,TUR,-,-,35
1991,"United Arab Emirates",ARE,-,-,13
1991,Uganda,UGA,-,-,178
1991,"Unknown ",,-,-,10559
1991,"United States of America",USA,-,-,105
1991,Yemen,YEM,-,-,7
1991,Zimbabwe,ZWE,-,-,5
1992,Afghanistan,AFG,-,-,2474
1992,Albania,ALB,-,-,1207
1992,Algeria,DZA,-,-,5
1992,Angola,AGO,-,-,12
1992,Egypt,EGY,-,-,31
1992,Armenia,ARM,-,-,26
1992,Austria,AUT,-,-,12
1992,Azerbaijan,AZE,-,-,8
1992,Burundi,BDI,-,-,16
1992,Bangladesh,BGD,-,-,5
1992,Bhutan,BTN,-,-,5
1992,Belarus,BLR,-,-,39
1992,"Bolivia (Plurinational State of)",BOL,-,-,15
1992,Botswana,BWA,-,-,6
1992,"Bosnia and Herzegovina",BIH,-,-,669
1992,Bulgaria,BGR,-,-,166
1992,Belize,BLZ,-,-,5
1992,Cambodia,KHM,-,-,533
1992,Chad,TCD,-,-,5
1992,China,CHN,-,-,36
1992,Chile,CHL,-,-,56
1992,"Dem. Rep. of the Congo",COD,-,-,113
1992,Colombia,COL,-,-,25
1992,"Costa Rica",CRI,-,-,59
1992,Cuba,CUB,-,-,3749
1992,Czechia,CZE,-,-,144
1992,Djibouti,DJI,-,-,5
1992,Ecuador,ECU,-,-,5
1992,Estonia,EST,-,-,11
1992,Ethiopia,ETH,-,-,4497
1992,France,FRA,-,-,5
1992,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,5
1992,Georgia,GEO,-,-,5
1992,Germany,DEU,-,-,82
1992,Ghana,GHA,-,-,27
1992,Greece,GRC,-,-,9
1992,Guatemala,GTM,-,-,445
1992,Haiti,HTI,-,-,54
1992,"China, Hong Kong SAR",HKG,-,-,57
1992,Honduras,HND,-,-,50
1992,Croatia,HRV,-,-,149
1992,Hungary,HUN,-,-,197
1992,India,IND,-,-,15
1992,Indonesia,IDN,-,-,611
1992,"Iran (Islamic Rep. of)",IRN,-,-,3450
1992,Iraq,IRQ,-,-,8908
1992,Israel,ISR,-,-,123
1992,Italy,ITA,-,-,6
1992,Jordan,JOR,-,-,17
1992,Kenya,KEN,-,-,19
1992,Kuwait,KWT,-,-,59
1992,"Lao People's Dem. Rep.",LAO,-,-,7494
1992,Liberia,LBR,-,-,637
1992,Lebanon,LBN,-,-,41
1992,"Sri Lanka",LKA,-,-,137
1992,Lithuania,LTU,-,-,11
1992,Latvia,LVA,-,-,5
1992,"Rep. of Moldova",MDA,-,-,37
1992,Mexico,MEX,-,-,26
1992,Malaysia,MYS,-,-,14
1992,Malawi,MWI,-,-,5
1992,Mozambique,MOZ,-,-,8
1992,Malta,MLT,-,-,5
1992,Myanmar,MMR,-,-,64
1992,Netherlands,NLD,-,-,23
1992,Nicaragua,NIC,-,-,62
1992,Pakistan,PAK,-,-,107
1992,Panama,PAN,-,-,20
1992,Peru,PER,-,-,33
1992,Philippines,PHL,-,-,100
1992,Poland,POL,-,-,4857
1992,Portugal,PRT,-,-,9
1992,Romania,ROU,-,-,1664
1992,"South Africa",ZAF,-,-,20
1992,"Russian Federation",RUS,-,-,62645
1992,Rwanda,RWA,-,-,25
1992,"El Salvador",SLV,-,-,2136
1992,"Saudi Arabia",SAU,-,-,8
1992,Singapore,SGP,-,-,5
1992,Somalia,SOM,-,-,1991
1992,Spain,ESP,-,-,8
1992,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1760
1992,"Viet Nam",VNM,-,-,49409
1992,Stateless,XXA,-,-,7
1992,"Sao Tome and Principe",STP,-,-,5
1992,Sudan,SDN,-,-,285
1992,"Syrian Arab Rep.",SYR,-,-,16
1992,"United Rep. of Tanzania",TZA,-,-,5
1992,Thailand,THA,-,-,22
1992,Tajikistan,TJK,-,-,5
1992,Togo,TGO,-,-,5
1992,Tunisia,TUN,-,-,5
1992,Turkey,TUR,-,-,47
1992,Uganda,UGA,-,-,228
1992,"Unknown ",,-,-,3969
1992,Ukraine,UKR,-,-,294
1992,"United States of America",USA,-,-,78
1992,Uzbekistan,UZB,-,-,30
1992,Zambia,ZMB,-,-,5
1993,Chile,CHL,-,-,27
1993,Ethiopia,ETH,-,-,4293
1993,"Sri Lanka",LKA,-,-,49
1993,"El Salvador",SLV,-,-,1086
1993,Afghanistan,AFG,-,-,2392
1993,Albania,ALB,-,-,486
1993,Egypt,EGY,-,-,21
1993,Armenia,ARM,-,-,15
1993,Austria,AUT,-,-,5
1993,Azerbaijan,AZE,-,-,5
1993,Burundi,BDI,-,-,47
1993,Bangladesh,BGD,-,-,5
1993,Belarus,BLR,-,-,12
1993,"Bosnia and Herzegovina",BIH,-,-,7619
1993,Bulgaria,BGR,-,-,46
1993,Cambodia,KHM,-,-,269
1993,Chad,TCD,-,-,5
1993,China,CHN,-,-,37
1993,"Dem. Rep. of the Congo",COD,-,-,250
1993,Colombia,COL,-,-,7
1993,"Costa Rica",CRI,-,-,41
1993,Cuba,CUB,-,-,3074
1993,Czechia,CZE,-,-,17
1993,Denmark,DNK,-,-,5
1993,Djibouti,DJI,-,-,5
1993,Estonia,EST,-,-,5
1993,Palestinian,PSE,-,-,22
1993,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,6
1993,Georgia,GEO,-,-,11
1993,Germany,DEU,-,-,27
1993,Ghana,GHA,-,-,17
1993,Greece,GRC,-,-,37
1993,Guatemala,GTM,-,-,428
1993,Guyana,GUY,-,-,5
1993,Haiti,HTI,-,-,1307
1993,"China, Hong Kong SAR",HKG,-,-,10
1993,Honduras,HND,-,-,14
1993,Croatia,HRV,-,-,258
1993,Hungary,HUN,-,-,95
1993,India,IND,-,-,22
1993,Indonesia,IDN,-,-,62
1993,"Iran (Islamic Rep. of)",IRN,-,-,2110
1993,Iraq,IRQ,-,-,8603
1993,Israel,ISR,-,-,19
1993,Italy,ITA,-,-,43
1993,Jordan,JOR,-,-,9
1993,Kazakhstan,KAZ,-,-,11
1993,Kenya,KEN,-,-,52
1993,Kyrgyzstan,KGZ,-,-,5
1993,Kuwait,KWT,-,-,41
1993,"Lao People's Dem. Rep.",LAO,-,-,7038
1993,Liberia,LBR,-,-,961
1993,Lebanon,LBN,-,-,11
1993,Lithuania,LTU,-,-,5
1993,Latvia,LVA,-,-,5
1993,"Rep. of Moldova",MDA,-,-,20
1993,Mexico,MEX,-,-,10
1993,Malawi,MWI,-,-,8
1993,Myanmar,MMR,-,-,308
1993,Netherlands,NLD,-,-,22
1993,Nicaragua,NIC,-,-,29
1993,Pakistan,PAK,-,-,31
1993,Panama,PAN,-,-,6
1993,Peru,PER,-,-,12
1993,Philippines,PHL,-,-,47
1993,Poland,POL,-,-,845
1993,Portugal,PRT,-,-,5
1993,Romania,ROU,-,-,233
1993,"South Africa",ZAF,-,-,8
1993,"Russian Federation",RUS,-,-,49201
1993,Rwanda,RWA,-,-,46
1993,"Saudi Arabia",SAU,-,-,5
1993,Singapore,SGP,-,-,5
1993,Somalia,SOM,-,-,3557
1993,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,3780
1993,"Viet Nam",VNM,-,-,48035
1993,Stateless,XXA,-,-,8
1993,Sudan,SDN,-,-,673
1993,"Syrian Arab Rep.",SYR,-,-,18
1993,"United Rep. of Tanzania",TZA,-,-,5
1993,Thailand,THA,-,-,16
1993,Tajikistan,TJK,-,-,5
1993,Togo,TGO,-,-,5
1993,Turkey,TUR,-,-,56
1993,"United Arab Emirates",ARE,-,-,38
1993,Uganda,UGA,-,-,80
1993,"Unknown ",,-,-,1555
1993,Ukraine,UKR,-,-,247
1993,"United States of America",USA,-,-,33
1993,Uzbekistan,UZB,-,-,29
1993,Yemen,YEM,-,-,7
1994,Chile,CHL,-,-,17
1994,"El Salvador",SLV,-,-,296
1994,"Unknown ",,-,-,1122
1994,Afghanistan,AFG,-,-,730
1994,Albania,ALB,-,-,176
1994,Angola,AGO,-,-,6
1994,Egypt,EGY,-,-,34
1994,Argentina,ARG,-,-,5
1994,Austria,AUT,-,-,11
1994,Azerbaijan,AZE,-,-,5
1994,Burundi,BDI,-,-,52
1994,Botswana,BWA,-,-,5
1994,"Bosnia and Herzegovina",BIH,-,-,23044
1994,Bulgaria,BGR,-,-,5
1994,Cambodia,KHM,-,-,776
1994,China,CHN,-,-,31
1994,"Dem. Rep. of the Congo",COD,-,-,123
1994,Colombia,COL,-,-,5
1994,"Costa Rica",CRI,-,-,6
1994,Cuba,CUB,-,-,2675
1994,Czechia,CZE,-,-,5
1994,Denmark,DNK,-,-,5
1994,Eritrea,ERI,-,-,207
1994,Ethiopia,ETH,-,-,1217
1994,France,FRA,-,-,5
1994,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,9
1994,Georgia,GEO,-,-,5
1994,Germany,DEU,-,-,29
1994,Ghana,GHA,-,-,23
1994,Greece,GRC,-,-,35
1994,Guatemala,GTM,-,-,134
1994,Haiti,HTI,-,-,3766
1994,"China, Hong Kong SAR",HKG,-,-,22
1994,Honduras,HND,-,-,21
1994,Croatia,HRV,-,-,399
1994,Hungary,HUN,-,-,21
1994,"Cote d'Ivoire",CIV,-,-,10
1994,India,IND,-,-,6
1994,Indonesia,IDN,-,-,79
1994,"Iran (Islamic Rep. of)",IRN,-,-,1739
1994,Iraq,IRQ,-,-,9558
1994,Italy,ITA,-,-,39
1994,Jordan,JOR,-,-,13
1994,Kenya,KEN,-,-,118
1994,Kuwait,KWT,-,-,10
1994,"Lao People's Dem. Rep.",LAO,-,-,6369
1994,Liberia,LBR,-,-,615
1994,Libya,LBY,-,-,5
1994,Lebanon,LBN,-,-,15
1994,"Sri Lanka",LKA,-,-,43
1994,Latvia,LVA,-,-,5
1994,Mauritania,MRT,-,-,5
1994,"North Macedonia",MKD,-,-,11
1994,Mexico,MEX,-,-,14
1994,Malaysia,MYS,-,-,25
1994,Malawi,MWI,-,-,5
1994,Myanmar,MMR,-,-,739
1994,Netherlands,NLD,-,-,28
1994,Nicaragua,NIC,-,-,5
1994,Pakistan,PAK,-,-,49
1994,Peru,PER,-,-,21
1994,Philippines,PHL,-,-,59
1994,Poland,POL,-,-,88
1994,Romania,ROU,-,-,76
1994,"Russian Federation",RUS,-,-,44539
1994,Rwanda,RWA,-,-,94
1994,"Saudi Arabia",SAU,-,-,141
1994,Somalia,SOM,-,-,4533
1994,Spain,ESP,-,-,6
1994,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,4946
1994,"Viet Nam",VNM,-,-,40793
1994,Stateless,XXA,-,-,5
1994,Sudan,SDN,-,-,1518
1994,Slovenia,SVN,-,-,18
1994,Sweden,SWE,-,-,10
1994,Switzerland,CHE,-,-,5
1994,"Syrian Arab Rep.",SYR,-,-,17
1994,Thailand,THA,-,-,5
1994,Turkmenistan,TKM,-,-,5
1994,Tunisia,TUN,-,-,13
1994,Turkey,TUR,-,-,70
1994,"United Arab Emirates",ARE,-,-,10
1994,Uganda,UGA,-,-,12
1994,Ukraine,UKR,-,-,14
1994,"United States of America",USA,-,-,11
1994,Uzbekistan,UZB,-,-,10
1994,Yemen,YEM,-,-,28
1995,"El Salvador",SLV,-,-,274
1995,Afghanistan,AFG,-,-,1343
1995,Albania,ALB,-,-,51
1995,Angola,AGO,-,-,5
1995,Egypt,EGY,-,-,79
1995,Austria,AUT,-,-,15
1995,Azerbaijan,AZE,-,-,7
1995,Bahrain,BHR,-,-,5
1995,Burundi,BDI,-,-,22
1995,Botswana,BWA,-,-,7
1995,"Bosnia and Herzegovina",BIH,-,-,21076
1995,Bulgaria,BGR,-,-,5
1995,Cambodia,KHM,-,-,643
1995,China,CHN,-,-,26
1995,Chile,CHL,-,-,16
1995,Cameroon,CMR,-,-,7
1995,"Dem. Rep. of the Congo",COD,-,-,132
1995,Colombia,COL,-,-,21
1995,Cuba,CUB,-,-,6133
1995,Cyprus,CYP,-,-,5
1995,Denmark,DNK,-,-,7
1995,Ecuador,ECU,-,-,7
1995,Eritrea,ERI,-,-,200
1995,Ethiopia,ETH,-,-,920
1995,France,FRA,-,-,5
1995,Palestinian,PSE,-,-,5
1995,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,9
1995,Georgia,GEO,-,-,5
1995,Germany,DEU,-,-,123
1995,Ghana,GHA,-,-,6
1995,Greece,GRC,-,-,50
1995,Guatemala,GTM,-,-,108
1995,Guinea,GIN,-,-,5
1995,Guyana,GUY,-,-,5
1995,Haiti,HTI,-,-,1485
1995,"China, Hong Kong SAR",HKG,-,-,7
1995,Honduras,HND,-,-,5
1995,Croatia,HRV,-,-,499
1995,Hungary,HUN,-,-,7
1995,"Cote d'Ivoire",CIV,-,-,11
1995,India,IND,-,-,29
1995,Indonesia,IDN,-,-,182
1995,"Iran (Islamic Rep. of)",IRN,-,-,2300
1995,Iraq,IRQ,-,-,9178
1995,Israel,ISR,-,-,10
1995,Italy,ITA,-,-,6
1995,Jordan,JOR,-,-,27
1995,Kenya,KEN,-,-,72
1995,Kuwait,KWT,-,-,21
1995,"Lao People's Dem. Rep.",LAO,-,-,3770
1995,Liberia,LBR,-,-,61
1995,Lebanon,LBN,-,-,10
1995,"Sri Lanka",LKA,-,-,398
1995,Lithuania,LTU,-,-,5
1995,Mauritania,MRT,-,-,7
1995,"North Macedonia",MKD,-,-,5
1995,Mozambique,MOZ,-,-,6
1995,Malta,MLT,-,-,7
1995,Myanmar,MMR,-,-,528
1995,Netherlands,NLD,-,-,6
1995,Oman,OMN,-,-,6
1995,Pakistan,PAK,-,-,50
1995,Peru,PER,-,-,22
1995,Philippines,PHL,-,-,38
1995,Poland,POL,-,-,57
1995,Portugal,PRT,-,-,5
1995,Romania,ROU,-,-,24
1995,"South Africa",ZAF,-,-,5
1995,"Russian Federation",RUS,-,-,36289
1995,Rwanda,RWA,-,-,146
1995,"Saudi Arabia",SAU,-,-,147
1995,"Sierra Leone",SLE,-,-,48
1995,Somalia,SOM,-,-,3372
1995,Spain,ESP,-,-,7
1995,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,5445
1995,"Viet Nam",VNM,-,-,34561
1995,Stateless,XXA,-,-,5
1995,Sudan,SDN,-,-,2239
1995,Slovenia,SVN,-,-,8
1995,Eswatini,SWZ,-,-,11
1995,Sweden,SWE,-,-,14
1995,Switzerland,CHE,-,-,20
1995,"Syrian Arab Rep.",SYR,-,-,47
1995,Thailand,THA,-,-,94
1995,Turkmenistan,TKM,-,-,8
1995,Timor-Leste,TLS,-,-,32
1995,Togo,TGO,-,-,25
1995,Tunisia,TUN,-,-,5
1995,Turkey,TUR,-,-,23
1995,"United Arab Emirates",ARE,-,-,9
1995,Uganda,UGA,-,-,20
1995,"Unknown ",,-,-,1247
1995,Ukraine,UKR,-,-,5
1995,"United States of America",USA,-,-,6
1995,Uzbekistan,UZB,-,-,5
1995,Yemen,YEM,-,-,5
1995,Zambia,ZMB,-,-,6
1996,"Bosnia and Herzegovina",BIH,-,-,18984
1996,Afghanistan,AFG,-,-,1711
1996,Albania,ALB,-,-,28
1996,Algeria,DZA,-,-,13
1996,Egypt,EGY,-,-,126
1996,Armenia,ARM,-,-,5
1996,Austria,AUT,-,-,5
1996,Burundi,BDI,-,-,63
1996,Belgium,BEL,-,-,5
1996,Bulgaria,BGR,-,-,13
1996,Cambodia,KHM,-,-,449
1996,China,CHN,-,-,8
1996,Chile,CHL,-,-,8
1996,"Dem. Rep. of the Congo",COD,-,-,190
1996,Colombia,COL,-,-,19
1996,Cuba,CUB,-,-,3503
1996,Denmark,DNK,-,-,18
1996,Ecuador,ECU,-,-,9
1996,Eritrea,ERI,-,-,169
1996,Ethiopia,ETH,-,-,657
1996,France,FRA,-,-,27
1996,Palestinian,PSE,-,-,6
1996,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,10
1996,Germany,DEU,-,-,143
1996,Ghana,GHA,-,-,5
1996,Greece,GRC,-,-,27
1996,Guatemala,GTM,-,-,127
1996,Haiti,HTI,-,-,39
1996,"China, Hong Kong SAR",HKG,-,-,6
1996,Honduras,HND,-,-,6
1996,Croatia,HRV,-,-,997
1996,Hungary,HUN,-,-,7
1996,Iceland,ISL,-,-,5
1996,"Cote d'Ivoire",CIV,-,-,9
1996,India,IND,-,-,42
1996,Indonesia,IDN,-,-,54
1996,"Iran (Islamic Rep. of)",IRN,-,-,2146
1996,Iraq,IRQ,-,-,6118
1996,Italy,ITA,-,-,9
1996,Jordan,JOR,-,-,150
1996,Kenya,KEN,-,-,98
1996,Kuwait,KWT,-,-,11
1996,"Lao People's Dem. Rep.",LAO,-,-,2211
1996,Liberia,LBR,-,-,53
1996,Libya,LBY,-,-,5
1996,Lebanon,LBN,-,-,13
1996,"Sri Lanka",LKA,-,-,212
1996,Mauritania,MRT,-,-,5
1996,"North Macedonia",MKD,-,-,5
1996,Malaysia,MYS,-,-,6
1996,Malta,MLT,-,-,5
1996,Myanmar,MMR,-,-,418
1996,Netherlands,NLD,-,-,10
1996,Nicaragua,NIC,-,-,22
1996,Nigeria,NGA,-,-,50
1996,Pakistan,PAK,-,-,69
1996,Peru,PER,-,-,7
1996,Philippines,PHL,-,-,5
1996,"Papua New Guinea",PNG,-,-,6
1996,Poland,POL,-,-,19
1996,Romania,ROU,-,-,24
1996,"Russian Federation",RUS,-,-,29991
1996,Rwanda,RWA,-,-,192
1996,"El Salvador",SLV,-,-,167
1996,"Saudi Arabia",SAU,-,-,15
1996,Senegal,SEN,-,-,20
1996,"Sierra Leone",SLE,-,-,13
1996,Somalia,SOM,-,-,7256
1996,Spain,ESP,-,-,30
1996,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,3521
1996,"Viet Nam",VNM,-,-,18056
1996,Sudan,SDN,-,-,906
1996,Slovenia,SVN,-,-,19
1996,Sweden,SWE,-,-,12
1996,Switzerland,CHE,-,-,9
1996,"Syrian Arab Rep.",SYR,-,-,51
1996,Thailand,THA,-,-,92
1996,Timor-Leste,TLS,-,-,37
1996,Togo,TGO,-,-,29
1996,Turkey,TUR,-,-,15
1996,Uganda,UGA,-,-,19
1996,"Unknown ",,-,-,3207
1996,Ukraine,UKR,-,-,10
1996,Zambia,ZMB,-,-,19
1997,"Bosnia and Herzegovina",BIH,-,-,26344
1997,Afghanistan,AFG,-,-,1879
1997,Albania,ALB,-,-,9
1997,Algeria,DZA,-,-,18
1997,Egypt,EGY,-,-,292
1997,Austria,AUT,-,-,14
1997,Azerbaijan,AZE,-,-,12
1997,Bahrain,BHR,-,-,5
1997,Burundi,BDI,-,-,92
1997,Belgium,BEL,-,-,5
1997,Cambodia,KHM,-,-,113
1997,Chad,TCD,-,-,45
1997,China,CHN,-,-,54
1997,Chile,CHL,-,-,13
1997,Cameroon,CMR,-,-,19
1997,"Dem. Rep. of the Congo",COD,-,-,116
1997,Colombia,COL,-,-,5
1997,Cuba,CUB,-,-,2918
1997,Djibouti,DJI,-,-,29
1997,Eritrea,ERI,-,-,107
1997,Ethiopia,ETH,-,-,529
1997,France,FRA,-,-,14
1997,Gambia,GMB,-,-,16
1997,Germany,DEU,-,-,104
1997,Ghana,GHA,-,-,5
1997,Greece,GRC,-,-,26
1997,Guatemala,GTM,-,-,69
1997,Haiti,HTI,-,-,75
1997,Honduras,HND,-,-,5
1997,Croatia,HRV,-,-,1625
1997,Hungary,HUN,-,-,9
1997,"Cote d'Ivoire",CIV,-,-,16
1997,India,IND,-,-,36
1997,Indonesia,IDN,-,-,5
1997,"Iran (Islamic Rep. of)",IRN,-,-,3404
1997,Iraq,IRQ,-,-,7161
1997,Italy,ITA,-,-,5
1997,Jordan,JOR,-,-,20
1997,Kazakhstan,KAZ,-,-,5
1997,Kenya,KEN,-,-,84
1997,Kuwait,KWT,-,-,29
1997,"Lao People's Dem. Rep.",LAO,-,-,1001
1997,Liberia,LBR,-,-,266
1997,Libya,LBY,-,-,5
1997,"Sri Lanka",LKA,-,-,290
1997,"North Macedonia",MKD,-,-,12
1997,Myanmar,MMR,-,-,455
1997,Netherlands,NLD,-,-,5
1997,Nigeria,NGA,-,-,48
1997,Pakistan,PAK,-,-,89
1997,Peru,PER,-,-,12
1997,Poland,POL,-,-,6
1997,Portugal,PRT,-,-,5
1997,Romania,ROU,-,-,14
1997,"Russian Federation",RUS,-,-,27326
1997,Rwanda,RWA,-,-,164
1997,"El Salvador",SLV,-,-,125
1997,Senegal,SEN,-,-,6
1997,"Sierra Leone",SLE,-,-,62
1997,Somalia,SOM,-,-,5671
1997,Spain,ESP,-,-,7
1997,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,2107
1997,"Viet Nam",VNM,-,-,8164
1997,Stateless,XXA,-,-,5
1997,Sudan,SDN,-,-,1131
1997,Slovenia,SVN,-,-,38
1997,Sweden,SWE,-,-,5
1997,Switzerland,CHE,-,-,22
1997,"Syrian Arab Rep.",SYR,-,-,36
1997,Thailand,THA,-,-,5
1997,Tajikistan,TJK,-,-,5
1997,Timor-Leste,TLS,-,-,19
1997,Togo,TGO,-,-,47
1997,Turkey,TUR,-,-,14
1997,Uganda,UGA,-,-,18
1997,"Unknown ",,-,-,78
1997,Ukraine,UKR,-,-,12
1997,"Venezuela (Bolivarian Republic of)",VEN,-,-,5
1997,Yemen,YEM,-,-,6
1997,Zambia,ZMB,-,-,17
1998,"Bosnia and Herzegovina",BIH,-,-,36476
1998,"Dem. Rep. of the Congo",COD,-,-,184
1998,Iraq,IRQ,-,-,5077
1998,Somalia,SOM,-,-,3970
1998,Afghanistan,AFG,-,-,1973
1998,Albania,ALB,-,-,5
1998,Algeria,DZA,-,-,37
1998,Angola,AGO,-,-,13
1998,Egypt,EGY,-,-,243
1998,Austria,AUT,-,-,5
1998,Azerbaijan,AZE,-,-,17
1998,Burundi,BDI,-,-,124
1998,Bangladesh,BGD,-,-,5
1998,Bulgaria,BGR,-,-,20
1998,Cambodia,KHM,-,-,15
1998,Chad,TCD,-,-,49
1998,China,CHN,-,-,12
1998,Cameroon,CMR,-,-,15
1998,Colombia,COL,-,-,38
1998,"Costa Rica",CRI,-,-,5
1998,Cuba,CUB,-,-,1618
1998,Cyprus,CYP,-,-,5
1998,Djibouti,DJI,-,-,15
1998,Ecuador,ECU,-,-,5
1998,Eritrea,ERI,-,-,184
1998,Ethiopia,ETH,-,-,822
1998,Gambia,GMB,-,-,55
1998,Palestinian,PSE,-,-,6
1998,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,5
1998,Germany,DEU,-,-,243
1998,Ghana,GHA,-,-,10
1998,Greece,GRC,-,-,20
1998,Guatemala,GTM,-,-,37
1998,Croatia,HRV,-,-,3292
1998,Hungary,HUN,-,-,5
1998,India,IND,-,-,56
1998,Indonesia,IDN,-,-,21
1998,"Iran (Islamic Rep. of)",IRN,-,-,3792
1998,Israel,ISR,-,-,5
1998,Italy,ITA,-,-,6
1998,Jordan,JOR,-,-,36
1998,Kazakhstan,KAZ,-,-,21
1998,Kenya,KEN,-,-,92
1998,Kyrgyzstan,KGZ,-,-,5
1998,Kuwait,KWT,-,-,111
1998,"Lao People's Dem. Rep.",LAO,-,-,5
1998,Liberia,LBR,-,-,1527
